date,portfolio_return,nav,drawdown,trading_cost
2017-01-09,0.00000000,1.00000000,0.00000000,0.00000000
2017-01-13,0.02453655,1.02453655,0.00000000,0.00029991
2017-01-20,0.01668792,1.04163393,0.00000000,0.00037889
2017-01-27,0.00344076,1.04521794,0.00000000,0.00048590
2017-02-03,-0.01778241,1.02663145,-0.01778241,0.00062423
2017-02-10,0.01251279,1.03947747,-0.00549213,0.00061459
2017-02-17,0.01651787,1.05664742,0.00000000,0.00063890
2017-02-24,0.00248113,1.05926911,0.00000000,0.00037191
2017-03-03,-0.00527842,1.05367784,-0.00527842,0.00045617
2017-03-10,0.01501422,1.06949799,0.00000000,0.00046211
2017-03-17,-0.01651928,1.05183066,-0.01651928,0.00045425
2017-03-24,-0.02097809,1.02976525,-0.03715083,0.00062138
2017-03-31,-0.00145288,1.02826913,-0.03854973,0.00050210
2017-04-07,0.05060004,1.08029959,0.00000000,0.00029987
2017-04-13,-0.00149284,1.07868687,-0.00149284,0.00041375
2017-04-21,-0.00834212,1.06968834,-0.00982250,0.00035877
2017-04-28,0.01974816,1.09081271,0.00000000,0.00063957
2017-05-05,-0.02427900,1.06432888,-0.02427900,0.00013501
2017-05-12,0.02246148,1.08823528,-0.00236286,0.00040952
2017-05-19,0.02012114,1.11013181,0.00000000,0.00050989
2017-05-26,0.02110634,1.13356263,0.00000000,0.00053062
2017-06-02,0.03211954,1.16997214,0.00000000,0.00039227
2017-06-09,0.01696665,1.18982265,0.00000000,0.00040383
2017-06-16,-0.03805944,1.14453867,-0.03805944,0.00054897
2017-06-23,0.02462737,1.17272564,-0.01436937,0.00059052
2017-06-30,-0.00875498,1.16245845,-0.02299855,0.00071625
2017-07-07,-0.01356097,1.14669438,-0.03624764,0.00056624
2017-07-14,0.12440500,1.28934889,0.00000000,0.00034693
2017-07-21,0.03392845,1.33309450,0.00000000,0.00037769
2017-07-28,0.01676582,1.35544492,0.00000000,0.00031628
2017-08-04,0.02139275,1.38444161,0.00000000,0.00066724
2017-08-11,-0.05340204,1.31050961,-0.05340204,0.00065076
2017-08-18,0.01403200,1.32889868,-0.04011937,0.00032207
2017-08-25,-0.00196804,1.32628335,-0.04200846,0.00065169
2017-09-01,-0.01815523,1.30220437,-0.05940102,0.00079270
2017-09-08,0.00784632,1.31242188,-0.05202078,0.00061307
2017-09-15,0.03460963,1.35784431,-0.01921157,0.00061399
2017-09-22,0.01386926,1.37667661,-0.00560876,0.00050979
2017-09-29,-0.06929646,1.28127779,-0.07451655,0.00062747
2017-10-06,0.08643839,1.39202938,0.00000000,0.00047737
2017-10-13,-0.02203406,1.36135732,-0.02203406,0.00052978
2017-10-20,-0.01114571,1.34618402,-0.03293419,0.00082381
2017-10-27,-0.02525032,1.31219244,-0.05735291,0.00080538
2017-11-03,0.00261210,1.31562001,-0.05489063,0.00077259
2017-11-10,-0.01148849,1.30050552,-0.06574851,0.00060470
2017-11-17,-0.01142377,1.28564885,-0.07642118,0.00047634
2017-11-24,0.00587798,1.29320588,-0.07099240,0.00060190
2017-12-01,-0.05068345,1.22766174,-0.11807771,0.00062823
2017-12-08,0.01412262,1.24499955,-0.10562265,0.00062941
2017-12-15,0.02930490,1.28148413,-0.07941302,0.00058859
2017-12-22,0.03062605,1.32073093,-0.05121907,0.00060173
2017-12-29,0.03897999,1.37221301,-0.01423560,0.00063377
2018-01-05,0.01854784,1.39766459,0.00000000,0.00052250
2018-01-12,0.03206004,1.44247378,0.00000000,0.00066900
2018-01-19,-0.00277802,1.43846656,-0.00277802,0.00067193
2018-01-26,0.03784294,1.49290237,0.00000000,0.00053705
2018-02-02,-0.05211944,1.41509313,-0.05211944,0.00071360
2018-02-09,-0.19875289,1.13383927,-0.24051345,0.00047751
2018-02-15,0.11773470,1.26733149,-0.15109553,0.00004877
2018-02-23,0.00749370,1.27682849,-0.14473410,0.00040989
2018-03-02,-0.03762008,1.22879410,-0.17690927,0.00056856
2018-03-09,0.00464083,1.23449673,-0.17308944,0.00062874
2018-03-16,0.01647970,1.25484087,-0.15946220,0.00060302
2018-03-23,-0.02886606,1.21861855,-0.18372522,0.00061414
2018-03-29,0.01306591,1.23454091,-0.17305985,0.00041389
2018-04-06,0.00871629,1.24530152,-0.16585200,0.00065910
2018-04-13,-0.00732396,1.23618098,-0.17196127,0.00075483
2018-04-20,-0.02696168,1.20285147,-0.19428658,0.00058057
2018-04-27,-0.00400091,1.19803897,-0.19751017,0.00037322
2018-05-04,-0.02118576,1.17265761,-0.21451152,0.00057807
2018-05-11,0.02364434,1.20038432,-0.19593917,0.00057498
2018-05-18,0.03165391,1.23838118,-0.17048750,0.00060292
2018-05-25,0.04485147,1.29392440,-0.13328264,0.00045349
2018-06-01,0.01785721,1.31703028,-0.11780549,0.00031414
2018-06-08,0.13818268,1.49902105,0.00000000,0.00073651
2018-06-15,-0.00834000,1.48651921,-0.00834000,0.00071080
2018-06-22,-0.03903749,1.42848923,-0.04705192,0.00060575
2018-06-29,0.01226850,1.44601466,-0.03536067,0.00057544
2018-07-06,-0.07096903,1.34339240,-0.10382019,0.00020090
2018-07-13,0.01649135,1.36554675,-0.08904098,0.00072127
2018-07-20,0.00073626,1.36655214,-0.08837028,0.00072109
2018-07-27,-0.01789499,1.34209771,-0.10468388,0.00044452
2018-08-03,-0.03997606,1.28844593,-0.14047509,0.00070282
2018-08-10,0.03170806,1.32930005,-0.11322122,0.00037620
2018-08-17,-0.07237947,1.23308602,-0.17740580,0.00035320
2018-08-24,-0.00855685,1.22253469,-0.18444461,0.00044238
2018-08-31,0.02176667,1.24914520,-0.16669269,0.00044541
2018-09-07,0.00680160,1.25764139,-0.16102486,0.00056567
2018-09-14,0.00758821,1.26718463,-0.15465855,0.00023964
2018-09-21,0.06527525,1.34990042,-0.09947867,0.00045102
2018-09-28,-0.03820667,1.29832522,-0.13388460,0.00023900
2018-10-05,-0.04656597,1.23786744,-0.17421610,0.00044151
2018-10-12,-0.03051153,1.20009821,-0.19941203,0.00023001
2018-10-19,-0.01541354,1.18160045,-0.21175193,0.00028075
2018-10-26,-0.03133926,1.14456996,-0.23645504,0.00045766
2018-11-02,0.03623367,1.18604193,-0.20878901,0.00016770
2018-11-09,-0.01516297,1.16805801,-0.22078612,0.00026567
2018-11-16,0.00000000,1.16805801,-0.22078612,0.00000000
2018-11-23,0.00000000,1.16805801,-0.22078612,0.00000000
2018-11-30,0.00000000,1.16805801,-0.22078612,0.00000000
2018-12-07,0.00000000,1.16805801,-0.22078612,0.00000000
2018-12-14,0.00000000,1.16805801,-0.22078612,0.00000000
2018-12-21,-0.00766825,1.15910105,-0.22676132,0.00026275
2018-12-28,0.00165416,1.16101840,-0.22548226,0.00026080
2019-01-04,0.00000000,1.16101840,-0.22548226,0.00000000
2019-01-11,0.00000000,1.16101840,-0.22548226,0.00000000
2019-01-18,0.00000000,1.16101840,-0.22548226,0.00000000
2019-01-25,0.00000000,1.16101840,-0.22548226,0.00000000
2019-02-01,0.00000000,1.16101840,-0.22548226,0.00000000
2019-02-08,0.00700703,1.16915369,-0.22005519,0.00026117
2019-02-15,-0.00254838,1.16617424,-0.22204279,0.00022796
2019-02-22,0.04120134,1.21422218,-0.18998991,0.00026710
2019-03-01,-0.02651110,1.18203182,-0.21146416,0.00054397
2019-03-08,-0.04147079,1.13301203,-0.24416537,0.00041953
2019-03-15,0.00035588,1.13341524,-0.24389638,0.00024354
2019-03-22,0.01393324,1.14920739,-0.23336141,0.00052026
2019-03-29,0.02313292,1.17579191,-0.21562682,0.00049649
2019-04-04,0.00799809,1.18519600,-0.20935333,0.00071672
2019-04-12,-0.00020492,1.18495313,-0.20951535,0.00059184
2019-04-18,-0.00396622,1.18025334,-0.21265059,0.00057432
2019-04-26,-0.04187757,1.13082720,-0.24562287,0.00041994
2019-05-03,-0.00957213,1.12000277,-0.25284387,0.00034252
2019-05-10,-0.06843228,1.04335843,-0.30397346,0.00054553
2019-05-17,-0.01981690,1.02268229,-0.31776655,0.00012347
2019-05-24,-0.01324510,1.00913677,-0.32680280,0.00013313
2019-05-31,0.03839852,1.04788612,-0.30095303,0.00042564
2019-06-06,0.00630162,1.05448950,-0.29654790,0.00052271
2019-06-14,0.01157075,1.06669073,-0.28840844,0.00025964
2019-06-21,0.01578453,1.08352795,-0.27717630,0.00019104
2019-06-28,0.05295333,1.14090436,-0.23890038,0.00039121
2019-07-05,0.01530829,1.15836965,-0.22724924,0.00021959
2019-07-12,-0.00971416,1.14711706,-0.23475587,0.00039313
2019-07-19,-0.01378774,1.13130091,-0.24530685,0.00047812
2019-07-26,0.01329547,1.14634209,-0.23527285,0.00049067
2019-08-02,-0.03909762,1.10152284,-0.26517187,0.00040843
2019-08-09,-0.02815445,1.07051007,-0.28586055,0.00029359
2019-08-16,0.00613459,1.07707721,-0.28147959,0.00022105
2019-08-23,0.04301767,1.12341056,-0.25057052,0.00031015
2019-08-30,0.01927300,1.14506205,-0.23612677,0.00046380
2019-09-06,-0.00683097,1.13724016,-0.24134477,0.00037273
2019-09-13,0.01708725,1.15667246,-0.22838144,0.00050117
2019-09-20,-0.05210524,1.09640377,-0.26858681,0.00026649
2019-09-27,-0.01942132,1.07511016,-0.28279182,0.00050495
2019-10-04,0.02293049,1.09976296,-0.26634588,0.00027791
2019-10-11,0.01713934,1.11861218,-0.25377153,0.00019529
2019-10-18,0.03519433,1.15798098,-0.22750852,0.00038681
2019-10-25,-0.02831927,1.12518780,-0.24938492,0.00054813
2019-11-01,0.04384101,1.17451718,-0.21647719,0.00054074
2019-11-08,0.01687323,1.19433508,-0.20325663,0.00071787
2019-11-15,-0.05459457,1.12913087,-0.24675450,0.00055959
2019-11-22,0.01942545,1.15106475,-0.23212236,0.00047229
2019-11-29,-0.00904201,1.14065681,-0.23906552,0.00057448
2019-12-06,0.00193665,1.14286587,-0.23759185,0.00036054
2019-12-13,0.01944952,1.16509406,-0.22276338,0.00067827
2019-12-20,-0.01310182,1.14982921,-0.23294659,0.00040633
2019-12-27,0.01677724,1.16912017,-0.22007755,0.00069579
2020-01-03,0.03591680,1.21111122,-0.19206523,0.00041445
2020-01-10,-0.01692340,1.19061510,-0.20573824,0.00071359
2020-01-17,0.04229439,1.24097145,-0.17214542,0.00057812
2020-01-24,0.01195067,1.25580188,-0.16225200,0.00061564
2020-01-31,-0.09278186,1.13928625,-0.23997982,0.00056690
2020-02-07,0.10678999,1.26095062,-0.15881727,0.00009623
2020-02-14,0.02462438,1.29200075,-0.13810366,0.00018996
2020-02-21,-0.06322916,1.21030863,-0.19260064,0.00048849
2020-02-28,-0.05992974,1.13777514,-0.24098788,0.00070874
2020-03-06,0.06092301,1.20709183,-0.19474658,0.00012931
2020-03-13,-0.12124329,1.06074005,-0.29237815,0.00037709
2020-03-20,-0.06706756,0.98959881,-0.33983662,0.00007273
2020-03-27,0.03374194,1.02298979,-0.31756142,0.00002632
2020-04-03,-0.01348301,1.00919681,-0.32676275,0.00023085
2020-04-09,0.00000000,1.00919681,-0.32676275,0.00000000
2020-04-17,0.00000000,1.00919681,-0.32676275,0.00000000
2020-04-24,0.00000000,1.00919681,-0.32676275,0.00000000
2020-04-29,0.00000000,1.00919681,-0.32676275,0.00000000
2020-05-08,0.00000000,1.00919681,-0.32676275,0.00000000
2020-05-15,0.00000000,1.00919681,-0.32676275,0.00000000
2020-05-22,-0.03058120,0.97833436,-0.34735115,0.00022702
2020-05-29,-0.06474296,0.91499409,-0.38960557,0.00012214
2020-06-05,0.03116559,0.94351042,-0.37058227,0.00035266
2020-06-12,-0.00536691,0.93844669,-0.37396030,0.00049295
2020-06-19,0.02252732,0.95958738,-0.35985730,0.00043980
2020-06-26,0.03076675,0.98911077,-0.34016219,0.00040935
2020-07-03,0.05273136,1.04126793,-0.30536804,0.00035430
2020-07-10,0.11920251,1.16538968,-0.22256617,0.00043172
2020-07-17,-0.19870941,0.93381579,-0.37704958,0.00040578
2020-07-24,0.07325710,1.00222442,-0.33141404,0.00057092
2020-07-31,-0.02453031,0.97763955,-0.34781466,0.00044793
2020-08-07,-0.01459049,0.96337531,-0.35733036,0.00057527
2020-08-14,-0.07456566,0.89154060,-0.40525145,0.00055987
2020-08-21,0.02357665,0.91256014,-0.39122927,0.00043444
2020-08-28,0.11986245,1.02194184,-0.31826052,0.00037778
2020-09-04,-0.03495515,0.98621971,-0.34209082,0.00025115
2020-09-11,-0.02581168,0.96076372,-0.35907256,0.00047128
2020-09-18,0.06247177,1.02078433,-0.31903269,0.00030055
2020-09-25,-0.08518816,0.93382559,-0.37704304,0.00035046
2020-09-30,0.12332976,1.04899408,-0.30021391,0.00003011
2020-10-09,0.09264374,1.14617682,-0.23538311,0.00037690
2020-10-16,-0.03655341,1.10428014,-0.26333246,0.00056466
2020-10-23,-0.00532853,1.09839595,-0.26725782,0.00065633
2020-10-30,-0.02909715,1.06643576,-0.28857853,0.00051288
2020-11-06,0.11417942,1.18820078,-0.20734884,0.00049418
2020-11-13,0.00530001,1.19449825,-0.20314778,0.00043082
2020-11-20,0.03660825,1.23822675,-0.17397641,0.00061258
2020-11-27,-0.03120275,1.19959066,-0.19975062,0.00075088
2020-12-04,0.03235511,1.23840355,-0.17385846,0.00071023
2020-12-11,0.00097080,1.23960579,-0.17305645,0.00072684
2020-12-18,0.03172879,1.27893699,-0.14681853,0.00058381
2020-12-24,0.05015278,1.34307924,-0.10402910,0.00077413
2020-12-31,0.08172622,1.45284403,-0.03080478,0.00052283
2021-01-08,0.14936049,1.66984153,0.00000000,0.00092356
2021-01-15,-0.07157554,1.55032172,-0.07157554,0.00039203
2021-01-22,0.00022655,1.55067295,-0.07136520,0.00096172
2021-01-29,-0.09926767,1.39674126,-0.16354862,0.00076672
2021-02-05,0.05369558,1.47174009,-0.11863488,0.00007279
2021-02-11,0.04295496,1.53495863,-0.08077587,0.00071952
2021-02-19,-0.08020873,1.41184155,-0.15450567,0.00076036
2021-02-26,-0.22499543,1.09418365,-0.34473803,0.00076098
2021-03-05,-0.06807757,1.01969429,-0.38934667,0.00022955
2021-03-12,0.01191055,1.03183941,-0.38207345,0.00038634
2021-03-19,-0.02563534,1.00538785,-0.39791421,0.00027944
2021-03-26,-0.04320982,0.96194523,-0.42393023,0.00024388
2021-04-01,0.01135230,0.97286552,-0.41739051,0.00050192
2021-04-09,0.00876127,0.98138905,-0.41228611,0.00059528
2021-04-16,0.01742172,0.99848654,-0.40204713,0.00044794
2021-04-23,0.00434449,1.00282445,-0.39944933,0.00033683
2021-04-30,0.00416228,1.00699849,-0.39694967,0.00048177
2021-05-07,-0.04418506,0.96250420,-0.42359548,0.00048639
2021-05-14,-0.08316386,0.88245863,-0.47153151,0.00047888
2021-05-21,0.04343988,0.92079253,-0.44857490,0.00054803
2021-05-28,0.02095708,0.94008965,-0.43701864,0.00044647
2021-06-04,0.03988588,0.97758596,-0.41456363,0.00058467
2021-06-11,0.05357330,1.02995846,-0.38319988,0.00047264
2021-06-18,-0.03103584,0.99799283,-0.40234279,0.00038143
2021-06-25,0.00400447,1.00198926,-0.39994949,0.00046770
2021-07-02,0.05119483,1.05328594,-0.36923000,0.00051017
2021-07-09,-0.00032411,1.05294455,-0.36943444,0.00064763
2021-07-16,0.01325061,1.06689671,-0.36107907,0.00045594
2021-07-23,-0.03804946,1.02630186,-0.38538966,0.00051300
2021-07-30,-0.02770122,0.99787206,-0.40241512,0.00058271
2021-08-06,0.02493053,1.02274953,-0.38751701,0.00062133
2021-08-13,-0.03380269,0.98817785,-0.40822058,0.00061335
2021-08-20,-0.03518755,0.95340629,-0.42904385,0.00047166
2021-08-27,0.03308352,0.98494833,-0.41015461,0.00038301
2021-09-03,0.06547164,1.04943451,-0.37153647,0.00061628
2021-09-10,0.01051299,1.06046720,-0.36492944,0.00038201
2021-09-17,-0.03509182,1.02325348,-0.38721522,0.00051672
2021-09-24,-0.05882856,0.96305696,-0.42326446,0.00059129
