date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count,weekly_overlay_trade_count,weekly_overlay_trading_cost,weekly_overlay_avg_one_way_turnover
2020-01-10,0.00583908,0.00613899,0.00583908,0.00029991,378,weekly_rebalance_aggressive,False,risk_on,0.21444888,0.00000000,0.00000000,5,12,30,0,0.00000000,0.00000000
2020-01-17,0.04239380,0.04287858,0.04239380,0.00048761,378,weekly_rebalance_aggressive,False,risk_on,0.19861694,0.00000000,-0.00826966,5,12,37,0,0.00000000,0.00000000
2020-01-24,0.01200587,0.01250278,0.01200587,0.00052101,379,weekly_rebalance_aggressive,False,risk_on,0.17798276,0.00000000,0.00000000,5,14,33,0,0.00000000,0.00000000
2020-01-31,-0.09278186,-0.09233043,-0.09278186,0.00047899,379,weekly_rebalance_aggressive,False,risk_on,0.17067933,0.00000000,-0.00312577,5,8,33,0,0.00000000,0.00000000
2020-02-07,0.10678999,0.10687446,0.10678999,0.00008131,379,weekly_rebalance_aggressive,False,caution,0.16308298,0.25000000,0.24707558,4,0,34,0,0.00000000,0.00000000
2020-02-14,0.02462438,0.02477504,0.02462438,0.00016051,379,weekly_rebalance_aggressive,False,risk_on,0.15925010,0.00000000,-0.00798789,5,9,32,0,0.00000000,0.00000000
2020-02-21,-0.06322916,-0.06285107,-0.06322916,0.00041275,380,weekly_rebalance_aggressive,False,risk_on,0.18161616,0.00000000,0.00308993,5,13,37,0,0.00000000,0.00000000
2020-02-28,-0.05992974,-0.05934416,-0.05992974,0.00059884,380,weekly_rebalance_aggressive,False,risk_on,0.07253910,0.00000000,0.00000000,5,8,31,0,0.00000000,0.00000000
2020-03-06,0.06092301,0.06103666,0.06092301,0.00010925,380,weekly_rebalance_aggressive,False,caution,-0.01009971,0.25000000,0.24388735,4,0,35,0,0.00000000,0.00000000
2020-03-13,-0.12124329,-0.12093089,-0.12124329,0.00031862,380,weekly_rebalance_aggressive,False,risk_on,0.06424956,0.00000000,0.00000000,5,7,38,0,0.00000000,0.00000000
2020-03-20,-0.06706756,-0.06699899,-0.06706756,0.00006145,380,weekly_rebalance_aggressive,False,caution,0.06156585,0.25000000,0.20476702,5,0,36,0,0.00000000,0.00000000
2020-03-27,0.03374194,0.03376854,0.03374194,0.00002224,381,weekly_rebalance_aggressive,False,caution,0.04798086,0.25000000,0.20270965,5,0,34,0,0.00000000,0.00000000
2020-04-03,-0.01348301,-0.01325734,-0.01348301,0.00019506,381,weekly_rebalance_aggressive,True,risk_off,-0.00176644,1.00000000,0.85270360,5,4,40,0,0.00000000,0.00000000
2020-04-09,0.00000000,0.00000000,0.00000000,0.00000000,383,weekly_rebalance_aggressive,True,risk_off,-0.01468857,1.00000000,0.85270360,3,3,38,0,0.00000000,0.00000000
2020-04-17,0.00000000,0.00000000,0.00000000,0.00000000,383,weekly_rebalance_aggressive,True,risk_off,-0.10595073,1.00000000,0.85270360,5,13,42,0,0.00000000,0.00000000
2020-04-24,0.00000000,0.00000000,0.00000000,0.00000000,383,weekly_rebalance_aggressive,True,risk_off,-0.18827057,1.00000000,0.85270360,5,13,36,0,0.00000000,0.00000000
2020-04-29,0.00000000,0.00000000,0.00000000,0.00000000,383,weekly_rebalance_aggressive,True,risk_off,-0.12165329,1.00000000,0.85270360,5,7,38,0,0.00000000,0.00000000
2020-05-08,0.00000000,0.00000000,0.00000000,0.00000000,384,weekly_rebalance_aggressive,True,risk_off,-0.13550872,1.00000000,0.85270360,5,16,44,0,0.00000000,0.00000000
2020-05-15,0.00000000,0.00000000,0.00000000,0.00000000,383,weekly_rebalance_aggressive,True,risk_off,-0.03317956,1.00000000,0.85270360,5,20,41,0,0.00000000,0.00000000
2020-05-22,-0.03058120,-0.03035625,-0.03058120,0.00019182,383,weekly_rebalance_aggressive,False,caution,0.00088907,0.25000000,0.21312795,5,16,35,0,0.00000000,0.00000000
2020-05-29,-0.06474296,-0.06461811,-0.06474296,0.00010320,384,weekly_rebalance_aggressive,False,caution,0.01440552,0.25000000,0.19982783,5,1,37,0,0.00000000,0.00000000
2020-06-05,0.03116559,0.03155101,0.03116559,0.00029797,385,weekly_rebalance_aggressive,False,caution,0.03288048,0.25000000,0.19401702,5,7,44,0,0.00000000,0.00000000
2020-06-12,-0.00536691,-0.00484444,-0.00536691,0.00041651,385,weekly_rebalance_aggressive,False,risk_on,0.04292077,0.00000000,0.00000000,5,15,36,0,0.00000000,0.00000000
2020-06-19,0.02252732,0.02299597,0.02252732,0.00037160,387,weekly_rebalance_aggressive,False,risk_on,0.02010549,0.00000000,0.00000000,5,10,33,0,0.00000000,0.00000000
2020-06-26,0.03076675,0.03119334,0.03076675,0.00034587,389,weekly_rebalance_aggressive,False,caution,-0.04772701,0.25000000,0.20260625,5,24,42,0,0.00000000,0.00000000
2020-07-03,0.05273136,0.05308956,0.05273136,0.00029936,390,weekly_rebalance_aggressive,False,caution,-0.04432075,0.25000000,0.21085231,5,15,38,0,0.00000000,0.00000000
2020-07-10,0.11920251,0.11961712,0.11920251,0.00036477,390,weekly_rebalance_aggressive,False,risk_on,0.00752124,0.00000000,-0.00301704,5,18,42,0,0.00000000,0.00000000
2020-07-17,-0.19870941,-0.19836121,-0.19870941,0.00034286,390,weekly_rebalance_aggressive,False,risk_on,0.01727021,0.00000000,0.00880136,5,17,40,0,0.00000000,0.00000000
2020-07-24,0.07325710,0.07386848,0.07325710,0.00048239,389,weekly_rebalance_aggressive,False,risk_on,0.03603117,0.00000000,0.00000000,5,6,42,0,0.00000000,0.00000000
2020-07-31,-0.02453031,-0.02408337,-0.02453031,0.00037847,390,weekly_rebalance_aggressive,False,risk_on,0.03848460,0.04000000,0.03405427,3,3,36,0,0.00000000,0.00000000
2020-08-07,-0.01459049,-0.01400205,-0.01459049,0.00048607,390,weekly_rebalance_aggressive,False,risk_on,0.14602399,0.00000000,0.00000000,5,9,42,0,0.00000000,0.00000000
2020-08-14,-0.07456566,-0.07398450,-0.07456566,0.00047305,390,weekly_rebalance_aggressive,False,risk_on,0.25048651,0.00000000,0.00000000,5,10,36,0,0.00000000,0.00000000
2020-08-21,0.02357665,0.02406395,0.02357665,0.00036708,390,weekly_rebalance_aggressive,False,risk_on,0.22718427,0.00000000,0.00000000,5,7,35,0,0.00000000,0.00000000
2020-08-28,0.11986245,0.12027642,0.11986245,0.00031920,390,weekly_rebalance_aggressive,False,risk_on,0.18737724,0.00000000,0.00000000,5,8,30,0,0.00000000,0.00000000
