date,ts_code,name,weight
2025-01-10,00008.HK,电讯盈科,0.34330794
2025-01-10,01810.HK,小米集团-W,0.31589888
2025-01-10,06969.HK,思摩尔国际,0.29806915
2025-01-10,CASH,现金,0.04272403
2025-01-17,01810.HK,小米集团-W,0.23294979
2025-01-17,02268.HK,药明合联,0.23244806
2025-01-17,00005.HK,汇丰控股,0.20644385
2025-01-17,00956.HK,新天绿色能源,0.17876326
2025-01-17,00008.HK,电讯盈科,0.14939504
2025-01-24,00763.HK,中兴通讯,0.23793395
2025-01-24,00981.HK,中芯国际,0.23240173
2025-01-24,01988.HK,民生银行,0.20127789
2025-01-24,09868.HK,小鹏集团-W,0.16961155
2025-01-24,02269.HK,药明生物,0.15877488
2025-01-28,01810.HK,小米集团-W,0.23179275
2025-01-28,00763.HK,中兴通讯,0.20912052
2025-01-28,02382.HK,舜宇光学科技,0.19179909
2025-01-28,02328.HK,中国财险,0.19042788
2025-01-28,06818.HK,中国光大银行,0.17685976
2025-02-07,01810.HK,小米集团-W,0.24517254
2025-02-07,09992.HK,泡泡玛特,0.22211239
2025-02-07,02018.HK,瑞声科技,0.18817634
2025-02-07,03888.HK,金山软件,0.18682315
2025-02-07,00998.HK,中信银行,0.15771558
2025-02-14,01810.HK,小米集团-W,0.22381116
2025-02-14,00285.HK,比亚迪电子,0.21120263
2025-02-14,02382.HK,舜宇光学科技,0.19772512
2025-02-14,00175.HK,吉利汽车,0.18390331
2025-02-14,02498.HK,速腾聚创,0.18335778
2025-02-21,01810.HK,小米集团-W,0.22492259
2025-02-21,02498.HK,速腾聚创,0.21261308
2025-02-21,01211.HK,比亚迪股份,0.19463782
2025-02-21,01357.HK,美图公司,0.19062018
2025-02-21,09992.HK,泡泡玛特,0.17720634
2025-02-28,01810.HK,小米集团-W,0.23362996
2025-02-28,00981.HK,中芯国际,0.21125104
2025-02-28,02252.HK,微创机器人-B,0.19440207
2025-02-28,02382.HK,舜宇光学科技,0.18159696
2025-02-28,02498.HK,速腾聚创,0.17872305
2025-02-28,CASH,现金,0.00039693
2025-03-07,01810.HK,小米集团-W,0.22568138
2025-03-07,02498.HK,速腾聚创,0.20907003
2025-03-07,03988.HK,中国银行,0.19898387
2025-03-07,00005.HK,汇丰控股,0.18362426
2025-03-07,06160.HK,百济神州,0.18264045
2025-03-14,00268.HK,金蝶国际,0.22095166
2025-03-14,09992.HK,泡泡玛特,0.20894221
2025-03-14,09868.HK,小鹏集团-W,0.20115836
2025-03-14,01024.HK,快手-W,0.19450044
2025-03-14,01385.HK,上海复旦,0.17444733
2025-03-21,09992.HK,泡泡玛特,0.22612285
2025-03-21,03968.HK,招商银行,0.20088390
2025-03-21,01530.HK,三生制药,0.19949496
2025-03-21,02269.HK,药明生物,0.19831014
2025-03-21,01336.HK,新华保险,0.16824702
