date,portfolio_return,nav,drawdown,trading_cost
2025-01-06,0.00000000,1.00000000,0.00000000,0.00000000
2025-01-10,-0.08169261,0.91830739,-0.08169261,0.00023994
2025-01-17,0.01927657,0.93600920,-0.06399080,0.00033978
2025-01-24,0.07533054,1.00651928,0.00000000,0.00056879
2025-01-28,-0.03702686,0.96925103,-0.03702686,0.00042678
2025-02-07,0.11036482,1.07622224,0.00000000,0.00042664
2025-02-14,0.03906075,1.11826029,0.00000000,0.00046602
2025-02-21,0.08709125,1.21565098,0.00000000,0.00034108
2025-02-28,-0.06310065,1.13894261,-0.06310065,0.00034180
2025-03-07,-0.00442186,1.13390637,-0.06724349,0.00018592
2025-03-14,-0.00627545,1.12679059,-0.07309696,0.00066773
2025-03-21,0.03230081,1.16318685,-0.04315723,0.00050598
2025-03-28,0.12115925,1.30411769,0.00000000,0.00016029
2025-04-03,0.00485825,1.31045342,0.00000000,0.00035075
2025-04-11,-0.14039094,1.12647764,-0.14039094,0.00046621
2025-04-17,0.08542656,1.22270875,-0.06695749,0.00052492
2025-04-25,0.03828260,1.26951722,-0.03123820,0.00058880
2025-05-02,0.02213269,1.29761505,-0.00979689,0.00058147
2025-05-09,-0.02552300,1.26449603,-0.03506984,0.00077174
2025-05-16,0.02424982,1.29515983,-0.01167046,0.00074136
2025-05-23,0.02722598,1.33042183,0.00000000,0.00038371
2025-05-30,0.16119465,1.54487871,0.00000000,0.00057299
2025-06-06,0.10900076,1.71327166,0.00000000,0.00074652
2025-06-13,0.11763907,1.91481935,0.00000000,0.00078176
2025-06-20,-0.11032883,1.70355957,-0.11032883,0.00055043
2025-06-27,0.04920048,1.78737551,-0.06655658,0.00103339
2025-07-04,-0.01728232,1.75648552,-0.08268865,0.00105554
2025-07-11,0.06308860,1.86729973,-0.02481676,0.00103177
2025-07-18,0.08906988,2.03361990,0.00000000,0.00080416
2025-07-25,-0.04656110,1.93893232,-0.04656110,0.00088561
2025-08-01,0.04312568,2.02255010,-0.00544340,0.00124747
2025-08-08,0.02598360,2.07510323,0.00000000,0.00041734
2025-08-15,0.02646973,2.13003065,0.00000000,0.00124464
2025-08-22,-0.00634504,2.11651553,-0.00634504,0.00132293
2025-08-29,-0.01492145,2.08493404,-0.02117181,0.00091378
2025-09-05,-0.00635168,2.07169120,-0.02738902,0.00094397
2025-09-12,-0.00190516,2.06774431,-0.02924200,0.00125442
2025-09-19,-0.02668517,2.01256620,-0.05514684,0.00091885
2025-09-26,-0.07925472,1.85306082,-0.13003091,0.00119389
2025-10-03,0.16048035,2.15044067,0.00000000,0.00113068
2025-10-10,-0.03606675,2.07288126,-0.03606675,0.00064264
2025-10-17,-0.07136099,1.92495841,-0.10485398,0.00104762
2025-10-24,0.01079053,1.94572973,-0.09519488,0.00098619
2025-10-31,0.03670831,2.01715419,-0.06198101,0.00119573
2025-11-07,0.03843767,2.09468890,-0.02592574,0.00054059
2025-11-14,0.00088908,2.09655126,-0.02505971,0.00056872
2025-11-21,-0.09505166,1.89727057,-0.11772940,0.00100455
2025-11-28,0.03833388,1.97000031,-0.08390855,0.00048993
2025-12-05,0.04692499,2.06244255,-0.04092097,0.00080648
2025-12-12,-0.06782131,1.92256500,-0.10596696,0.00089537
2025-12-19,-0.01851814,1.88696268,-0.12252279,0.00084236
2025-12-24,0.01663934,1.91836049,-0.10792215,0.00088055
2026-01-02,0.03750547,1.99030950,-0.07446435,0.00087363
2026-01-09,0.05786720,2.10548314,-0.02090620,0.00089685
2026-01-16,0.03852820,2.18660361,0.00000000,0.00061750
2026-01-23,0.02170723,2.23406871,0.00000000,0.00067409
2026-01-30,-0.05371966,2.11405530,-0.05371966,0.00107482
2026-02-06,0.00862965,2.13229886,-0.04555359,0.00120876
2026-02-13,0.05909861,2.25831476,0.00000000,0.00107725
2026-02-20,-0.00484498,2.24737327,-0.00484498,0.00098939
2026-02-27,-0.00099265,2.24514242,-0.00583282,0.00100186
2026-03-06,-0.06247762,2.10487125,-0.06794602,0.00099089
2026-03-13,-0.00936304,2.08516326,-0.07667288,0.00123273
2026-03-20,0.00156795,2.08843270,-0.07522515,0.00091946
2026-03-27,-0.03459881,2.01617541,-0.10722126,0.00032854
2026-04-02,-0.00719650,2.00166601,-0.11364614,0.00087327
2026-04-10,0.03207859,2.06587664,-0.08521315,0.00091719
2026-04-17,-0.03039274,2.00308899,-0.11301603,0.00032362
2026-04-24,0.08291511,2.16917534,-0.03947166,0.00090512
2026-04-30,0.03352726,2.24190185,-0.00726777,0.00095513
2026-05-08,-0.05498166,2.11863836,-0.06184984,0.00106455
