date,portfolio_return,nav,drawdown,trading_cost
2026-01-05,0.00000000,1.00000000,0.00000000,0.00000000
2026-01-09,0.05202520,1.05202520,0.00000000,0.00029991
2026-01-16,0.01065959,1.06323936,0.00000000,0.00025163
2026-01-23,0.02599231,1.09087540,0.00000000,0.00037796
2026-01-30,-0.05070513,1.03556242,-0.05070513,0.00043192
2026-02-06,0.00651959,1.04231387,-0.04451612,0.00059699
2026-02-13,0.05421154,1.09881931,0.00000000,0.00041208
2026-02-20,-0.00527684,1.09302102,-0.00527684,0.00038049
2026-02-27,-0.00093311,1.09200110,-0.00620503,0.00039126
2026-03-06,-0.05526751,1.03164893,-0.06112960,0.00051172
2026-03-13,-0.00223857,1.02933951,-0.06323132,0.00060770
2026-03-20,0.00114069,1.03051366,-0.06216277,0.00037000
2026-03-27,-0.03207769,0.99745716,-0.09224642,0.00013105
2026-04-02,-0.00366156,0.99380491,-0.09557021,0.00046105
2026-04-10,0.02005624,1.01373691,-0.07743075,0.00037395
2026-04-17,-0.02660688,0.98676453,-0.10197743,0.00023327
2026-04-24,0.07923473,1.06495055,-0.03082286,0.00047642
2026-04-30,0.03217827,1.09921882,0.00000000,0.00051141
2026-05-08,-0.05333888,1.04058772,-0.05333888,0.00041894
2026-05-15,-0.05336232,0.98505954,-0.10385491,0.00062326
