date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count,weekly_overlay_trade_count,weekly_overlay_trading_cost,weekly_overlay_avg_one_way_turnover
2017-01-13,0.00549717,0.00564115,0.00549717,0.00014398,326,weekly_momentum_equal_weight_elastic,False,risk_on,0.25561570,0.52000000,0.51992513,2,2,12,0,0.00000000,0.00000000
2017-01-20,0.02963915,0.02991570,0.02963915,0.00027807,326,weekly_momentum_equal_weight_elastic,False,risk_on,0.30714164,0.00000000,0.00000000,5,4,13,0,0.00000000,0.00000000
2017-01-27,0.03080303,0.03101515,0.03080303,0.00021960,326,weekly_momentum_equal_weight_elastic,False,risk_on,0.30952476,0.00000000,-0.00000000,7,4,16,0,0.00000000,0.00000000
2017-02-03,-0.02064615,-0.02033196,-0.02064615,0.00033531,326,weekly_momentum_equal_weight_elastic,False,risk_on,0.32804241,0.00000000,0.00543284,6,5,15,0,0.00000000,0.00000000
2017-02-10,0.01777744,0.01808534,0.01777744,0.00032180,326,weekly_momentum_equal_weight_elastic,False,risk_on,0.36262039,0.00000000,0.00784323,8,4,19,0,0.00000000,0.00000000
2017-02-17,0.02245531,0.02277609,0.02245531,0.00034122,326,weekly_momentum_equal_weight_elastic,False,risk_on,0.44853560,0.00000000,0.00000000,8,7,23,0,0.00000000,0.00000000
2017-02-24,0.00424831,0.00444253,0.00424831,0.00021124,326,weekly_momentum_equal_weight_elastic,False,risk_on,0.34770952,0.00000000,-0.00305910,8,7,18,0,0.00000000,0.00000000
2017-03-03,-0.00001471,0.00026886,-0.00001471,0.00030973,326,weekly_momentum_equal_weight_elastic,False,risk_on,0.38590407,0.00000000,0.00000000,8,7,18,0,0.00000000,0.00000000
2017-03-10,0.02417741,0.02442552,0.02417741,0.00027099,325,weekly_momentum_equal_weight_elastic,False,risk_on,0.30727582,0.00000000,-0.00372725,8,3,15,0,0.00000000,0.00000000
2017-03-17,0.00258854,0.00283772,0.00258854,0.00027875,326,weekly_momentum_equal_weight_elastic,False,risk_on,0.34962217,0.00000000,0.00000000,8,7,14,0,0.00000000,0.00000000
2017-03-24,0.00856339,0.00872826,0.00856339,0.00018491,326,weekly_momentum_equal_weight_elastic,False,risk_on,0.32205852,0.00000000,-0.00000000,8,4,13,0,0.00000000,0.00000000
2017-03-31,-0.02052871,-0.02026206,-0.02052871,0.00030162,324,weekly_momentum_equal_weight_elastic,False,risk_on,0.34675178,0.00000000,0.00000000,8,6,12,0,0.00000000,0.00000000
2017-04-07,0.03316936,0.03341517,0.03316936,0.00027234,326,weekly_momentum_equal_weight_elastic,False,risk_on,0.31998239,0.00000000,0.00000000,8,4,17,0,0.00000000,0.00000000
2017-04-13,-0.01716488,-0.01681073,-0.01716488,0.00040539,326,weekly_momentum_equal_weight_elastic,False,risk_on,0.32081173,0.00000000,0.00179568,8,8,17,0,0.00000000,0.00000000
2017-04-21,-0.01809409,-0.01784256,-0.01809409,0.00028298,326,weekly_momentum_equal_weight_elastic,False,risk_on,0.30971699,0.00000000,0.01355816,8,5,20,0,0.00000000,0.00000000
2017-04-28,0.01104787,0.01132198,0.01104787,0.00030280,326,weekly_momentum_equal_weight_elastic,False,risk_on,0.32103335,0.00000000,-0.00963891,8,7,17,0,0.00000000,0.00000000
2017-05-05,-0.02005989,-0.01994671,-0.02005989,0.00012640,326,weekly_momentum_equal_weight_elastic,False,risk_on,0.32400030,0.00000000,-0.00000000,8,7,16,0,0.00000000,0.00000000
2017-05-12,0.03021087,0.03041488,0.03021087,0.00022328,326,weekly_momentum_equal_weight_elastic,False,risk_on,0.39237812,0.00000000,0.00000000,8,7,23,0,0.00000000,0.00000000
2017-05-19,-0.00353078,-0.00337527,-0.00353078,0.00017534,326,weekly_momentum_equal_weight_elastic,False,risk_on,0.41133012,0.00000000,-0.00924443,8,11,26,0,0.00000000,0.00000000
2017-05-26,0.02516424,0.02563766,0.02516424,0.00053191,326,weekly_momentum_equal_weight_elastic,False,risk_on,0.37987694,0.00000000,0.00000000,8,10,26,0,0.00000000,0.00000000
2017-06-02,0.04553501,0.04591831,0.04553501,0.00044149,326,weekly_momentum_equal_weight_elastic,False,risk_on,0.35541027,0.00000000,-0.00201506,8,11,32,0,0.00000000,0.00000000
2017-06-09,0.01175616,0.01212511,0.01175616,0.00044431,328,weekly_momentum_equal_weight_elastic,False,risk_on,0.28353421,0.00000000,-0.00129454,8,13,28,0,0.00000000,0.00000000
2017-06-16,-0.03247825,-0.03196279,-0.03247825,0.00062804,329,weekly_momentum_equal_weight_elastic,False,risk_on,0.30390091,0.00000000,0.00000000,8,13,31,0,0.00000000,0.00000000
2017-06-23,0.01291355,0.01330866,0.01291355,0.00046578,329,weekly_momentum_equal_weight_elastic,False,risk_on,0.34360692,0.00000000,0.00000000,8,8,26,0,0.00000000,0.00000000
2017-06-30,0.01165083,0.01211372,0.01165083,0.00055273,329,weekly_momentum_equal_weight_elastic,False,risk_on,0.35142594,0.00000000,0.00000000,8,13,27,0,0.00000000,0.00000000
2017-07-07,-0.01063055,-0.01015709,-0.01063055,0.00057194,329,weekly_momentum_equal_weight_elastic,False,risk_on,0.33331488,0.00000000,0.00273475,8,13,30,0,0.00000000,0.00000000
2017-07-14,0.10205928,0.10245224,0.10205928,0.00046964,329,weekly_momentum_equal_weight_elastic,False,risk_on,0.35244216,0.00000000,0.00000000,8,12,28,0,0.00000000,0.00000000
2017-07-21,0.03768310,0.03794570,0.03768310,0.00034586,331,weekly_momentum_equal_weight_elastic,False,risk_on,0.29380485,0.00000000,0.00623006,8,9,26,0,0.00000000,0.00000000
2017-07-28,-0.00303322,-0.00274097,-0.00303322,0.00039943,332,weekly_momentum_equal_weight_elastic,False,risk_on,0.30181183,0.00000000,-0.00897175,8,10,28,0,0.00000000,0.00000000
2017-08-04,-0.01118739,-0.01080670,-0.01118739,0.00051873,332,weekly_momentum_equal_weight_elastic,False,risk_on,0.32257250,0.00000000,0.00751631,8,8,30,0,0.00000000,0.00000000
