date,ts_code,name,weight
2017-01-13,CASH,现金,0.51708264
2017-01-13,00522.HK,ASMPT,0.25012936
2017-01-13,06808.HK,高鑫零售,0.23278800
2017-01-20,00175.HK,吉利汽车,0.25965420
2017-01-20,01918.HK,融创中国,0.23201768
2017-01-20,01929.HK,周大福,0.23081144
2017-01-20,06808.HK,高鑫零售,0.14616533
2017-01-20,00522.HK,ASMPT,0.13135133
2017-01-27,00175.HK,吉利汽车,0.23296248
2017-01-27,01114.HK,BRILLIANCE CHI,0.20248372
2017-01-27,00522.HK,ASMPT,0.16934878
2017-01-27,00347.HK,鞍钢股份,0.11981452
2017-01-27,06808.HK,高鑫零售,0.10527082
2017-01-27,01918.HK,融创中国,0.10023487
2017-01-27,01929.HK,周大福,0.06988480
2017-02-03,00522.HK,ASMPT,0.24080225
2017-02-03,00358.HK,江西铜业股份,0.23314504
2017-02-03,02689.HK,玖龙纸业,0.19205794
2017-02-03,01918.HK,融创中国,0.13211466
2017-02-03,06808.HK,高鑫零售,0.10588335
2017-02-03,00347.HK,鞍钢股份,0.09079864
2017-02-03,CASH,现金,0.00519812
2017-02-10,00175.HK,吉利汽车,0.18002504
2017-02-10,03323.HK,中国建材,0.17383819
2017-02-10,00338.HK,上海石油化工股份,0.16117135
2017-02-10,02689.HK,玖龙纸业,0.11416772
2017-02-10,00358.HK,江西铜业股份,0.10240411
2017-02-10,00522.HK,ASMPT,0.09884957
2017-02-10,00347.HK,鞍钢股份,0.09446047
2017-02-10,06808.HK,高鑫零售,0.06771025
2017-02-10,CASH,现金,0.00737329
2017-02-17,00522.HK,ASMPT,0.17656537
2017-02-17,01918.HK,融创中国,0.15048320
2017-02-17,00358.HK,江西铜业股份,0.13960311
2017-02-17,03993.HK,洛阳钼业,0.13456571
2017-02-17,03323.HK,中国建材,0.12030118
2017-02-17,01919.HK,中远海控,0.10812650
2017-02-17,06808.HK,高鑫零售,0.09216938
2017-02-17,00175.HK,吉利汽车,0.07818556
2017-02-24,00522.HK,ASMPT,0.16245180
2017-02-24,03993.HK,洛阳钼业,0.14835322
2017-02-24,02689.HK,玖龙纸业,0.14372546
2017-02-24,01918.HK,融创中国,0.14246906
2017-02-24,06808.HK,高鑫零售,0.13984443
2017-02-24,01929.HK,周大福,0.10709469
2017-02-24,00358.HK,江西铜业股份,0.08159203
2017-02-24,00175.HK,吉利汽车,0.07727007
2017-03-03,01093.HK,石药集团,0.19063144
2017-03-03,01918.HK,融创中国,0.16089515
2017-03-03,00347.HK,鞍钢股份,0.12234127
2017-03-03,00522.HK,ASMPT,0.12141507
2017-03-03,03323.HK,中国建材,0.10629020
2017-03-03,00175.HK,吉利汽车,0.10206768
2017-03-03,02689.HK,玖龙纸业,0.10066056
2017-03-03,03993.HK,洛阳钼业,0.09569864
2017-03-10,01114.HK,BRILLIANCE CHI,0.18826290
2017-03-10,00168.HK,青岛啤酒股份,0.17408430
2017-03-10,03323.HK,中国建材,0.11377871
2017-03-10,01918.HK,融创中国,0.11265888
2017-03-10,00175.HK,吉利汽车,0.11101709
2017-03-10,02689.HK,玖龙纸业,0.10739930
2017-03-10,03993.HK,洛阳钼业,0.10335622
2017-03-10,00522.HK,ASMPT,0.09277456
2017-03-17,00522.HK,ASMPT,0.15194658
2017-03-17,00175.HK,吉利汽车,0.14922082
2017-03-17,02007.HK,碧桂园,0.14548205
2017-03-17,01918.HK,融创中国,0.14420309
2017-03-17,01114.HK,BRILLIANCE CHI,0.13659935
2017-03-17,02382.HK,舜宇光学科技,0.11764937
2017-03-17,03993.HK,洛阳钼业,0.08255996
2017-03-17,03323.HK,中国建材,0.07233878
2017-03-24,01528.HK,红星美凯龙,0.16294218
2017-03-24,01918.HK,融创中国,0.14739334
2017-03-24,02007.HK,碧桂园,0.13525128
2017-03-24,03323.HK,中国建材,0.13459185
2017-03-24,00522.HK,ASMPT,0.12438941
2017-03-24,00175.HK,吉利汽车,0.10950960
2017-03-24,03993.HK,洛阳钼业,0.10923875
2017-03-24,01114.HK,BRILLIANCE CHI,0.07668360
2017-03-31,02007.HK,碧桂园,0.17498565
2017-03-31,01918.HK,融创中国,0.16751531
2017-03-31,02382.HK,舜宇光学科技,0.15172947
2017-03-31,00763.HK,中兴通讯,0.13440592
2017-03-31,03888.HK,金山软件,0.11305851
2017-03-31,00175.HK,吉利汽车,0.09062780
2017-03-31,00522.HK,ASMPT,0.08754272
2017-03-31,03323.HK,中国建材,0.08013463
2017-04-07,01918.HK,融创中国,0.17149412
2017-04-07,01929.HK,周大福,0.16974108
2017-04-07,00522.HK,ASMPT,0.14127705
2017-04-07,01093.HK,石药集团,0.13395130
2017-04-07,02007.HK,碧桂园,0.11018779
2017-04-07,03323.HK,中国建材,0.10411526
2017-04-07,00175.HK,吉利汽车,0.10236478
