date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count,weekly_overlay_trade_count,weekly_overlay_trading_cost,weekly_overlay_avg_one_way_turnover
2017-01-13,0.00595520,0.00611117,0.00595520,0.00015598,326,weekly_momentum_equal_weight_elastic,False,risk_on,0.25561570,0.48000000,0.47992513,2,2,12,0,0.00000000,0.00000000
2017-01-20,0.02889088,0.02919403,0.02889088,0.00030496,326,weekly_momentum_equal_weight_elastic,False,risk_on,0.30714164,0.00000000,0.00000000,5,4,13,0,0.00000000,0.00000000
2017-01-27,0.03125817,0.03147709,0.03125817,0.00022659,326,weekly_momentum_equal_weight_elastic,False,risk_on,0.30952476,0.00000000,-0.00000000,7,4,16,0,0.00000000,0.00000000
2017-02-03,-0.02070733,-0.02039242,-0.02070733,0.00033613,326,weekly_momentum_equal_weight_elastic,False,risk_on,0.32804241,0.00000000,0.00447714,6,5,15,0,0.00000000,0.00000000
2017-02-10,0.01788046,0.01818890,0.01788046,0.00032240,326,weekly_momentum_equal_weight_elastic,False,risk_on,0.36262039,0.00000000,0.00860504,8,4,19,0,0.00000000,0.00000000
2017-02-17,0.02244834,0.02276889,0.02244834,0.00034105,326,weekly_momentum_equal_weight_elastic,False,risk_on,0.44853560,0.00000000,0.00000000,8,7,23,0,0.00000000,0.00000000
2017-02-24,0.00424831,0.00444253,0.00424831,0.00021128,326,weekly_momentum_equal_weight_elastic,False,risk_on,0.34770952,0.00000000,-0.00305972,8,7,18,0,0.00000000,0.00000000
2017-03-03,-0.00001471,0.00026886,-0.00001471,0.00030979,326,weekly_momentum_equal_weight_elastic,False,risk_on,0.38590407,0.00000000,0.00000000,8,7,18,0,0.00000000,0.00000000
2017-03-10,0.02417741,0.02442552,0.02417741,0.00027104,325,weekly_momentum_equal_weight_elastic,False,risk_on,0.30727582,0.00000000,-0.00372801,8,3,15,0,0.00000000,0.00000000
2017-03-17,0.00258854,0.00283772,0.00258854,0.00027880,326,weekly_momentum_equal_weight_elastic,False,risk_on,0.34962217,0.00000000,0.00000000,8,7,14,0,0.00000000,0.00000000
2017-03-24,0.00856339,0.00872826,0.00856339,0.00018494,326,weekly_momentum_equal_weight_elastic,False,risk_on,0.32205852,0.00000000,-0.00000000,8,4,13,0,0.00000000,0.00000000
2017-03-31,-0.02052871,-0.02026206,-0.02052871,0.00030168,324,weekly_momentum_equal_weight_elastic,False,risk_on,0.34675178,0.00000000,0.00000000,8,6,12,0,0.00000000,0.00000000
2017-04-07,0.03316936,0.03341517,0.03316936,0.00027239,326,weekly_momentum_equal_weight_elastic,False,risk_on,0.31998239,0.00000000,0.00000000,8,4,17,0,0.00000000,0.00000000
2017-04-13,-0.01716488,-0.01681073,-0.01716488,0.00040547,326,weekly_momentum_equal_weight_elastic,False,risk_on,0.32081173,0.00000000,0.00179604,8,8,17,0,0.00000000,0.00000000
2017-04-21,-0.01809409,-0.01784256,-0.01809409,0.00028304,326,weekly_momentum_equal_weight_elastic,False,risk_on,0.30971699,0.00000000,0.01356090,8,5,20,0,0.00000000,0.00000000
2017-04-28,0.01104787,0.01132198,0.01104787,0.00030286,326,weekly_momentum_equal_weight_elastic,False,risk_on,0.32103335,0.00000000,-0.00964086,8,7,17,0,0.00000000,0.00000000
2017-05-05,-0.02005989,-0.01994671,-0.02005989,0.00012643,326,weekly_momentum_equal_weight_elastic,False,risk_on,0.32400030,0.00000000,-0.00000000,8,7,16,0,0.00000000,0.00000000
2017-05-12,0.03021087,0.03041488,0.03021087,0.00022332,326,weekly_momentum_equal_weight_elastic,False,risk_on,0.39237812,0.00000000,-0.00000000,8,7,23,0,0.00000000,0.00000000
2017-05-19,-0.00353078,-0.00337527,-0.00353078,0.00017538,326,weekly_momentum_equal_weight_elastic,False,risk_on,0.41133012,0.00000000,-0.00924630,8,11,26,0,0.00000000,0.00000000
2017-05-26,0.02516424,0.02563766,0.02516424,0.00053201,326,weekly_momentum_equal_weight_elastic,False,risk_on,0.37987694,0.00000000,0.00000000,8,10,26,0,0.00000000,0.00000000
2017-06-02,0.04553501,0.04591831,0.04553501,0.00044158,326,weekly_momentum_equal_weight_elastic,False,risk_on,0.35541027,0.00000000,-0.00201547,8,11,32,0,0.00000000,0.00000000
2017-06-09,0.01175616,0.01212511,0.01175616,0.00044440,328,weekly_momentum_equal_weight_elastic,False,risk_on,0.28353421,0.00000000,-0.00129480,8,13,28,0,0.00000000,0.00000000
2017-06-16,-0.03247825,-0.03196279,-0.03247825,0.00062817,329,weekly_momentum_equal_weight_elastic,False,risk_on,0.30390091,0.00000000,0.00000000,8,13,31,0,0.00000000,0.00000000
