date,ts_code,name,weight
2023-01-13,00941.HK,中国移动,0.10641470
2023-01-13,01398.HK,工商银行,0.10502997
2023-01-13,00005.HK,汇丰控股,0.09565275
2023-01-13,01288.HK,农业银行,0.09373131
2023-01-13,03988.HK,中国银行,0.09048051
2023-01-13,00857.HK,中国石油股份,0.08513129
2023-01-13,00939.HK,建设银行,0.08217469
2023-01-13,02628.HK,中国人寿,0.07408077
2023-01-13,00386.HK,中国石油化工股份,0.07202432
2023-01-13,00728.HK,中国电信,0.06925271
2023-01-13,01299.HK,友邦保险,0.06833798
2023-01-13,00016.HK,新鸿基地产,0.05768900
2023-01-20,00941.HK,中国移动,0.10422868
2023-01-20,01398.HK,工商银行,0.10270674
2023-01-20,00005.HK,汇丰控股,0.09536212
2023-01-20,01288.HK,农业银行,0.09307321
2023-01-20,03988.HK,中国银行,0.08868175
2023-01-20,00857.HK,中国石油股份,0.08691422
2023-01-20,00939.HK,建设银行,0.08102947
2023-01-20,00883.HK,中国海洋石油,0.08054289
2023-01-20,00386.HK,中国石油化工股份,0.07319775
2023-01-20,00728.HK,中国电信,0.07241245
2023-01-20,02628.HK,中国人寿,0.07224991
2023-01-20,01088.HK,中国神华,0.07080105
2023-01-27,CASH,现金,0.24860462
2023-01-27,00941.HK,中国移动,0.08034810
2023-01-27,00005.HK,汇丰控股,0.07264438
2023-01-27,01398.HK,工商银行,0.06818209
2023-01-27,01288.HK,农业银行,0.06565947
2023-01-27,00857.HK,中国石油股份,0.06483877
2023-01-27,03988.HK,中国银行,0.06414228
2023-01-27,00883.HK,中国海洋石油,0.05851792
2023-01-27,00939.HK,建设银行,0.05818669
2023-01-27,02628.HK,中国人寿,0.05677720
2023-01-27,00386.HK,中国石油化工股份,0.05594537
2023-01-27,00728.HK,中国电信,0.05350928
2023-01-27,01088.HK,中国神华,0.05264382
2023-02-03,00941.HK,中国移动,0.10976212
2023-02-03,00005.HK,汇丰控股,0.09732337
2023-02-03,01398.HK,工商银行,0.09673133
2023-02-03,01288.HK,农业银行,0.08690232
2023-02-03,00857.HK,中国石油股份,0.08653301
2023-02-03,03988.HK,中国银行,0.08644926
2023-02-03,00939.HK,建设银行,0.07964400
2023-02-03,00883.HK,中国海洋石油,0.07827888
2023-02-03,00386.HK,中国石油化工股份,0.07379022
2023-02-03,00728.HK,中国电信,0.07235196
2023-02-03,02628.HK,中国人寿,0.06722872
2023-02-03,01088.HK,中国神华,0.06500483
2023-02-10,00941.HK,中国移动,0.12123853
2023-02-10,00005.HK,汇丰控股,0.10144572
2023-02-10,01398.HK,工商银行,0.09633705
2023-02-10,01288.HK,农业银行,0.08693172
2023-02-10,00857.HK,中国石油股份,0.08692752
2023-02-10,03988.HK,中国银行,0.08582570
2023-02-10,00883.HK,中国海洋石油,0.07887599
2023-02-10,00386.HK,中国石油化工股份,0.07472929
2023-02-10,00728.HK,中国电信,0.07066847
2023-02-10,01088.HK,中国神华,0.06406971
2023-02-10,00016.HK,新鸿基地产,0.06270801
2023-02-10,02899.HK,紫金矿业,0.05505583
2023-02-10,CASH,现金,0.01518645
2023-02-17,00941.HK,中国移动,0.12208712
2023-02-17,00005.HK,汇丰控股,0.10178832
2023-02-17,01398.HK,工商银行,0.09522238
2023-02-17,00857.HK,中国石油股份,0.08740167
2023-02-17,01288.HK,农业银行,0.08656406
2023-02-17,03988.HK,中国银行,0.08514639
2023-02-17,00883.HK,中国海洋石油,0.07927559
2023-02-17,00386.HK,中国石油化工股份,0.07432678
2023-02-17,00728.HK,中国电信,0.07268110
2023-02-17,01088.HK,中国神华,0.06380982
2023-02-17,00016.HK,新鸿基地产,0.06209003
2023-02-17,02628.HK,中国人寿,0.05835481
2023-02-17,CASH,现金,0.01125193
2023-02-24,00941.HK,中国移动,0.12313182
2023-02-24,00005.HK,汇丰控股,0.10395896
2023-02-24,01398.HK,工商银行,0.09476694
2023-02-24,00857.HK,中国石油股份,0.08700166
2023-02-24,01288.HK,农业银行,0.08640268
2023-02-24,03988.HK,中国银行,0.08464905
2023-02-24,00883.HK,中国海洋石油,0.07928765
2023-02-24,00386.HK,中国石油化工股份,0.07358668
2023-02-24,00728.HK,中国电信,0.07194273
2023-02-24,01088.HK,中国神华,0.06530819
2023-02-24,00016.HK,新鸿基地产,0.06058031
2023-02-24,02628.HK,中国人寿,0.05815237
2023-02-24,CASH,现金,0.01123095
2023-03-03,00941.HK,中国移动,0.12729061
2023-03-03,00005.HK,汇丰控股,0.10375526
2023-03-03,01398.HK,工商银行,0.09424057
2023-03-03,00857.HK,中国石油股份,0.08725991
2023-03-03,01288.HK,农业银行,0.08453594
2023-03-03,03988.HK,中国银行,0.08374335
2023-03-03,00883.HK,中国海洋石油,0.07791361
2023-03-03,00728.HK,中国电信,0.07532929
2023-03-03,00386.HK,中国石油化工股份,0.07496740
2023-03-03,01088.HK,中国神华,0.06415767
2023-03-03,02628.HK,中国人寿,0.05808168
2023-03-03,00016.HK,新鸿基地产,0.05787434
2023-03-03,CASH,现金,0.01085038
2023-03-10,00941.HK,中国移动,0.11773381
2023-03-10,00005.HK,汇丰控股,0.10204530
2023-03-10,01398.HK,工商银行,0.09421950
2023-03-10,00857.HK,中国石油股份,0.08917252
2023-03-10,01288.HK,农业银行,0.08441819
2023-03-10,03988.HK,中国银行,0.08270484
2023-03-10,00386.HK,中国石油化工股份,0.07894908
2023-03-10,00883.HK,中国海洋石油,0.07762276
2023-03-10,00728.HK,中国电信,0.07598426
2023-03-10,02628.HK,中国人寿,0.06816604
2023-03-10,01088.HK,中国神华,0.06409264
2023-03-10,00016.HK,新鸿基地产,0.05704053
2023-03-10,CASH,现金,0.00785052
2023-03-17,00941.HK,中国移动,0.12141332
2023-03-17,01398.HK,工商银行,0.09582395
2023-03-17,00005.HK,汇丰控股,0.09437003
2023-03-17,00857.HK,中国石油股份,0.08780281
2023-03-17,01288.HK,农业银行,0.08566084
2023-03-17,03988.HK,中国银行,0.08275076
2023-03-17,00386.HK,中国石油化工股份,0.08262141
2023-03-17,00883.HK,中国海洋石油,0.07654472
2023-03-17,00728.HK,中国电信,0.07576299
2023-03-17,02628.HK,中国人寿,0.06719605
2023-03-17,01088.HK,中国神华,0.06508127
2023-03-17,00016.HK,新鸿基地产,0.05736053
2023-03-17,CASH,现金,0.00761132
2023-03-24,00941.HK,中国移动,0.11781952
2023-03-24,01398.HK,工商银行,0.09724015
2023-03-24,00005.HK,汇丰控股,0.09360032
2023-03-24,01288.HK,农业银行,0.08729437
2023-03-24,00857.HK,中国石油股份,0.08708365
2023-03-24,03988.HK,中国银行,0.08467159
2023-03-24,00386.HK,中国石油化工股份,0.08104107
2023-03-24,00939.HK,建设银行,0.08071105
2023-03-24,00883.HK,中国海洋石油,0.07661717
2023-03-24,00728.HK,中国电信,0.07265218
2023-03-24,01088.HK,中国神华,0.06712494
2023-03-24,00016.HK,新鸿基地产,0.05941348
2023-03-31,00941.HK,中国移动,0.11806055
2023-03-31,01398.HK,工商银行,0.09502896
2023-03-31,00857.HK,中国石油股份,0.09396801
2023-03-31,01288.HK,农业银行,0.08672361
2023-03-31,03988.HK,中国银行,0.08343961
2023-03-31,00005.HK,汇丰控股,0.08250142
2023-03-31,00939.HK,建设银行,0.08009289
2023-03-31,00386.HK,中国石油化工股份,0.07890433
2023-03-31,00883.HK,中国海洋石油,0.07756362
2023-03-31,00728.HK,中国电信,0.07351452
