date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count,weekly_overlay_trade_count,weekly_overlay_trading_cost,weekly_overlay_avg_one_way_turnover
2025-01-10,-0.02810927,-0.02780936,-0.02810927,0.00029991,482,weekly_cashoff,False,risk_on,0.34457938,0.00000000,0.00000000,12,39,94,0,0.00000000,0.00000000
2025-01-17,0.02260385,0.02265143,0.02260385,0.00004625,483,weekly_cashoff,False,risk_on,0.37250397,0.00000000,0.00259864,12,34,98,0,0.00000000,0.00000000
2025-01-24,0.03038731,0.03039063,0.03038731,0.00000330,484,weekly_cashoff,False,risk_on,0.44062777,0.00000000,-0.00840306,12,38,98,0,0.00000000,0.00000000
2025-01-28,0.00944348,0.00947837,0.00944348,0.00003573,484,weekly_cashoff,False,risk_on,0.44007614,0.00000000,-0.00439166,12,39,95,0,0.00000000,0.00000000
2025-02-07,0.03152387,0.03160299,0.03152387,0.00008179,484,weekly_cashoff,False,risk_on,0.46281814,0.00000000,-0.00420216,12,26,93,0,0.00000000,0.00000000
2025-02-14,0.06418970,0.06431458,0.06418970,0.00013316,484,weekly_cashoff,False,risk_on,0.39770342,0.00000000,-0.01007685,12,47,95,0,0.00000000,0.00000000
2025-02-21,0.03282053,0.03282053,0.03282053,0.00000000,484,weekly_cashoff,False,risk_on,0.38343782,0.00000000,-0.01007685,12,52,96,0,0.00000000,0.00000000
2025-02-28,-0.01942382,-0.01938265,-0.01942382,0.00004826,484,weekly_cashoff,False,risk_on,0.35504533,0.00000000,-0.03082527,12,57,95,0,0.00000000,0.00000000
2025-03-07,0.04309411,0.04318377,0.04309411,0.00010304,484,weekly_cashoff,False,risk_on,0.35142880,0.00000000,0.00327211,12,45,91,0,0.00000000,0.00000000
2025-03-14,0.01140427,0.01148464,0.01140427,0.00009634,484,weekly_cashoff,False,risk_on,0.39417152,0.00000000,-0.03510817,12,59,91,0,0.00000000,0.00000000
2025-03-21,-0.00924795,-0.00920711,-0.00924795,0.00004951,484,weekly_cashoff,False,risk_on,0.43329715,0.00000000,-0.01631957,12,60,94,0,0.00000000,0.00000000
2025-03-28,-0.02037755,-0.02034545,-0.02037755,0.00003856,484,weekly_cashoff,False,risk_on,0.49235861,0.00000000,-0.01959012,12,57,94,0,0.00000000,0.00000000
2025-04-03,-0.02713691,-0.02707338,-0.02713691,0.00007476,484,weekly_cashoff,False,risk_on,0.48161478,0.00000000,-0.01272269,12,50,89,0,0.00000000,0.00000000
2025-04-11,-0.06644401,-0.06638132,-0.06644401,0.00007176,484,weekly_cashoff,False,risk_on,0.56048248,0.00000000,-0.01885243,12,36,87,0,0.00000000,0.00000000
2025-04-17,0.02054630,0.02062628,0.02054630,0.00008548,484,weekly_cashoff,False,risk_on,0.55665028,0.00000000,-0.02030640,12,33,91,0,0.00000000,0.00000000
2025-04-25,0.03199907,0.03203571,0.03199907,0.00003997,484,weekly_cashoff,False,risk_on,0.59275846,0.00000000,-0.00918504,12,35,88,0,0.00000000,0.00000000
2025-05-02,0.00518295,0.00521684,0.00518295,0.00003815,485,weekly_cashoff,False,risk_on,0.49340473,0.00000000,-0.01452093,12,35,93,0,0.00000000,0.00000000
2025-05-09,0.01698802,0.01702627,0.01698802,0.00004328,485,weekly_cashoff,False,risk_on,0.42167154,0.00000000,0.00178172,12,38,96,0,0.00000000,0.00000000
2025-05-16,0.03899359,0.03902684,0.03899359,0.00003826,485,weekly_cashoff,False,risk_on,0.27568485,0.00000000,-0.00467651,12,44,92,0,0.00000000,0.00000000
2025-05-23,0.01708348,0.01708348,0.01708348,0.00000000,486,weekly_cashoff,False,risk_on,0.24678239,0.00000000,-0.00467651,12,51,94,0,0.00000000,0.00000000
2025-05-30,0.05822384,0.05827663,0.05822384,0.00006419,486,weekly_cashoff,False,risk_on,0.34039758,0.00000000,-0.02174867,12,50,93,0,0.00000000,0.00000000
2025-06-06,0.02840682,0.02853180,0.02840682,0.00016082,487,weekly_cashoff,False,risk_on,0.38705230,0.00000000,0.01407629,12,46,98,0,0.00000000,0.00000000
2025-06-13,0.01527613,0.01530879,0.01527613,0.00004322,487,weekly_cashoff,False,risk_on,0.37925318,0.00000000,0.02132785,12,57,96,0,0.00000000,0.00000000
2025-06-20,0.00712031,0.00718793,0.00712031,0.00009085,488,weekly_cashoff,False,risk_on,0.44059265,0.00000000,0.00308115,12,53,95,0,0.00000000,0.00000000
2025-06-27,0.02789885,0.02793582,0.02789885,0.00005003,488,weekly_cashoff,False,risk_on,0.48349333,0.00000000,-0.01910842,12,50,96,0,0.00000000,0.00000000
2025-07-04,-0.00867655,-0.00861256,-0.00867655,0.00008900,488,weekly_cashoff,False,risk_on,0.52572583,0.00000000,-0.01854262,12,55,99,0,0.00000000,0.00000000
2025-07-11,0.00904424,0.00911292,0.00904424,0.00009469,489,weekly_cashoff,False,risk_on,0.54997948,0.00000000,-0.03176559,12,59,97,0,0.00000000,0.00000000
2025-07-18,0.00757213,0.00765308,0.00757213,0.00011261,489,weekly_cashoff,False,risk_on,0.58691904,0.00000000,-0.02411046,12,58,98,0,0.00000000,0.00000000
2025-07-25,0.02230516,0.02234141,0.02230516,0.00005081,490,weekly_cashoff,False,risk_on,0.60784743,0.00000000,-0.01208406,12,58,101,0,0.00000000,0.00000000
2025-08-01,-0.03933604,-0.03928505,-0.03933604,0.00007307,490,weekly_cashoff,False,risk_on,0.71678534,0.00000000,-0.03151847,12,59,103,0,0.00000000,0.00000000
2025-08-08,0.01944641,0.01949099,0.01944641,0.00006137,490,weekly_cashoff,False,risk_on,0.75279185,0.00000000,-0.00995035,12,47,96,0,0.00000000,0.00000000
2025-08-15,0.03521198,0.03532143,0.03521198,0.00015360,491,weekly_cashoff,False,risk_on,0.79176482,0.00000000,-0.00714595,12,57,99,0,0.00000000,0.00000000
2025-08-22,0.02366649,0.02375761,0.02366649,0.00013239,491,weekly_cashoff,False,risk_on,0.84799656,0.00000000,0.01569514,12,56,97,0,0.00000000,0.00000000
2025-08-29,-0.00631281,-0.00627761,-0.00631281,0.00005235,492,weekly_cashoff,False,risk_on,0.93148028,0.00000000,0.00259677,12,60,101,0,0.00000000,0.00000000
2025-09-05,0.00379277,0.00386696,0.00379277,0.00010964,492,weekly_cashoff,False,risk_on,0.83032154,0.00000000,0.01009959,12,37,100,0,0.00000000,0.00000000
2025-09-12,0.03653922,0.03658741,0.03653922,0.00007149,492,weekly_cashoff,False,risk_on,0.92865354,0.00000000,0.03076707,12,51,100,0,0.00000000,0.00000000
2025-09-19,-0.01960711,-0.01957130,-0.01960711,0.00005506,492,weekly_cashoff,False,risk_on,1.03670944,0.00000000,0.04111455,12,53,101,0,0.00000000,0.00000000
2025-09-26,-0.01742629,-0.01735450,-0.01742629,0.00010823,493,weekly_cashoff,False,risk_on,0.97080205,0.00000000,0.02226087,12,50,103,0,0.00000000,0.00000000
2025-10-03,0.04154982,0.04159229,0.04154982,0.00006290,493,weekly_cashoff,False,risk_on,0.69683332,0.00000000,0.01047411,12,45,103,0,0.00000000,0.00000000
2025-10-10,-0.02329155,-0.02324589,-0.02329155,0.00007044,493,weekly_cashoff,False,risk_on,0.48833709,0.00000000,-0.01483897,12,46,101,0,0.00000000,0.00000000
2025-10-17,-0.01786985,-0.01783011,-0.01786985,0.00005987,493,weekly_cashoff,False,risk_on,0.65548785,0.00000000,-0.00496709,12,38,101,0,0.00000000,0.00000000
2025-10-24,0.03808083,0.03812973,0.03808083,0.00007237,493,weekly_cashoff,False,risk_on,0.69555794,0.00000000,-0.03788302,12,40,102,0,0.00000000,0.00000000
