date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count,weekly_overlay_trade_count,weekly_overlay_trading_cost,weekly_overlay_avg_one_way_turnover
2017-01-13,0.01884446,0.01914437,0.01884446,0.00029991,326,weekly_equal_buffered,False,risk_on,0.25561570,0.00000000,0.00000000,10,19,68,0,0.00000000,0.00000000
2017-01-20,0.01375648,0.01394177,0.01375648,0.00018878,326,weekly_equal_buffered,False,risk_on,0.30714164,0.00000000,-0.01294816,10,29,70,0,0.00000000,0.00000000
2017-01-27,0.02021223,0.02033245,0.02021223,0.00012417,326,weekly_equal_buffered,False,risk_on,0.30952476,0.00000000,-0.00769555,10,28,71,0,0.00000000,0.00000000
2017-02-03,-0.00311567,-0.00282019,-0.00311567,0.00031136,326,weekly_equal_buffered,False,risk_on,0.32804241,0.00000000,0.01102680,10,31,62,0,0.00000000,0.00000000
2017-02-10,0.03975038,0.03998249,0.03975038,0.00024382,326,weekly_equal_buffered,False,risk_on,0.36262039,0.00000000,-0.00931222,10,42,71,0,0.00000000,0.00000000
2017-02-17,0.01792800,0.01811208,0.01792800,0.00020106,326,weekly_equal_buffered,False,risk_on,0.44853560,0.00000000,-0.01856158,10,42,69,0,0.00000000,0.00000000
2017-02-24,0.00827293,0.00850978,0.00827293,0.00026334,326,weekly_equal_buffered,False,risk_on,0.34770952,0.00000000,-0.01375080,10,44,65,0,0.00000000,0.00000000
2017-03-03,-0.01440484,-0.01428580,-0.01440484,0.00013344,326,weekly_equal_buffered,False,risk_on,0.38590407,0.00000000,-0.02241256,10,43,66,0,0.00000000,0.00000000
2017-03-10,0.03899656,0.03911321,0.03899656,0.00012887,325,weekly_equal_buffered,False,risk_on,0.30727582,0.00000000,-0.01826326,10,38,66,0,0.00000000,0.00000000
2017-03-17,0.01424044,0.01436617,0.01424044,0.00014433,326,weekly_equal_buffered,False,risk_on,0.34962217,0.00000000,-0.01685779,10,38,67,0,0.00000000,0.00000000
2017-03-24,0.01180329,0.01197937,0.01180329,0.00020500,326,weekly_equal_buffered,False,risk_on,0.32205852,0.00000000,-0.00217886,10,41,68,0,0.00000000,0.00000000
2017-03-31,-0.01739390,-0.01710963,-0.01739390,0.00033487,324,weekly_equal_buffered,False,risk_on,0.34675178,0.00000000,-0.01063940,10,36,68,0,0.00000000,0.00000000
2017-04-07,0.00183599,0.00213068,0.00183599,0.00034111,326,weekly_equal_buffered,False,risk_on,0.31998239,0.00000000,-0.00094531,10,22,66,0,0.00000000,0.00000000
2017-04-13,0.00434897,0.00458523,0.00434897,0.00027398,326,weekly_equal_buffered,False,risk_on,0.32081173,0.00000000,0.00225186,10,32,70,0,0.00000000,0.00000000
2017-04-21,-0.00652414,-0.00640851,-0.00652414,0.00013467,326,weekly_equal_buffered,False,risk_on,0.30971699,0.00000000,0.00561738,10,34,71,0,0.00000000,0.00000000
2017-04-28,0.02255437,0.02273415,0.02255437,0.00020802,326,weekly_equal_buffered,False,risk_on,0.32103335,0.00000000,0.00018051,10,34,71,0,0.00000000,0.00000000
2017-05-05,-0.00406558,-0.00394107,-0.00406558,0.00014731,326,weekly_equal_buffered,False,risk_on,0.32400030,0.00000000,0.02519349,10,28,66,0,0.00000000,0.00000000
2017-05-12,0.01225422,0.01231303,0.01225422,0.00006930,326,weekly_equal_buffered,False,risk_on,0.39237812,0.00000000,-0.00939982,10,27,67,0,0.00000000,0.00000000
2017-05-19,0.00088238,0.00110969,0.00088238,0.00027114,326,weekly_equal_buffered,False,risk_on,0.41133012,0.00000000,-0.02937113,10,38,71,0,0.00000000,0.00000000
2017-05-26,0.02776293,0.02789656,0.02776293,0.00015954,326,weekly_equal_buffered,False,risk_on,0.37987694,0.00000000,-0.00589531,10,39,73,0,0.00000000,0.00000000
2017-06-02,0.02225946,0.02255912,0.02225946,0.00036770,326,weekly_equal_buffered,False,risk_on,0.35541027,0.00000000,-0.00892758,10,41,76,0,0.00000000,0.00000000
2017-06-09,0.00153982,0.00171423,0.00153982,0.00021876,328,weekly_equal_buffered,False,risk_on,0.28353421,0.00000000,-0.00729875,10,45,78,0,0.00000000,0.00000000
2017-06-16,-0.02799312,-0.02782279,-0.02799312,0.00021398,329,weekly_equal_buffered,False,risk_on,0.30390091,0.00000000,-0.00111043,10,46,75,0,0.00000000,0.00000000
2017-06-23,0.02136374,0.02153436,0.02136374,0.00020834,329,weekly_equal_buffered,False,risk_on,0.34360692,0.00000000,-0.00034438,10,45,78,0,0.00000000,0.00000000
2017-06-30,0.04035543,0.04047815,0.04035543,0.00015306,329,weekly_equal_buffered,False,risk_on,0.35142594,0.00000000,0.01258881,10,43,79,0,0.00000000,0.00000000
2017-07-07,-0.00425650,-0.00407231,-0.00425650,0.00023899,329,weekly_equal_buffered,False,risk_on,0.33331488,0.00000000,0.02154634,10,31,76,0,0.00000000,0.00000000
2017-07-14,0.04656373,0.04668258,0.04656373,0.00015355,329,weekly_equal_buffered,False,risk_on,0.35244216,0.00000000,0.00999126,10,41,76,0,0.00000000,0.00000000
2017-07-21,0.00889480,0.00896160,0.00889480,0.00009032,331,weekly_equal_buffered,False,risk_on,0.29380485,0.00000000,0.00575522,10,44,76,0,0.00000000,0.00000000
2017-07-28,0.02128913,0.02141138,0.02128913,0.00016677,332,weekly_equal_buffered,False,risk_on,0.30181183,0.00000000,-0.00774406,10,45,77,0,0.00000000,0.00000000
2017-08-04,0.03443896,0.03455431,0.03443896,0.00016071,332,weekly_equal_buffered,False,risk_on,0.32257250,0.00000000,-0.02543297,10,44,75,0,0.00000000,0.00000000
2017-08-11,-0.04532760,-0.04514818,-0.04532760,0.00025858,332,weekly_equal_buffered,False,risk_on,0.31047887,0.00000000,-0.03118317,10,43,74,0,0.00000000,0.00000000
2017-08-18,0.01542507,0.01560058,0.01542507,0.00024148,332,weekly_equal_buffered,False,risk_on,0.30177611,0.00000000,-0.00320148,10,38,73,0,0.00000000,0.00000000
2017-08-25,0.04374511,0.04380394,0.04374511,0.00008219,332,weekly_equal_buffered,False,risk_on,0.30943706,0.00000000,-0.02133442,10,42,73,0,0.00000000,0.00000000
2017-09-01,-0.00196512,-0.00179474,-0.00196512,0.00024845,333,weekly_equal_buffered,False,risk_on,0.30239460,0.00000000,-0.01615457,10,43,71,0,0.00000000,0.00000000
2017-09-08,-0.00212736,-0.00190461,-0.00212736,0.00032417,333,weekly_equal_buffered,False,risk_on,0.30368462,0.00000000,-0.03094990,10,43,74,0,0.00000000,0.00000000
2017-09-15,0.03117626,0.03124617,0.03117626,0.00010153,332,weekly_equal_buffered,False,risk_on,0.22020858,0.00000000,-0.01852393,10,40,75,0,0.00000000,0.00000000
2017-09-22,0.02574226,0.02579751,0.02574226,0.00008274,333,weekly_equal_buffered,False,risk_on,0.26936997,0.00000000,-0.02564324,10,43,73,0,0.00000000,0.00000000
2017-09-29,-0.02545721,-0.02534938,-0.02545721,0.00016564,333,weekly_equal_buffered,False,risk_on,0.27098005,0.00000000,-0.02575749,10,44,72,0,0.00000000,0.00000000
2017-10-06,0.05501260,0.05519404,0.05501260,0.00027162,333,weekly_equal_buffered,False,risk_on,0.31635266,0.00000000,-0.00792351,10,26,75,0,0.00000000,0.00000000
2017-10-13,-0.01437749,-0.01420975,-0.01437749,0.00026491,334,weekly_equal_buffered,False,risk_on,0.29176639,0.00000000,-0.01373332,10,45,74,0,0.00000000,0.00000000
2017-10-20,-0.00417379,-0.00405778,-0.00417379,0.00018059,334,weekly_equal_buffered,False,risk_on,0.32947371,0.00000000,-0.02557163,10,38,74,0,0.00000000,0.00000000
2017-10-27,-0.01321315,-0.01304553,-0.01321315,0.00025984,335,weekly_equal_buffered,False,risk_on,0.33052053,0.00000000,-0.02240644,10,37,75,0,0.00000000,0.00000000
2017-11-03,0.00101041,0.00111954,0.00101041,0.00016692,335,weekly_equal_buffered,False,risk_on,0.33396074,0.00000000,0.00059301,10,38,73,0,0.00000000,0.00000000
2017-11-10,0.05178553,0.05189659,0.05178553,0.00017005,339,weekly_equal_buffered,False,risk_on,0.38853795,0.00000000,-0.00796839,10,32,77,0,0.00000000,0.00000000
2017-11-17,0.01807343,0.01813543,0.01807343,0.00009985,339,weekly_equal_buffered,False,risk_on,0.38439964,0.00000000,-0.02599839,10,39,77,0,0.00000000,0.00000000
2017-11-24,0.02702070,0.02708370,0.02702070,0.00010328,338,weekly_equal_buffered,False,risk_on,0.38827115,0.00000000,-0.01232523,10,38,79,0,0.00000000,0.00000000
2017-12-01,-0.04057501,-0.04050938,-0.04057501,0.00011051,339,weekly_equal_buffered,False,risk_on,0.35796928,0.00000000,0.00580347,10,39,79,0,0.00000000,0.00000000
2017-12-08,-0.02240147,-0.02233784,-0.02240147,0.00010280,339,weekly_equal_buffered,False,risk_on,0.36783634,0.00000000,0.00887038,10,32,75,0,0.00000000,0.00000000
2017-12-15,-0.00372994,-0.00362202,-0.00372994,0.00017043,340,weekly_equal_buffered,False,risk_on,0.38171317,0.00000000,-0.02277143,10,33,79,0,0.00000000,0.00000000
2017-12-22,0.02272504,0.02284005,0.02272504,0.00018097,342,weekly_equal_buffered,False,risk_on,0.41245776,0.00000000,-0.03192881,10,29,77,0,0.00000000,0.00000000
2017-12-29,0.01203321,0.01220557,0.01203321,0.00027737,341,weekly_equal_buffered,False,risk_on,0.45884755,0.00000000,-0.01221097,10,35,79,0,0.00000000,0.00000000
