date,portfolio_return,nav,drawdown,trading_cost
2020-01-06,0.00000000,1.00000000,0.00000000,0.00000000
2020-01-10,0.01193489,1.01193489,0.00000000,0.00029991
2020-01-17,0.02513959,1.03737452,0.00000000,0.00017787
2020-01-24,-0.04898225,0.98656158,-0.04898225,0.00006301
2020-01-31,-0.06810684,0.91936999,-0.11375306,0.00016727
2020-02-07,0.04727645,0.96283454,-0.07185445,0.00007752
2020-02-14,0.03875659,1.00015073,-0.03588269,0.00017933
2020-02-21,-0.00409285,0.99605727,-0.03982867,0.00012527
2020-02-28,-0.03399284,0.96219846,-0.07246762,0.00001140
2020-03-06,0.01920642,0.98067885,-0.05465304,0.00017712
2020-03-13,-0.07347605,0.90862244,-0.12411340,0.00026131
2020-03-20,-0.06858067,0.84630850,-0.18418229,0.00015481
2020-03-27,0.02842735,0.87036682,-0.16099075,0.00009319
2020-04-03,0.00020359,0.87054401,-0.16081994,0.00016208
2020-04-09,0.02359645,0.89108576,-0.14101827,0.00003321
2020-04-17,0.00694423,0.89727366,-0.13505330,0.00006505
2020-04-24,-0.00132944,0.89608080,-0.13620319,0.00006429
2020-04-29,0.02343852,0.91708361,-0.11595707,0.00006333
2020-05-08,-0.01496946,0.90335536,-0.12919072,0.00006718
2020-05-15,0.00437967,0.90731176,-0.12537686,0.00006978
2020-05-22,-0.01668169,0.89217626,-0.13996705,0.00020096
2020-05-29,0.03356331,0.92212065,-0.11110150,0.00004615
2020-06-05,0.03225393,0.95186267,-0.08243103,0.00005979
2020-06-12,-0.01563029,0.93698478,-0.09677290,0.00016157
2020-06-19,0.04586657,0.97996106,-0.05534497,0.00010817
2020-06-26,0.01261617,0.99232441,-0.04342704,0.00013040
2020-07-03,0.03492275,1.02697911,-0.01002088,0.00009845
2020-07-10,0.03069971,1.05850707,0.00000000,0.00007306
2020-07-17,-0.03047072,1.02625360,-0.03047072,0.00018481
2020-07-24,0.06434664,1.09228958,0.00000000,0.00021347
2020-07-31,0.02874343,1.12368573,0.00000000,0.00019081
2020-08-07,0.01742106,1.14326153,0.00000000,0.00013148
2020-08-14,-0.02521665,1.11443231,-0.02521665,0.00013204
2020-08-21,0.02882467,1.14655545,0.00000000,0.00013628
2020-08-28,0.08047526,1.23882480,0.00000000,0.00014225
2020-09-04,-0.00793338,1.22899673,-0.00793338,0.00007297
2020-09-11,-0.03338049,1.18797221,-0.04104905,0.00006743
2020-09-18,0.02434306,1.21689109,-0.01770526,0.00007553
2020-09-25,-0.05020272,1.15579984,-0.06701912,0.00013297
2020-09-30,0.01621802,1.17454463,-0.05188802,0.00006671
2020-10-09,0.04536589,1.22782889,-0.00887608,0.00006949
2020-10-16,-0.00934474,1.21635514,-0.01813788,0.00007467
2020-10-23,0.01151356,1.23035972,-0.00683315,0.00020719
2020-10-30,0.02231250,1.25781212,0.00000000,0.00006770
2020-11-06,0.10093627,1.38477098,0.00000000,0.00022180
2020-11-13,-0.02657310,1.34797332,-0.02657310,0.00017154
2020-11-20,0.23474712,1.66440617,0.00000000,0.00022763
2020-11-27,-0.01545123,1.63868905,-0.01545123,0.00009777
2020-12-04,-0.01694917,1.61091462,-0.03213852,0.00018823
2020-12-11,-0.00019701,1.61059726,-0.03232920,0.00028926
2020-12-18,0.03140823,1.66118327,-0.00193637,0.00017529
2020-12-24,0.04114066,1.72952545,0.00000000,0.00029860
2020-12-31,0.05343089,1.82193553,0.00000000,0.00031707
2021-01-08,0.06581435,1.94184502,0.00000000,0.00034434
2021-01-15,-0.04746826,1.84966901,-0.04746826,0.00033510
2021-01-22,0.10401316,2.04205893,0.00000000,0.00034847
2021-01-29,-0.07059380,1.89790223,-0.07059380,0.00015695
2021-02-05,0.04865388,1.99024255,-0.02537458,0.00015206
2021-02-11,0.05549896,2.10069895,0.00000000,0.00036052
2021-02-19,-0.01880028,2.06120521,-0.01880028,0.00012589
2021-02-26,-0.16585815,1.71933753,-0.18154025,0.00024320
2021-03-05,-0.01872215,1.68714784,-0.19686358,0.00010131
2021-03-12,0.00624446,1.69768317,-0.19184842,0.00026948
2021-03-19,-0.02245989,1.65955339,-0.20999942,0.00020324
2021-03-26,-0.01752153,1.63047548,-0.22384144,0.00018802
2021-04-01,0.02189147,1.66616898,-0.20685019,0.00036556
2021-04-09,-0.01007106,1.64938889,-0.21483804,0.00028134
2021-04-16,0.02017946,1.68267267,-0.19899390,0.00018742
2021-04-23,0.02166541,1.71912845,-0.18163978,0.00018984
2021-04-30,-0.02454386,1.67693440,-0.20172550,0.00040499
2021-05-07,0.00393760,1.68353750,-0.19858221,0.00050528
2021-05-14,-0.03888245,1.61807744,-0.22974330,0.00030982
2021-05-21,0.02845083,1.66411309,-0.20782886,0.00020468
2021-05-28,0.06174681,1.76686676,-0.15891481,0.00040659
2021-06-04,-0.00024137,1.76644030,-0.15911783,0.00032611
2021-06-11,0.02461396,1.80991939,-0.13842039,0.00041965
2021-06-18,0.02169440,1.84918450,-0.11972893,0.00019468
2021-06-25,0.02353044,1.89269663,-0.09901577,0.00020557
2021-07-02,-0.00570262,1.88190330,-0.10415374,0.00045914
2021-07-09,0.01413664,1.90850709,-0.09148948,0.00020928
2021-07-16,0.00890462,1.92550162,-0.08339954,0.00022620
2021-07-23,-0.04650915,1.83594818,-0.12602984,0.00021355
2021-07-30,-0.03849906,1.76526590,-0.15967688,0.00031855
2021-08-06,0.03242099,1.82249758,-0.13243277,0.00033401
2021-08-13,0.04119244,1.89757071,-0.09669555,0.00022867
2021-08-20,-0.06933335,1.76600577,-0.15932468,0.00022224
2021-08-27,0.02059942,1.80238447,-0.14200725,0.00020715
2021-09-03,0.01520015,1.82978099,-0.12896563,0.00053684
2021-09-10,0.02191517,1.86988094,-0.10987677,0.00033186
2021-09-17,-0.02992409,1.81392645,-0.13651290,0.00044168
2021-09-24,-0.04418075,1.73378582,-0.17466240,0.00030437
2021-09-30,-0.01920915,1.70048127,-0.19051644,0.00039830
2021-10-08,-0.04992866,1.61557852,-0.23093287,0.00021471
2021-10-15,-0.03178681,1.56422443,-0.25537906,0.00029989
2021-10-22,0.01849079,1.59314818,-0.24161043,0.00009585
2021-10-29,-0.00083955,1.59181065,-0.24224713,0.00019567
2021-11-05,-0.04314699,1.52312881,-0.27494189,0.00023671
2021-11-12,-0.00112448,1.52141608,-0.27575720,0.00036326
2021-11-19,-0.00803086,1.50919781,-0.28157349,0.00019837
