date,ts_code,name,weight
2020-01-10,02318.HK,中国平安,0.10757109
2020-01-10,01313.HK,华润建材科技,0.10671609
2020-01-10,03968.HK,招商银行,0.10552361
2020-01-10,03690.HK,美团-W,0.10461660
2020-01-10,01658.HK,邮储银行,0.10396580
2020-01-10,00960.HK,龙湖集团,0.09814916
2020-01-10,00968.HK,信义光能,0.09466429
2020-01-10,01177.HK,中国生物制药,0.09395244
2020-01-10,02269.HK,药明生物,0.09298420
2020-01-10,00881.HK,中升控股,0.09185672
2020-01-17,02318.HK,中国平安,0.11214279
2020-01-17,03968.HK,招商银行,0.10510590
2020-01-17,03690.HK,美团-W,0.10419266
2020-01-17,01313.HK,华润建材科技,0.10409908
2020-01-17,01928.HK,金沙中国有限公司,0.10319669
2020-01-17,01658.HK,邮储银行,0.10116706
2020-01-17,00586.HK,海螺创业,0.10067312
2020-01-17,00960.HK,龙湖集团,0.09692424
2020-01-17,02628.HK,中国人寿,0.09599004
2020-01-17,00968.HK,信义光能,0.09574305
2020-01-24,02318.HK,中国平安,0.11234357
2020-01-24,03968.HK,招商银行,0.10704705
2020-01-24,01658.HK,邮储银行,0.10297150
2020-01-24,00586.HK,海螺创业,0.10200501
2020-01-24,00968.HK,信义光能,0.10180336
2020-01-24,03690.HK,美团-W,0.10015994
2020-01-24,01928.HK,金沙中国有限公司,0.09957441
2020-01-24,01313.HK,华润建材科技,0.09451271
2020-01-24,00960.HK,龙湖集团,0.09442451
2020-01-24,01177.HK,中国生物制药,0.09371741
2020-01-31,02318.HK,中国平安,0.11275143
2020-01-31,03968.HK,招商银行,0.10912167
2020-01-31,03690.HK,美团-W,0.10432816
2020-01-31,01658.HK,邮储银行,0.10431152
2020-01-31,02883.HK,中海油田服务,0.10036670
2020-01-31,00968.HK,信义光能,0.09914715
2020-01-31,02269.HK,药明生物,0.09616684
2020-01-31,00881.HK,中升控股,0.09383235
2020-01-31,01313.HK,华润建材科技,0.09171108
2020-01-31,01177.HK,中国生物制药,0.09135988
2020-02-07,CASH,现金,0.11740935
2020-02-07,01658.HK,邮储银行,0.10443513
2020-02-07,03690.HK,美团-W,0.10222689
2020-02-07,02883.HK,中海油田服务,0.09944520
2020-02-07,01313.HK,华润建材科技,0.09233169
2020-02-07,00881.HK,中升控股,0.09006133
2020-02-07,02318.HK,中国平安,0.08758925
2020-02-07,00968.HK,信义光能,0.08070976
2020-02-07,00586.HK,海螺创业,0.07929382
2020-02-07,02269.HK,药明生物,0.07904512
2020-02-07,03968.HK,招商银行,0.06745247
2020-02-14,02269.HK,药明生物,0.11000182
2020-02-14,03690.HK,美团-W,0.10912735
2020-02-14,02359.HK,药明康德,0.10784121
2020-02-14,01658.HK,邮储银行,0.10053860
2020-02-14,00968.HK,信义光能,0.10025637
2020-02-14,06098.HK,碧桂园服务,0.09390267
2020-02-14,00700.HK,腾讯控股,0.09308469
2020-02-14,00881.HK,中升控股,0.09224253
2020-02-14,00586.HK,海螺创业,0.08909847
2020-02-14,02318.HK,中国平安,0.08377043
2020-02-14,CASH,现金,0.02013586
2020-02-21,02359.HK,药明康德,0.11114872
2020-02-21,02269.HK,药明生物,0.11025564
2020-02-21,00960.HK,龙湖集团,0.10878468
2020-02-21,01658.HK,邮储银行,0.09939468
2020-02-21,03690.HK,美团-W,0.09903917
2020-02-21,00586.HK,海螺创业,0.09815866
2020-02-21,06098.HK,碧桂园服务,0.09641436
2020-02-21,00669.HK,创科实业,0.09466738
2020-02-21,00881.HK,中升控股,0.09248337
2020-02-21,00700.HK,腾讯控股,0.09031314
2020-02-28,03690.HK,美团-W,0.11175216
2020-02-28,00960.HK,龙湖集团,0.11151520
2020-02-28,02269.HK,药明生物,0.11140885
2020-02-28,06098.HK,碧桂园服务,0.10620846
2020-02-28,00586.HK,海螺创业,0.10297694
2020-02-28,01658.HK,邮储银行,0.10101174
2020-02-28,02359.HK,药明康德,0.09617607
2020-02-28,00881.HK,中升控股,0.09230323
2020-02-28,00700.HK,腾讯控股,0.08999508
2020-02-28,00669.HK,创科实业,0.08852321
2020-03-06,CASH,现金,0.12031126
2020-03-06,03690.HK,美团-W,0.10103993
2020-03-06,00960.HK,龙湖集团,0.09842626
2020-03-06,02269.HK,药明生物,0.09277546
2020-03-06,00700.HK,腾讯控股,0.09054013
2020-03-06,00881.HK,中升控股,0.08828218
2020-03-06,00586.HK,海螺创业,0.08792660
2020-03-06,01658.HK,邮储银行,0.08245264
2020-03-06,00817.HK,中国金茂,0.08065383
2020-03-06,00322.HK,康师傅控股,0.07932105
2020-03-06,01313.HK,华润建材科技,0.07827065
2020-03-13,02269.HK,药明生物,0.11247270
2020-03-13,06098.HK,碧桂园服务,0.10692728
2020-03-13,00960.HK,龙湖集团,0.10496017
2020-03-13,00700.HK,腾讯控股,0.10397854
2020-03-13,01109.HK,华润置地,0.09639113
2020-03-13,03690.HK,美团-W,0.09638222
2020-03-13,02359.HK,药明康德,0.09427250
2020-03-13,00586.HK,海螺创业,0.09077337
2020-03-13,00914.HK,海螺水泥,0.08992911
2020-03-13,01177.HK,中国生物制药,0.08886330
2020-03-13,CASH,现金,0.01504968
2020-03-20,00700.HK,腾讯控股,0.10998321
2020-03-20,CASH,现金,0.10925085
2020-03-20,01658.HK,邮储银行,0.09261955
2020-03-20,00960.HK,龙湖集团,0.09173798
2020-03-20,06098.HK,碧桂园服务,0.09065126
2020-03-20,00586.HK,海螺创业,0.09032773
2020-03-20,02269.HK,药明生物,0.08832405
2020-03-20,03690.HK,美团-W,0.08619741
2020-03-20,00939.HK,建设银行,0.08541836
2020-03-20,00914.HK,海螺水泥,0.07847016
2020-03-20,01313.HK,华润建材科技,0.07701945
2020-03-27,00700.HK,腾讯控股,0.11372326
2020-03-27,CASH,现金,0.10768838
2020-03-27,00939.HK,建设银行,0.10545305
2020-03-27,01658.HK,邮储银行,0.10128732
2020-03-27,00960.HK,龙湖集团,0.09859907
2020-03-27,00586.HK,海螺创业,0.09059036
2020-03-27,00914.HK,海螺水泥,0.08076544
2020-03-27,01313.HK,华润建材科技,0.08041240
2020-03-27,06808.HK,高鑫零售,0.08010175
2020-03-27,06098.HK,碧桂园服务,0.07360752
2020-03-27,01044.HK,恒安国际,0.06777144
2020-04-03,CASH,现金,0.34795357
2020-04-03,01193.HK,华润燃气,0.07508143
2020-04-03,00700.HK,腾讯控股,0.07127051
2020-04-03,00939.HK,建设银行,0.06919037
2020-04-03,00586.HK,海螺创业,0.06806481
2020-04-03,01988.HK,民生银行,0.06670211
2020-04-03,00960.HK,龙湖集团,0.06386552
2020-04-03,01658.HK,邮储银行,0.06319673
2020-04-03,00914.HK,海螺水泥,0.06177700
2020-04-03,06808.HK,高鑫零售,0.06046200
2020-04-03,01177.HK,中国生物制药,0.05243597
2020-04-09,CASH,现金,0.36291181
2020-04-09,00700.HK,腾讯控股,0.07240136
2020-04-09,00939.HK,建设银行,0.06918584
2020-04-09,00586.HK,海螺创业,0.06874941
2020-04-09,01988.HK,民生银行,0.06636803
2020-04-09,00960.HK,龙湖集团,0.06534752
2020-04-09,00914.HK,海螺水泥,0.06456426
2020-04-09,01658.HK,邮储银行,0.06296419
2020-04-09,06808.HK,高鑫零售,0.06070272
2020-04-09,01177.HK,中国生物制药,0.05484137
2020-04-09,01044.HK,恒安国际,0.05196350
2020-04-17,CASH,现金,0.35092142
2020-04-17,00700.HK,腾讯控股,0.07524572
2020-04-17,00586.HK,海螺创业,0.06973384
2020-04-17,01177.HK,中国生物制药,0.06717619
2020-04-17,00939.HK,建设银行,0.06697125
2020-04-17,01988.HK,民生银行,0.06539807
2020-04-17,00914.HK,海螺水泥,0.06405882
2020-04-17,01658.HK,邮储银行,0.06252996
2020-04-17,06808.HK,高鑫零售,0.06173942
2020-04-17,01513.HK,丽珠医药,0.05937300
2020-04-17,06098.HK,碧桂园服务,0.05685231
2020-04-24,CASH,现金,0.35367396
2020-04-24,00700.HK,腾讯控股,0.07475818
2020-04-24,00586.HK,海螺创业,0.07033029
2020-04-24,00939.HK,建设银行,0.06595327
2020-04-24,01177.HK,中国生物制药,0.06538142
2020-04-24,06808.HK,高鑫零售,0.06512848
2020-04-24,00914.HK,海螺水泥,0.06498770
2020-04-24,01988.HK,民生银行,0.06360436
2020-04-24,01044.HK,恒安国际,0.05990664
2020-04-24,01658.HK,邮储银行,0.05896077
2020-04-24,02269.HK,药明生物,0.05731494
2020-04-29,CASH,现金,0.34884075
2020-04-29,00700.HK,腾讯控股,0.07495092
2020-04-29,00586.HK,海螺创业,0.07110621
2020-04-29,00939.HK,建设银行,0.06768815
2020-04-29,00914.HK,海螺水泥,0.06654628
2020-04-29,01988.HK,民生银行,0.06548898
2020-04-29,06808.HK,高鑫零售,0.06500605
2020-04-29,01177.HK,中国生物制药,0.06452844
2020-04-29,01044.HK,恒安国际,0.06046319
2020-04-29,06098.HK,碧桂园服务,0.05925311
2020-04-29,01313.HK,华润建材科技,0.05612793
2020-05-08,CASH,现金,0.35131748
2020-05-08,00700.HK,腾讯控股,0.07630933
2020-05-08,00586.HK,海螺创业,0.06751590
2020-05-08,00939.HK,建设银行,0.06699104
2020-05-08,01288.HK,农业银行,0.06633106
2020-05-08,00914.HK,海螺水泥,0.06595867
2020-05-08,01988.HK,民生银行,0.06461859
2020-05-08,06808.HK,高鑫零售,0.06282490
2020-05-08,06098.HK,碧桂园服务,0.06091429
2020-05-08,00388.HK,香港交易所,0.06023785
2020-05-08,01313.HK,华润建材科技,0.05698090
2020-05-15,CASH,现金,0.35014140
2020-05-15,00700.HK,腾讯控股,0.07695041
2020-05-15,03690.HK,美团-W,0.06818948
2020-05-15,00586.HK,海螺创业,0.06781835
