date,portfolio_return,nav,drawdown,trading_cost
2017-01-09,0.00000000,1.00000000,0.00000000,0.00000000
2017-01-13,0.01701550,1.01701550,0.00000000,0.00029991
2017-01-20,-0.00096613,1.01603293,-0.00096613,0.00020535
2017-01-27,0.01901275,1.03535051,0.00000000,0.00010918
2017-02-03,-0.01239451,1.02251785,-0.01239451,0.00022124
2017-02-10,0.02931106,1.05248892,0.00000000,0.00012820
2017-02-17,0.03915825,1.09370255,0.00000000,0.00008420
2017-02-24,0.00238479,1.09631081,0.00000000,0.00005054
2017-03-03,-0.02395569,1.07004793,-0.02395569,0.00003482
2017-03-10,0.01100926,1.08182836,-0.01321017,0.00008091
2017-03-17,0.03071709,1.11505898,0.00000000,0.00008109
2017-03-24,-0.00097786,1.11396861,-0.00097786,0.00007825
2017-03-31,-0.01659325,1.09548425,-0.01755489,0.00008123
2017-04-07,-0.00635588,1.08852148,-0.02379919,0.00014692
2017-04-13,0.00367907,1.09252623,-0.02020767,0.00019421
2017-04-21,-0.01038442,1.08118098,-0.03038225,0.00004301
2017-04-28,0.02152361,1.10445190,-0.00951257,0.00004282
2017-05-05,-0.01402974,1.08895673,-0.02340885,0.00009544
2017-05-12,0.02219645,1.11312771,-0.00173199,0.00010462
2017-05-19,0.00849588,1.12258471,0.00000000,0.00012432
2017-05-26,0.03238004,1.15893404,0.00000000,0.00007884
2017-06-02,0.01454200,1.17578727,0.00000000,0.00005071
2017-06-09,-0.00074319,1.17491343,-0.00074319,0.00007516
2017-06-16,-0.01998041,1.15143818,-0.02070875,0.00001993
2017-06-23,0.01859511,1.17284930,-0.00249873,0.00003993
2017-06-30,0.03114367,1.20937613,0.00000000,0.00004378
2017-07-07,0.00470016,1.21506040,0.00000000,0.00008451
2017-07-14,0.05139524,1.27750872,0.00000000,0.00005628
2017-07-21,0.00421584,1.28289449,0.00000000,0.00005160
2017-07-28,0.02073634,1.30949703,0.00000000,0.00008743
2017-08-04,0.02912622,1.34763772,0.00000000,0.00009937
2017-08-11,-0.03881073,1.29533491,-0.03881073,0.00008501
2017-08-18,0.02298280,1.32510534,-0.01671991,0.00005232
2017-08-25,0.04388279,1.38325465,0.00000000,0.00004566
2017-09-01,0.00407747,1.38889484,0.00000000,0.00001059
2017-09-08,-0.00653292,1.37982130,-0.00653292,0.00007713
2017-09-15,0.01827478,1.40503724,0.00000000,0.00004862
2017-09-22,0.01095059,1.42042322,0.00000000,0.00000000
2017-09-29,-0.01762179,1.39539282,-0.01762179,0.00009970
2017-10-06,0.06092766,1.48041084,0.00000000,0.00006201
2017-10-13,-0.00709122,1.46991293,-0.00709122,0.00001823
2017-10-20,0.00010063,1.47006085,-0.00699130,0.00003991
2017-10-27,-0.00004912,1.46998864,-0.00704008,0.00004816
2017-11-03,-0.00221591,1.46673127,-0.00924039,0.00004828
2017-11-10,0.02721485,1.50664814,0.00000000,0.00005966
2017-11-17,0.01354395,1.52705411,0.00000000,0.00005656
2017-11-24,0.02969073,1.57239346,0.00000000,0.00005989
2017-12-01,-0.04106938,1.50781624,-0.04106938,0.00004554
2017-12-08,-0.01566896,1.48419033,-0.05609482,0.00010670
2017-12-15,0.00443355,1.49077056,-0.05190997,0.00008758
2017-12-22,0.02624996,1.52990323,-0.02702265,0.00009799
2017-12-29,0.00839041,1.54273975,-0.01885897,0.00011267
2018-01-05,0.03768839,1.60088312,0.00000000,0.00011620
2018-01-12,0.02368546,1.63880077,0.00000000,0.00016691
2018-01-19,0.03028065,1.68842472,0.00000000,0.00009522
2018-01-26,0.03474283,1.74708537,0.00000000,0.00014475
2018-02-02,-0.01500934,1.72086277,-0.01500934,0.00012810
2018-02-09,-0.12098975,1.51265601,-0.13418312,0.00006065
2018-02-15,0.07147211,1.62076872,-0.07230136,0.00007735
2018-02-23,0.00711989,1.63230842,-0.06569625,0.00010657
2018-03-02,-0.04071905,1.56584237,-0.10374021,0.00005386
2018-03-09,0.02445289,1.60413175,-0.08182406,0.00010307
2018-03-16,0.02238634,1.64004239,-0.06126946,0.00013527
2018-03-23,-0.04823674,1.56093209,-0.10655076,0.00000563
2018-03-29,-0.01130619,1.54328389,-0.11665227,0.00006339
2018-04-06,-0.00485562,1.53579029,-0.12094147,0.00013319
2018-04-13,0.02764841,1.57825245,-0.09663690,0.00007259
2018-04-20,-0.01948057,1.54750719,-0.11423493,0.00005098
2018-04-27,-0.00686654,1.53688117,-0.12031707,0.00002668
2018-05-04,-0.01147349,1.51924777,-0.13041011,0.00005143
2018-05-11,0.04104319,1.58160254,-0.09471937,0.00019899
2018-05-18,0.00810636,1.59442358,-0.08738084,0.00030920
2018-05-25,-0.00149086,1.59204651,-0.08874143,0.00017760
2018-06-01,-0.00467501,1.58460369,-0.09300157,0.00011479
2018-06-08,0.04389474,1.65415945,-0.05318911,0.00021538
2018-06-15,-0.01424848,1.63059020,-0.06667972,0.00012717
2018-06-22,-0.03733276,1.56971578,-0.10152314,0.00007267
2018-06-29,-0.01698720,1.54305071,-0.11678574,0.00012075
2018-07-06,-0.02468645,1.50495825,-0.13858917,0.00010288
2018-07-13,0.02638957,1.54467345,-0.11585691,0.00023111
2018-07-20,-0.00222325,1.54123926,-0.11782258,0.00006262
2018-07-27,0.01661170,1.56684187,-0.10316811,0.00010077
2018-08-03,-0.03549818,1.51122183,-0.13500401,0.00021665
2018-08-10,0.01754205,1.53773176,-0.11983021,0.00017350
2018-08-17,-0.02849737,1.49391045,-0.14491273,0.00010288
2018-08-24,0.01885742,1.52208175,-0.12878799,0.00006984
2018-08-31,0.01395259,1.54331874,-0.11663233,0.00000624
2018-09-07,-0.01438941,1.52111128,-0.12934347,0.00019457
2018-09-14,0.00880639,1.53450679,-0.12167613,0.00010314
2018-09-21,0.01307779,1.55457474,-0.11018960,0.00009267
2018-09-28,0.01546264,1.57861257,-0.09643078,0.00011697
2018-10-05,-0.03663352,1.52078244,-0.12953170,0.00001321
2018-10-12,-0.01773553,1.49381055,-0.14496992,0.00000000
2018-10-19,-0.00871460,1.48079258,-0.15242117,0.00000000
2018-10-26,-0.02542466,1.44314393,-0.17397057,0.00000000
2018-11-02,0.02981874,1.48617666,-0.14933942,0.00004922
2018-11-09,-0.01197147,1.46838494,-0.15952307,0.00018531
2018-11-16,0.00330696,1.47324083,-0.15674365,0.00003134
2018-11-23,-0.00784763,1.46167938,-0.16336121,0.00006472
2018-11-30,0.01283628,1.48044191,-0.15262189,0.00003159
2018-12-07,-0.01171226,1.46310259,-0.16254659,0.00004599
2018-12-14,-0.00055697,1.46228769,-0.16301303,0.00004116
2018-12-21,-0.02310704,1.42849855,-0.18235332,0.00012476
2018-12-28,-0.00748281,1.41780936,-0.18847162,0.00014608
2019-01-04,0.00590208,1.42617738,-0.18368192,0.00003085
2019-01-11,0.01475608,1.44722217,-0.17163626,0.00003485
2019-01-18,0.00475769,1.45410760,-0.16769516,0.00002906
2019-01-25,0.01163967,1.47103294,-0.15800741,0.00006794
2019-02-01,0.00656859,1.48069555,-0.15247670,0.00009097
2019-02-08,-0.00191735,1.47785654,-0.15410170,0.00014307
2019-02-15,-0.00040514,1.47725781,-0.15444441,0.00005813
2019-02-22,0.02230683,1.51021075,-0.13558274,0.00006374
2019-03-01,0.00350146,1.51549869,-0.13255602,0.00010774
2019-03-08,-0.02432166,1.47863924,-0.15365370,0.00006067
2019-03-15,0.02810745,1.52020003,-0.12986506,0.00000565
2019-03-22,-0.00541540,1.51196754,-0.13457718,0.00004438
2019-03-29,0.01203088,1.53015784,-0.12416539,0.00011569
2019-04-04,0.02248275,1.56456000,-0.10447421,0.00013819
2019-04-12,-0.01011889,1.54872839,-0.11353594,0.00016947
2019-04-18,-0.00237435,1.54505117,-0.11564071,0.00001472
2019-04-26,-0.01236633,1.52594456,-0.12657699,0.00006035
2019-05-03,0.00998248,1.54117727,-0.11785807,0.00005788
2019-05-10,-0.04417443,1.47309664,-0.15682618,0.00026145
2019-05-17,-0.01761389,1.44714968,-0.17167775,0.00009891
2019-05-24,-0.01233683,1.42929645,-0.18189662,0.00014826
2019-05-31,0.00045600,1.42994820,-0.18152357,0.00016916
2019-06-06,0.00104251,1.43143893,-0.18067030,0.00002391
2019-06-14,0.00743449,1.44208096,-0.17457900,0.00007030
2019-06-21,0.04072859,1.50081488,-0.14096076,0.00004471
2019-06-28,0.00010486,1.50097226,-0.14087068,0.00011738
2019-07-05,0.01390239,1.52183936,-0.12892673,0.00013421
2019-07-12,-0.00663688,1.51173910,-0.13470794,0.00012362
2019-07-19,0.00911221,1.52551439,-0.12682321,0.00011500
2019-07-26,-0.01542357,1.50198552,-0.14029071,0.00011348
2019-08-02,-0.04950502,1.42762969,-0.18285064,0.00005715
2019-08-09,-0.02954589,1.38544911,-0.20699404,0.00006677
2019-08-16,-0.00036924,1.38493754,-0.20728686,0.00006602
2019-08-23,0.01377831,1.40401963,-0.19636461,0.00000000
2019-08-30,-0.01694005,1.38023547,-0.20997823,0.00010937
2019-09-06,0.03066818,1.42256479,-0.18574970,0.00015311
2019-09-13,0.01577767,1.44500954,-0.17290273,0.00011517
2019-09-20,-0.02921797,1.40278930,-0.19706883,0.00014282
2019-09-27,-0.00828001,1.39117420,-0.20371711,0.00007740
2019-10-04,0.00541611,1.39870894,-0.19940435,0.00011288
2019-10-11,0.02926188,1.43963780,-0.17597742,0.00008408
2019-10-18,0.01604710,1.46273981,-0.16275424,0.00011578
2019-10-25,-0.01120661,1.44634746,-0.17213693,0.00005468
2019-11-01,0.01835323,1.47289260,-0.15694297,0.00011513
2019-11-08,0.02420691,1.50854678,-0.13653516,0.00018810
2019-11-15,-0.04002124,1.44817287,-0.17109210,0.00005849
2019-11-22,0.00600651,1.45687133,-0.16611326,0.00005029
2019-11-29,-0.01276999,1.43826710,-0.17676198,0.00006077
2019-12-06,0.00880523,1.45093138,-0.16951318,0.00009681
2019-12-13,0.03139452,1.49648267,-0.14344044,0.00006613
2019-12-20,0.00747273,1.50766548,-0.13703961,0.00011893
2019-12-27,0.01046223,1.52343902,-0.12801112,0.00018694
2020-01-03,0.00835616,1.53616912,-0.12072464,0.00011243
2020-01-10,0.00855786,1.54931544,-0.11319992,0.00019257
2020-01-17,0.01384923,1.57077226,-0.10091843,0.00006669
2020-01-24,-0.04949666,1.49302428,-0.14541996,0.00009942
2020-01-31,-0.05949119,1.40420249,-0.19625994,0.00009414
2020-02-07,0.04131463,1.46221660,-0.16305372,0.00011597
2020-02-14,0.02079170,1.49261857,-0.14565218,0.00018657
2020-02-21,-0.01001587,1.47766870,-0.15420922,0.00005467
2020-02-28,-0.03258015,1.42952604,-0.18176521,0.00004841
2020-03-06,0.01403943,1.44959576,-0.17027766,0.00014305
2020-03-13,-0.05761256,1.36608083,-0.21808009,0.00013507
2020-03-20,-0.04895544,1.29920375,-0.25635932,0.00018215
2020-03-27,0.02542123,1.33223111,-0.23745506,0.00005226
2020-04-03,-0.00535913,1.32509151,-0.24154164,0.00015229
2020-04-09,0.01585903,1.34610617,-0.22951323,0.00003019
2020-04-17,0.00494084,1.35275706,-0.22570638,0.00002360
2020-04-24,-0.00868404,1.34100966,-0.23243038,0.00002454
2020-04-29,0.02113588,1.36935308,-0.21620712,0.00002692
2020-05-08,-0.00603179,1.36109342,-0.22093480,0.00005092
2020-05-15,-0.00104609,1.35966959,-0.22174977,0.00003040
2020-05-22,-0.01971809,1.33285950,-0.23709538,0.00013670
2020-05-29,0.02732034,1.36927368,-0.21625256,0.00003398
2020-06-05,0.04346858,1.42879406,-0.18218418,0.00007605
2020-06-12,-0.01012572,1.41432649,-0.19046515,0.00014223
2020-06-19,0.02410567,1.44841978,-0.17095077,0.00004722
2020-06-26,0.01625735,1.47196725,-0.15747263,0.00014344
2020-07-03,0.05105572,1.54711959,-0.11445679,0.00009324
2020-07-10,0.02569291,1.58686959,-0.09170461,0.00010686
2020-07-17,-0.03682139,1.52843885,-0.12514931,0.00017071
2020-07-24,0.02049789,1.55976862,-0.10721671,0.00012427
2020-07-31,0.00114970,1.56156189,-0.10619028,0.00010645
2020-08-07,0.01484702,1.58474643,-0.09291987,0.00007263
2020-08-14,-0.00823509,1.57169590,-0.10038975,0.00006162
2020-08-21,0.03577763,1.62792746,-0.06820383,0.00011636
2020-08-28,0.04872224,1.70724373,-0.02280463,0.00005874
2020-09-04,-0.01855191,1.67557109,-0.04093347,0.00000561
2020-09-11,-0.02701151,1.63031140,-0.06683931,0.00015539
2020-09-18,0.01882731,1.66100577,-0.04927040,0.00010605
2020-09-25,-0.04872581,1.58007192,-0.09559547,0.00018610
2020-09-30,0.03636119,1.63752522,-0.06271024,0.00005914
2020-10-09,0.05526592,1.72802455,-0.01091007,0.00007367
2020-10-16,0.00222790,1.73187441,-0.00870648,0.00007159
2020-10-23,-0.00147089,1.72932702,-0.01016456,0.00013669
2020-10-30,0.01586954,1.75677064,0.00000000,0.00021397
2020-11-06,0.09165576,1.91778878,0.00000000,0.00012759
2020-11-13,-0.02537925,1.86911674,-0.02537925,0.00020096
2020-11-20,0.14357891,2.13748249,0.00000000,0.00018779
2020-11-27,-0.00433599,2.12821439,-0.00433599,0.00007482
2020-12-04,-0.01009692,2.10672597,-0.01438913,0.00018236
2020-12-11,-0.00272555,2.10098399,-0.01707546,0.00014217
2020-12-18,0.00860335,2.11905948,-0.00861902,0.00001130
2020-12-24,0.01787115,2.15692952,0.00000000,0.00014292
2020-12-31,0.04919736,2.26304477,0.00000000,0.00019250
2021-01-08,0.04604816,2.36725381,0.00000000,0.00026925
2021-01-15,0.02033330,2.41538790,0.00000000,0.00027441
2021-01-22,0.06857277,2.58101773,0.00000000,0.00018464
2021-01-29,-0.04240058,2.47158108,-0.04240058,0.00011485
2021-02-05,0.06316811,2.62770618,0.00000000,0.00013193
2021-02-11,0.04070418,2.73466480,0.00000000,0.00011591
2021-02-19,-0.01767693,2.68632433,-0.01767693,0.00013077
2021-02-26,-0.15366870,2.27352037,-0.16862923,0.00010732
2021-03-05,-0.00685151,2.25794333,-0.17432537,0.00003776
2021-03-12,-0.01728198,2.21892161,-0.18859466,0.00016232
2021-03-19,-0.01940631,2.17586053,-0.20434105,0.00006532
2021-03-26,-0.01590987,2.14124288,-0.21699988,0.00014025
2021-04-01,0.03413651,2.21433743,-0.19027099,0.00021397
2021-04-09,-0.02487013,2.15926657,-0.21040905,0.00023028
2021-04-16,0.00631659,2.17290578,-0.20542153,0.00014960
2021-04-23,0.01888759,2.21394674,-0.19041385,0.00015796
2021-04-30,-0.03270886,2.14153106,-0.21689450,0.00015485
2021-05-07,0.00987246,2.16267324,-0.20916332,0.00040870
2021-05-14,-0.03323748,2.09079144,-0.23544873,0.00019160
2021-05-21,0.02539721,2.14389171,-0.21603126,0.00019942
2021-05-28,0.05495102,2.26170076,-0.17295138,0.00010925
2021-06-04,-0.00419915,2.25220352,-0.17642428,0.00018473
2021-06-11,0.00282576,2.25856771,-0.17409706,0.00019313
2021-06-18,0.00556085,2.27112727,-0.16950433,0.00031136
2021-06-25,0.02971077,2.33860421,-0.14482967,0.00018975
2021-07-02,-0.02581445,2.27823443,-0.16690542,0.00030404
2021-07-09,0.00688799,2.29392688,-0.16116707,0.00032407
2021-07-16,0.01823783,2.33576313,-0.14586858,0.00011145
2021-07-23,-0.04519332,2.23020224,-0.18446961,0.00008664
2021-07-30,-0.02296188,2.17899260,-0.20319573,0.00029415
2021-08-06,0.03126336,2.24711523,-0.17828495,0.00030006
2021-08-13,0.02792172,2.30985855,-0.15534125,0.00018458
2021-08-20,-0.07215268,2.14319607,-0.21628564,0.00022020
