date,ts_code,name,weight
2017-01-13,00700.HK,腾讯控股,0.16529825
2017-01-13,00005.HK,汇丰控股,0.13409212
2017-01-13,00939.HK,建设银行,0.12701105
2017-01-13,00857.HK,中国石油股份,0.10647210
2017-01-13,00386.HK,中国石油化工股份,0.09175955
2017-01-13,00338.HK,上海石油化工股份,0.07198172
2017-01-13,02018.HK,瑞声科技,0.05779745
2017-01-13,00868.HK,信义玻璃,0.05712993
2017-01-13,00016.HK,新鸿基地产,0.05156580
2017-01-13,00998.HK,中信银行,0.04979252
2017-01-13,00303.HK,VTECH HOLDINGS,0.04519363
2017-01-13,00883.HK,中国海洋石油,0.04190588
2017-01-20,00700.HK,腾讯控股,0.13386188
2017-01-20,00005.HK,汇丰控股,0.11248374
2017-01-20,00939.HK,建设银行,0.10978593
2017-01-20,00857.HK,中国石油股份,0.10391069
2017-01-20,01398.HK,工商银行,0.10200176
2017-01-20,00386.HK,中国石油化工股份,0.09155763
2017-01-20,02388.HK,中银香港,0.07582906
2017-01-20,03968.HK,招商银行,0.05920752
2017-01-20,00175.HK,吉利汽车,0.05863503
2017-01-20,00338.HK,上海石油化工股份,0.05544405
2017-01-20,00004.HK,九龙仓集团,0.05157728
2017-01-20,00016.HK,新鸿基地产,0.05078992
2017-01-27,00700.HK,腾讯控股,0.13581289
2017-01-27,00005.HK,汇丰控股,0.11423536
2017-01-27,00939.HK,建设银行,0.10773755
2017-01-27,01398.HK,工商银行,0.10150845
2017-01-27,00857.HK,中国石油股份,0.08742694
2017-01-27,00386.HK,中国石油化工股份,0.07795475
2017-01-27,02388.HK,中银香港,0.07637157
2017-01-27,02007.HK,碧桂园,0.06677129
2017-01-27,00175.HK,吉利汽车,0.05804767
2017-01-27,00338.HK,上海石油化工股份,0.05639796
2017-01-27,01800.HK,中国交通建设,0.05035221
2017-01-27,00868.HK,信义玻璃,0.04723869
2017-01-27,CASH,现金,0.02014467
2017-02-03,00005.HK,汇丰控股,0.11401661
2017-02-03,00939.HK,建设银行,0.10845726
2017-02-03,00700.HK,腾讯控股,0.10472862
2017-02-03,01398.HK,工商银行,0.10099797
2017-02-03,01288.HK,农业银行,0.09129396
2017-02-03,03988.HK,中国银行,0.08935329
2017-02-03,02388.HK,中银香港,0.07549228
2017-02-03,00857.HK,中国石油股份,0.07178259
2017-02-03,03968.HK,招商银行,0.07062293
2017-02-03,03328.HK,交通银行,0.05932135
2017-02-03,02007.HK,碧桂园,0.05424926
2017-02-03,01988.HK,民生银行,0.05198672
2017-02-03,CASH,现金,0.00769716
2017-02-10,00700.HK,腾讯控股,0.13006667
2017-02-10,00005.HK,汇丰控股,0.11287686
2017-02-10,00939.HK,建设银行,0.10813356
2017-02-10,01398.HK,工商银行,0.10158911
2017-02-10,01288.HK,农业银行,0.09106575
2017-02-10,00386.HK,中国石油化工股份,0.07888202
2017-02-10,03988.HK,中国银行,0.07751750
2017-02-10,02388.HK,中银香港,0.07467285
2017-02-10,03968.HK,招商银行,0.07225883
2017-02-10,02007.HK,碧桂园,0.06311315
2017-02-10,00004.HK,九龙仓集团,0.05101510
2017-02-10,00175.HK,吉利汽车,0.05073098
2017-02-17,00700.HK,腾讯控股,0.11486592
2017-02-17,00939.HK,建设银行,0.11174497
2017-02-17,00005.HK,汇丰控股,0.11065100
2017-02-17,01398.HK,工商银行,0.10176483
2017-02-17,01288.HK,农业银行,0.09539342
2017-02-17,03988.HK,中国银行,0.09519265
2017-02-17,00386.HK,中国石油化工股份,0.07471973
2017-02-17,02388.HK,中银香港,0.07276858
2017-02-17,03968.HK,招商银行,0.07178204
2017-02-17,01800.HK,中国交通建设,0.05995675
2017-02-17,03328.HK,交通银行,0.05295047
2017-02-17,02007.HK,碧桂园,0.04990931
2017-02-24,00700.HK,腾讯控股,0.13313916
2017-02-24,00939.HK,建设银行,0.11236387
2017-02-24,00005.HK,汇丰控股,0.10800519
2017-02-24,01398.HK,工商银行,0.10285416
2017-02-24,03988.HK,中国银行,0.09538453
2017-02-24,01288.HK,农业银行,0.09425578
2017-02-24,03968.HK,招商银行,0.07179799
2017-02-24,02388.HK,中银香港,0.07178884
2017-02-24,00386.HK,中国石油化工股份,0.05417510
2017-02-24,03328.HK,交通银行,0.05386027
2017-02-24,00004.HK,九龙仓集团,0.05362365
2017-02-24,01800.HK,中国交通建设,0.04932027
2017-03-03,00700.HK,腾讯控股,0.13382114
2017-03-03,00939.HK,建设银行,0.11058934
2017-03-03,00005.HK,汇丰控股,0.11012477
2017-03-03,01398.HK,工商银行,0.10128621
2017-03-03,01288.HK,农业银行,0.09423658
2017-03-03,03988.HK,中国银行,0.09343940
2017-03-03,02388.HK,中银香港,0.07389514
2017-03-03,03968.HK,招商银行,0.07284275
2017-03-03,00017.HK,新世界发展,0.05701660
2017-03-03,00004.HK,九龙仓集团,0.05476954
2017-03-03,00386.HK,中国石油化工股份,0.05409957
2017-03-03,03328.HK,交通银行,0.05336300
2017-03-10,00700.HK,腾讯控股,0.12254889
2017-03-10,00005.HK,汇丰控股,0.10850018
2017-03-10,01398.HK,工商银行,0.09984595
2017-03-10,01288.HK,农业银行,0.09321040
2017-03-10,00939.HK,建设银行,0.09283968
2017-03-10,03988.HK,中国银行,0.09199795
2017-03-10,02388.HK,中银香港,0.07227306
2017-03-10,03968.HK,招商银行,0.07204954
2017-03-10,02007.HK,碧桂园,0.06182908
2017-03-10,00004.HK,九龙仓集团,0.05943471
2017-03-10,01800.HK,中国交通建设,0.05755360
2017-03-10,00017.HK,新世界发展,0.05748165
2017-03-10,CASH,现金,0.01043532
2017-03-17,00700.HK,腾讯控股,0.14492217
