date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count,weekly_overlay_trade_count,weekly_overlay_trading_cost,weekly_overlay_avg_one_way_turnover
2020-01-10,0.01375057,0.01405048,0.01375057,0.00029991,378,weekly_moderate,False,risk_on,0.21444888,0.00000000,0.00000000,12,41,84,0,0.00000000,0.00000000
2020-01-17,0.01377133,0.01381437,0.01377133,0.00004363,378,weekly_moderate,False,risk_on,0.19861694,0.00000000,-0.02634806,12,45,86,0,0.00000000,0.00000000
2020-01-24,-0.04911263,-0.04904933,-0.04911263,0.00006505,379,weekly_moderate,False,risk_on,0.17798276,0.00000000,-0.00535620,12,46,86,0,0.00000000,0.00000000
2020-01-31,-0.05930189,-0.05923885,-0.05930189,0.00006161,379,weekly_moderate,False,risk_on,0.17067933,0.00000000,-0.01325674,12,44,85,0,0.00000000,0.00000000
2020-02-07,0.04109645,0.04117896,0.04109645,0.00007585,379,weekly_moderate,False,caution,0.16308298,0.18000000,0.16015692,12,6,90,0,0.00000000,0.00000000
2020-02-14,0.02039292,0.02052050,0.02039292,0.00012211,379,weekly_moderate,False,risk_on,0.15925010,0.00000000,0.01743801,12,25,86,0,0.00000000,0.00000000
2020-02-21,-0.00987719,-0.00984057,-0.00987719,0.00003576,380,weekly_moderate,False,risk_on,0.18161616,0.00000000,0.00765451,12,28,87,0,0.00000000,0.00000000
2020-02-28,-0.03252218,-0.03248942,-0.03252218,0.00003167,380,weekly_moderate,False,risk_on,0.07253910,0.00000000,0.00522542,12,31,84,0,0.00000000,0.00000000
2020-03-06,0.01406895,0.01416552,0.01406895,0.00009034,380,weekly_moderate,False,caution,-0.01009971,0.18000000,0.15386733,12,32,89,0,0.00000000,0.00000000
2020-03-13,-0.05760299,-0.05750988,-0.05760299,0.00008833,380,weekly_moderate,False,risk_on,0.06424956,0.00000000,0.00207500,12,44,85,0,0.00000000,0.00000000
2020-03-20,-0.04921289,-0.04907680,-0.04921289,0.00012166,380,weekly_moderate,False,caution,0.06156585,0.18000000,0.15215506,12,28,85,0,0.00000000,0.00000000
2020-03-27,0.02517182,0.02521204,0.02517182,0.00003419,381,weekly_moderate,False,caution,0.04798086,0.18000000,0.16498156,12,10,79,0,0.00000000,0.00000000
2020-04-03,-0.00531037,-0.00519677,-0.00531037,0.00009900,381,weekly_moderate,True,risk_off,-0.00176644,0.45000000,0.38250626,12,24,83,0,0.00000000,0.00000000
2020-04-09,0.01585926,0.01588204,0.01585926,0.00001975,383,weekly_moderate,True,risk_off,-0.01468857,0.45000000,0.39560323,12,11,84,0,0.00000000,0.00000000
2020-04-17,0.00494083,0.00495837,0.00494083,0.00001544,383,weekly_moderate,True,risk_off,-0.10595073,0.45000000,0.39820427,12,23,87,0,0.00000000,0.00000000
2020-04-24,-0.00868404,-0.00866590,-0.00868404,0.00001605,383,weekly_moderate,True,risk_off,-0.18827057,0.45000000,0.39275465,12,27,85,0,0.00000000,0.00000000
2020-04-29,0.02113586,0.02115593,0.02113586,0.00001761,383,weekly_moderate,True,risk_off,-0.12165329,0.45000000,0.39856600,12,27,85,0,0.00000000,0.00000000
2020-05-08,-0.00603179,-0.00599460,-0.00603179,0.00003331,384,weekly_moderate,True,risk_off,-0.13550872,0.45000000,0.39635757,12,37,85,0,0.00000000,0.00000000
2020-05-15,-0.00104609,-0.00102376,-0.00104609,0.00001989,383,weekly_moderate,True,risk_off,-0.03317956,0.45000000,0.41118261,12,44,80,0,0.00000000,0.00000000
2020-05-22,-0.01971809,-0.01961755,-0.01971809,0.00008942,383,weekly_moderate,False,caution,0.00088907,0.18000000,0.16951812,12,41,79,0,0.00000000,0.00000000
2020-05-29,0.02732034,0.02734584,0.02732034,0.00002223,384,weekly_moderate,False,caution,0.01440552,0.18000000,0.16660876,12,40,76,0,0.00000000,0.00000000
2020-06-05,0.04346858,0.04352412,0.04346858,0.00004975,385,weekly_moderate,False,caution,0.03288048,0.18000000,0.17366019,12,21,88,0,0.00000000,0.00000000
2020-06-12,-0.01012572,-0.01002617,-0.01012572,0.00009304,385,weekly_moderate,False,risk_on,0.04292077,0.00000000,0.00978601,12,34,83,0,0.00000000,0.00000000
2020-06-19,0.02410567,0.02413906,0.02410567,0.00003089,387,weekly_moderate,False,risk_on,0.02010549,0.00000000,0.01013642,12,34,81,0,0.00000000,0.00000000
2020-06-26,0.01625735,0.01635638,0.01625735,0.00009383,389,weekly_moderate,False,caution,-0.04772701,0.18000000,0.13555649,12,38,86,0,0.00000000,0.00000000
2020-07-03,0.05105572,0.05111907,0.05105572,0.00006099,390,weekly_moderate,False,caution,-0.04432075,0.18000000,0.15635737,12,42,89,0,0.00000000,0.00000000
2020-07-10,0.02569291,0.02576198,0.02569291,0.00006990,390,weekly_moderate,False,risk_on,0.00752124,0.00000000,0.02303103,12,47,88,0,0.00000000,0.00000000
2020-07-17,-0.03682139,-0.03671381,-0.03682139,0.00011167,390,weekly_moderate,False,risk_on,0.01727021,0.00000000,0.00238269,12,46,86,0,0.00000000,0.00000000
2020-07-24,0.02049789,0.02057920,0.02049789,0.00008129,389,weekly_moderate,False,risk_on,0.03603117,0.00000000,0.02087911,12,49,85,0,0.00000000,0.00000000
2020-07-31,0.00114970,0.00121795,0.00114970,0.00006963,390,weekly_moderate,False,risk_on,0.03848460,0.00000000,0.01890158,12,50,86,0,0.00000000,0.00000000
2020-08-07,0.01484702,0.01489353,0.01484702,0.00004751,390,weekly_moderate,False,risk_on,0.14602399,0.00000000,0.02438391,12,40,86,0,0.00000000,0.00000000
2020-08-14,-0.00823509,-0.00819621,-0.00823509,0.00004031,390,weekly_moderate,False,risk_on,0.25048651,0.00000000,0.01831248,12,47,86,0,0.00000000,0.00000000
2020-08-21,0.03577763,0.03585167,0.03577763,0.00007611,390,weekly_moderate,False,risk_on,0.22718427,0.00000000,0.03194283,12,44,85,0,0.00000000,0.00000000
2020-08-28,0.04872224,0.04875832,0.04872224,0.00003842,390,weekly_moderate,False,risk_on,0.18737724,0.00000000,0.02595215,12,41,85,0,0.00000000,0.00000000
2020-09-04,-0.01855191,-0.01854863,-0.01855191,0.00000367,390,weekly_moderate,False,risk_on,0.22292608,0.00000000,0.01371592,12,45,83,0,0.00000000,0.00000000
2020-09-11,-0.02701151,-0.02691877,-0.02701151,0.00010164,390,weekly_moderate,False,risk_on,0.21043762,0.00000000,0.00080415,12,32,81,0,0.00000000,0.00000000
2020-09-18,0.01882731,0.01889236,0.01882731,0.00006937,390,weekly_moderate,False,risk_on,0.18325583,0.00000000,0.00322394,12,30,83,0,0.00000000,0.00000000
2020-09-25,-0.04872581,-0.04861377,-0.04872581,0.00012173,389,weekly_moderate,False,risk_on,0.21551197,0.00000000,0.02273843,12,34,80,0,0.00000000,0.00000000
2020-09-30,0.03636119,0.03639862,0.03636119,0.00003869,390,weekly_moderate,False,risk_on,0.25409560,0.00000000,0.00077677,12,28,80,0,0.00000000,0.00000000
2020-10-09,0.05526592,0.05531090,0.05526592,0.00004819,390,weekly_moderate,False,risk_on,0.24123899,0.00000000,-0.00576661,12,18,83,0,0.00000000,0.00000000
2020-10-16,0.00222790,0.00226932,0.00222790,0.00004683,391,weekly_moderate,False,risk_on,0.20043481,0.00000000,-0.01193047,12,29,84,0,0.00000000,0.00000000
2020-10-23,-0.00147089,-0.00139197,-0.00147089,0.00008941,392,weekly_moderate,False,risk_on,0.21781977,0.00000000,-0.03929574,12,32,86,0,0.00000000,0.00000000
2020-10-30,0.01586954,0.01599327,0.01586954,0.00013997,392,weekly_moderate,False,risk_on,0.14419969,0.00000000,-0.01719932,12,31,86,0,0.00000000,0.00000000
2020-11-06,0.09165576,0.09172839,0.09165576,0.00008346,394,weekly_moderate,False,risk_on,0.15008477,0.00000000,0.00112301,12,30,86,0,0.00000000,0.00000000
2020-11-13,-0.02537925,-0.02527447,-0.02537925,0.00013145,394,weekly_moderate,False,risk_on,0.15943643,0.00000000,-0.00041023,12,42,87,0,0.00000000,0.00000000
2020-11-20,0.14357891,0.14367939,0.14357891,0.00012284,396,weekly_moderate,False,risk_on,0.21679273,0.00000000,0.02273176,12,39,86,0,0.00000000,0.00000000
2020-11-27,-0.00433599,-0.00430099,-0.00433599,0.00004894,396,weekly_moderate,False,risk_on,0.21285626,0.00000000,-0.01202559,12,43,85,0,0.00000000,0.00000000
2020-12-04,-0.01009692,-0.01001123,-0.01009692,0.00011929,397,weekly_moderate,False,risk_on,0.18257764,0.00000000,-0.00199805,12,46,85,0,0.00000000,0.00000000
2020-12-11,-0.00272555,-0.00265807,-0.00272555,0.00009300,398,weekly_moderate,False,risk_on,0.23593336,0.00000000,0.00934764,12,43,85,0,0.00000000,0.00000000
2020-12-18,0.00860335,0.00860872,0.00860335,0.00000739,398,weekly_moderate,False,risk_on,0.23014556,0.00000000,0.03397444,12,41,85,0,0.00000000,0.00000000
2020-12-24,0.01787115,0.01793860,0.01787115,0.00009349,400,weekly_moderate,False,risk_on,0.25780044,0.00000000,0.02182639,12,48,88,0,0.00000000,0.00000000
2020-12-31,0.04919736,0.04928661,0.04919736,0.00012592,401,weekly_moderate,False,risk_on,0.25539199,0.00000000,-0.00550273,12,47,89,0,0.00000000,0.00000000
2021-01-08,0.04604816,0.04616714,0.04604816,0.00017613,402,weekly_moderate,False,risk_on,0.23681602,0.00000000,-0.01178530,12,39,88,0,0.00000000,0.00000000
2021-01-15,0.02033330,0.02044922,0.02033330,0.00017950,402,weekly_moderate,False,risk_on,0.21469087,0.00000000,-0.04362213,12,51,91,0,0.00000000,0.00000000
2021-01-22,0.06857277,0.06864921,0.06857277,0.00012078,402,weekly_moderate,False,risk_on,0.21390192,0.00000000,0.00151395,12,53,88,0,0.00000000,0.00000000
2021-01-29,-0.04240058,-0.04235608,-0.04240058,0.00007513,402,weekly_moderate,False,risk_on,0.26701779,0.00000000,-0.01275209,12,54,88,0,0.00000000,0.00000000
2021-02-05,0.06316811,0.06322149,0.06316811,0.00008630,401,weekly_moderate,False,risk_on,0.40483685,0.00000000,0.00924142,12,30,90,0,0.00000000,0.00000000
2021-02-11,0.04070418,0.04074828,0.04070418,0.00007582,400,weekly_moderate,False,risk_on,0.38676574,0.00000000,0.00771299,12,45,88,0,0.00000000,0.00000000
2021-02-19,-0.01767693,-0.01762911,-0.01767693,0.00008554,402,weekly_moderate,False,risk_on,0.37972645,0.00000000,-0.01265691,12,49,87,0,0.00000000,0.00000000
2021-02-26,-0.15366870,-0.15362875,-0.15366870,0.00007020,402,weekly_moderate,False,risk_on,0.44261156,0.00000000,0.02677320,12,47,83,0,0.00000000,0.00000000
2021-03-05,-0.00685151,-0.00683490,-0.00685151,0.00002470,402,weekly_moderate,False,risk_on,0.44338539,0.00000000,0.02828416,12,17,89,0,0.00000000,0.00000000
2021-03-12,-0.01728198,-0.01721009,-0.01728198,0.00010618,402,weekly_moderate,False,risk_on,0.47101474,0.00000000,0.03210889,12,21,87,0,0.00000000,0.00000000
2021-03-19,-0.01940631,-0.01937687,-0.01940631,0.00004273,402,weekly_moderate,False,risk_on,0.69673661,0.00000000,0.02071141,12,22,87,0,0.00000000,0.00000000
2021-03-26,-0.01590987,-0.01584541,-0.01590987,0.00009174,402,weekly_moderate,False,risk_on,0.93070031,0.00000000,-0.00325723,12,22,84,0,0.00000000,0.00000000
2021-04-01,0.03413651,0.03423643,0.03413651,0.00013996,403,weekly_moderate,False,risk_on,0.75016370,0.00000000,0.00653663,12,25,84,0,0.00000000,0.00000000
2021-04-09,-0.02487013,-0.02476613,-0.02487013,0.00015063,400,weekly_moderate,False,risk_on,0.74406041,0.00000000,-0.03149377,12,35,82,0,0.00000000,0.00000000
2021-04-16,0.00631659,0.00638588,0.00631659,0.00009786,400,weekly_moderate,False,risk_on,0.66518539,0.00000000,-0.02341345,12,32,79,0,0.00000000,0.00000000
2021-04-23,0.01888759,0.01896028,0.01888759,0.00010332,400,weekly_moderate,False,risk_on,0.67038828,0.00000000,-0.00705543,12,35,80,0,0.00000000,0.00000000
2021-04-30,-0.03270886,-0.03263892,-0.03270886,0.00010129,400,weekly_moderate,False,risk_on,0.64944899,0.00000000,-0.02088463,12,38,79,0,0.00000000,0.00000000
2021-05-07,0.00987246,0.01006331,0.00987246,0.00026734,401,weekly_moderate,False,risk_on,0.64548300,0.00000000,0.01514895,12,37,81,0,0.00000000,0.00000000
2021-05-14,-0.03323748,-0.03314888,-0.03323748,0.00012533,401,weekly_moderate,False,risk_on,0.64812384,0.00000000,-0.01294836,12,42,80,0,0.00000000,0.00000000
2021-05-21,0.02539721,0.02549259,0.02539721,0.00013044,401,weekly_moderate,False,risk_on,0.67126426,0.00000000,0.03539374,12,40,78,0,0.00000000,0.00000000
2021-05-28,0.05495102,0.05500198,0.05495102,0.00007146,401,weekly_moderate,False,risk_on,0.75508031,0.00000000,0.03156424,12,41,80,0,0.00000000,0.00000000
2021-06-04,-0.00419915,-0.00411748,-0.00419915,0.00012083,401,weekly_moderate,False,risk_on,0.72208644,0.00000000,0.01459914,12,46,79,0,0.00000000,0.00000000
2021-06-11,0.00282576,0.00291151,0.00282576,0.00012633,400,weekly_moderate,False,risk_on,0.59521985,0.00000000,-0.01228041,12,40,79,0,0.00000000,0.00000000
2021-06-18,0.00556085,0.00569871,0.00556085,0.00020367,401,weekly_moderate,False,risk_on,0.58680869,0.00000000,-0.00539585,12,45,81,0,0.00000000,0.00000000
2021-06-25,0.02971077,0.02979432,0.02971077,0.00012412,401,weekly_moderate,False,risk_on,0.58853478,0.00000000,-0.00804239,12,43,83,0,0.00000000,0.00000000
2021-07-02,-0.02581445,-0.02568444,-0.02581445,0.00019888,401,weekly_moderate,False,risk_on,0.63422431,0.00000000,-0.01288075,12,46,82,0,0.00000000,0.00000000
2021-07-09,0.00688799,0.00703023,0.00688799,0.00021198,402,weekly_moderate,False,risk_on,0.55471734,0.00000000,0.02960248,12,34,80,0,0.00000000,0.00000000
2021-07-16,0.01823783,0.01828642,0.01823783,0.00007291,403,weekly_moderate,False,risk_on,0.48675288,0.00000000,0.01576886,12,33,81,0,0.00000000,0.00000000
2021-07-23,-0.04519332,-0.04515623,-0.04519332,0.00005668,404,weekly_moderate,False,risk_on,0.50542750,0.00000000,0.01210991,12,40,81,0,0.00000000,0.00000000
2021-07-30,-0.02296188,-0.02282999,-0.02296188,0.00019241,404,weekly_moderate,False,risk_on,0.54608315,0.00000000,-0.00222459,12,37,83,0,0.00000000,0.00000000
2021-08-06,0.03126336,0.03140107,0.03126336,0.00019628,403,weekly_moderate,False,risk_on,0.49590755,0.00000000,-0.01190278,12,14,81,0,0.00000000,0.00000000
2021-08-13,0.02792172,0.02800386,0.02792172,0.00012074,404,weekly_moderate,False,risk_on,0.42610020,0.00000000,0.01041145,12,22,83,0,0.00000000,0.00000000
2021-08-20,-0.07215268,-0.07205735,-0.07215268,0.00014404,405,weekly_moderate,False,risk_on,0.45608602,0.00000000,-0.00936673,12,30,85,0,0.00000000,0.00000000
2021-08-27,0.01511515,0.01516849,0.01511515,0.00007479,405,weekly_moderate,False,risk_on,0.40973182,0.00000000,0.01718953,12,19,82,0,0.00000000,0.00000000
2021-09-03,0.00784296,0.00798077,0.00784296,0.00019611,405,weekly_moderate,False,risk_on,0.35799868,0.00000000,-0.00320195,12,32,87,0,0.00000000,0.00000000
2021-09-10,0.03490070,0.03498968,0.03490070,0.00012763,405,weekly_moderate,False,risk_on,0.39298514,0.00000000,0.01274144,12,40,83,0,0.00000000,0.00000000
2021-09-17,-0.02405979,-0.02401333,-0.02405979,0.00006897,407,weekly_moderate,False,risk_on,0.44086967,0.00000000,0.00205750,12,41,84,0,0.00000000,0.00000000
2021-09-24,-0.04398028,-0.04389801,-0.04398028,0.00011918,407,weekly_moderate,False,risk_on,0.33224385,0.00000000,-0.01429145,12,38,86,0,0.00000000,0.00000000
2021-09-30,0.00736471,0.00746031,0.00736471,0.00013239,407,weekly_moderate,False,risk_on,0.46628070,0.00000000,-0.01261133,12,36,81,0,0.00000000,0.00000000
2021-10-08,-0.00390978,-0.00388664,-0.00390978,0.00003229,410,weekly_moderate,False,risk_on,0.51178086,0.00000000,-0.02072927,12,15,90,0,0.00000000,0.00000000
2021-10-15,0.01375379,0.01382929,0.01375379,0.00010492,409,weekly_moderate,False,risk_on,0.48514224,0.00000000,-0.00515224,12,24,81,0,0.00000000,0.00000000
