date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count,weekly_overlay_trade_count,weekly_overlay_trading_cost,weekly_overlay_avg_one_way_turnover
2017-01-13,0.01790105,0.01819849,0.01790105,0.00029743,326,weekly_lowvol,False,risk_on,0.25561570,0.00000000,0.00825282,12,14,65,0,0.00000000,0.00000000
2017-01-20,-0.00742694,-0.00719242,-0.00742694,0.00023872,326,weekly_lowvol,False,risk_on,0.30714164,0.00000000,0.00012362,12,25,66,0,0.00000000,0.00000000
2017-01-27,0.02023826,0.02026350,0.02023826,0.00002550,326,weekly_lowvol,False,risk_on,0.30952476,0.00000000,-0.01644970,12,23,67,0,0.00000000,0.00000000
2017-02-03,-0.01182424,-0.01164457,-0.01182424,0.00018520,326,weekly_lowvol,False,risk_on,0.32804241,0.00000000,-0.01464417,12,29,59,0,0.00000000,0.00000000
2017-02-10,0.02614608,0.02617212,0.02614608,0.00002652,326,weekly_lowvol,False,risk_on,0.36262039,0.00000000,-0.01940464,12,37,64,0,0.00000000,0.00000000
2017-02-17,0.04130533,0.04132890,0.04130533,0.00002463,326,weekly_lowvol,False,risk_on,0.44853560,0.00000000,0.00766125,12,38,62,0,0.00000000,0.00000000
2017-02-24,-0.00008844,-0.00006110,-0.00008844,0.00002977,326,weekly_lowvol,False,risk_on,0.34770952,0.00000000,-0.00900265,12,40,63,0,0.00000000,0.00000000
2017-03-03,-0.02622996,-0.02620722,-0.02622996,0.00002475,326,weekly_lowvol,False,risk_on,0.38590407,0.00000000,-0.01599497,12,36,64,0,0.00000000,0.00000000
2017-03-10,-0.00060137,-0.00057286,-0.00060137,0.00003021,325,weekly_lowvol,False,risk_on,0.30727582,0.00000000,0.00075395,12,35,66,0,0.00000000,0.00000000
2017-03-17,0.04337343,0.04337807,0.04337343,0.00000491,326,weekly_lowvol,False,risk_on,0.34962217,0.00000000,-0.01563301,12,36,64,0,0.00000000,0.00000000
2017-03-24,-0.00344109,-0.00340446,-0.00344109,0.00004049,326,weekly_lowvol,False,risk_on,0.32205852,0.00000000,-0.02267012,12,39,66,0,0.00000000,0.00000000
2017-03-31,-0.00933739,-0.00932770,-0.00933739,0.00001066,324,weekly_lowvol,False,risk_on,0.34675178,0.00000000,-0.03163135,12,35,65,0,0.00000000,0.00000000
2017-04-07,-0.00174188,-0.00172137,-0.00174188,0.00002237,326,weekly_lowvol,False,risk_on,0.31998239,0.00000000,-0.02889731,12,24,65,0,0.00000000,0.00000000
2017-04-13,0.00073813,0.00076225,0.00073813,0.00002627,326,weekly_lowvol,False,risk_on,0.32081173,0.00000000,-0.02053632,12,29,65,0,0.00000000,0.00000000
2017-04-21,-0.00748820,-0.00748490,-0.00748820,0.00000359,326,weekly_lowvol,False,risk_on,0.30971699,0.00000000,-0.00856484,12,31,66,0,0.00000000,0.00000000
2017-04-28,0.02565469,0.02566382,0.02565469,0.00000988,326,weekly_lowvol,False,risk_on,0.32103335,0.00000000,-0.00574018,12,31,65,0,0.00000000,0.00000000
2017-05-05,-0.01033737,-0.01032426,-0.01033737,0.00001455,326,weekly_lowvol,False,risk_on,0.32400030,0.00000000,0.00766168,12,29,61,0,0.00000000,0.00000000
2017-05-12,0.03636537,0.03638986,0.03636537,0.00002689,326,weekly_lowvol,False,risk_on,0.39237812,0.00000000,0.01429770,12,27,65,0,0.00000000,0.00000000
2017-05-19,0.00996566,0.00999785,0.00996566,0.00003663,326,weekly_lowvol,False,risk_on,0.41133012,0.00000000,-0.01292182,12,34,68,0,0.00000000,0.00000000
