date,ts_code,name,weight
2023-01-13,01398.HK,工商银行,0.14087205
2023-01-13,00941.HK,中国移动,0.12353416
2023-01-13,00005.HK,汇丰控股,0.10524093
2023-01-13,00939.HK,建设银行,0.10331435
2023-01-13,01288.HK,农业银行,0.10082252
2023-01-13,03988.HK,中国银行,0.09173522
2023-01-13,00857.HK,中国石油股份,0.08187880
2023-01-13,02628.HK,中国人寿,0.06526856
2023-01-13,01299.HK,友邦保险,0.06521086
2023-01-13,00386.HK,中国石油化工股份,0.05070837
2023-01-13,00728.HK,中国电信,0.04217379
2023-01-13,00016.HK,新鸿基地产,0.02924039
2023-01-20,01398.HK,工商银行,0.12435638
2023-01-20,00941.HK,中国移动,0.12192884
2023-01-20,00005.HK,汇丰控股,0.10572967
2023-01-20,00939.HK,建设银行,0.10265956
2023-01-20,01288.HK,农业银行,0.10088609
2023-01-20,03988.HK,中国银行,0.09060437
2023-01-20,00857.HK,中国石油股份,0.08423777
2023-01-20,02628.HK,中国人寿,0.06414601
2023-01-20,00883.HK,中国海洋石油,0.05698794
2023-01-20,01299.HK,友邦保险,0.05308347
2023-01-20,00386.HK,中国石油化工股份,0.05193163
2023-01-20,01088.HK,中国神华,0.05127939
2023-01-27,CASH,现金,0.11443058
2023-01-27,00941.HK,中国移动,0.10908920
2023-01-27,01398.HK,工商银行,0.09573986
2023-01-27,00005.HK,汇丰控股,0.09496690
2023-01-27,00939.HK,建设银行,0.08577423
2023-01-27,01288.HK,农业银行,0.07925836
2023-01-27,03988.HK,中国银行,0.07308258
2023-01-27,00857.HK,中国石油股份,0.07166718
2023-01-27,02628.HK,中国人寿,0.06345798
2023-01-27,00883.HK,中国海洋石油,0.05718725
2023-01-27,01299.HK,友邦保险,0.05289716
2023-01-27,00386.HK,中国石油化工股份,0.05244249
2023-01-27,01088.HK,中国神华,0.05000624
2023-02-03,00941.HK,中国移动,0.13131541
2023-02-03,01398.HK,工商银行,0.12150089
2023-02-03,00005.HK,汇丰控股,0.11034609
2023-02-03,00939.HK,建设银行,0.10579698
2023-02-03,01288.HK,农业银行,0.09110534
2023-02-03,03988.HK,中国银行,0.08616803
2023-02-03,00857.HK,中国石油股份,0.08422549
2023-02-03,02628.HK,中国人寿,0.05967768
2023-02-03,00883.HK,中国海洋石油,0.05729272
2023-02-03,00386.HK,中国石油化工股份,0.05245671
2023-02-03,01299.HK,友邦保险,0.05228375
2023-02-03,01088.HK,中国神华,0.04980466
2023-02-10,00941.HK,中国移动,0.14713405
2023-02-10,00005.HK,汇丰控股,0.11467336
2023-02-10,01398.HK,工商银行,0.09830825
2023-02-10,01288.HK,农业银行,0.09086146
2023-02-10,03988.HK,中国银行,0.08528865
2023-02-10,00939.HK,建设银行,0.08522077
2023-02-10,00857.HK,中国石油股份,0.08435445
2023-02-10,00883.HK,中国海洋石油,0.05755574
2023-02-10,00728.HK,中国电信,0.05475208
2023-02-10,01299.HK,友邦保险,0.05313368
2023-02-10,00386.HK,中国石油化工股份,0.05296416
2023-02-10,01088.HK,中国神华,0.04894024
2023-02-10,CASH,现金,0.02681314
2023-02-17,00941.HK,中国移动,0.14870658
2023-02-17,00005.HK,汇丰控股,0.12914822
2023-02-17,01398.HK,工商银行,0.09752669
2023-02-17,01288.HK,农业银行,0.09080858
2023-02-17,00857.HK,中国石油股份,0.08512522
2023-02-17,00939.HK,建设银行,0.08492401
2023-02-17,03988.HK,中国银行,0.08492351
2023-02-17,01299.HK,友邦保险,0.06265322
2023-02-17,00883.HK,中国海洋石油,0.05805921
2023-02-17,00386.HK,中国石油化工股份,0.05287183
2023-02-17,02628.HK,中国人寿,0.04934526
2023-02-17,01088.HK,中国神华,0.04892025
2023-02-17,CASH,现金,0.00698742
2023-02-24,00941.HK,中国移动,0.13563114
2023-02-24,00005.HK,汇丰控股,0.13234506
2023-02-24,01398.HK,工商银行,0.09738603
2023-02-24,01288.HK,农业银行,0.09094352
2023-02-24,00857.HK,中国石油股份,0.08502006
2023-02-24,03988.HK,中国银行,0.08471086
2023-02-24,00939.HK,建设银行,0.08403529
2023-02-24,01299.HK,友邦保险,0.06090383
2023-02-24,00883.HK,中国海洋石油,0.05826295
2023-02-24,00386.HK,中国石油化工股份,0.05252107
2023-02-24,00728.HK,中国电信,0.05055120
2023-02-24,02628.HK,中国人寿,0.04933914
2023-02-24,CASH,现金,0.01834984
2023-03-03,00941.HK,中国移动,0.13965485
2023-03-03,00005.HK,汇丰控股,0.13156080
2023-03-03,01398.HK,工商银行,0.09646022
2023-03-03,00857.HK,中国石油股份,0.09565071
2023-03-03,01288.HK,农业银行,0.08862506
2023-03-03,03988.HK,中国银行,0.08347144
2023-03-03,00939.HK,建设银行,0.08281826
2023-03-03,01299.HK,友邦保险,0.06221977
2023-03-03,00883.HK,中国海洋石油,0.05702573
2023-03-03,00386.HK,中国石油化工股份,0.05329388
2023-03-03,00728.HK,中国电信,0.05272045
2023-03-03,02628.HK,中国人寿,0.04908331
2023-03-03,CASH,现金,0.00741552
2023-03-10,00941.HK,中国移动,0.14158759
2023-03-10,00005.HK,汇丰控股,0.11439374
2023-03-10,00857.HK,中国石油股份,0.09799256
2023-03-10,01398.HK,工商银行,0.09668069
2023-03-10,01288.HK,农业银行,0.08872373
2023-03-10,03988.HK,中国银行,0.08264320
2023-03-10,00939.HK,建设银行,0.08218215
2023-03-10,01299.HK,友邦保险,0.05967622
2023-03-10,00883.HK,中国海洋石油,0.05695544
2023-03-10,00386.HK,中国石油化工股份,0.05626529
2023-03-10,00728.HK,中国电信,0.05331230
2023-03-10,02628.HK,中国人寿,0.04627456
2023-03-10,CASH,现金,0.02331253
2023-03-17,00941.HK,中国移动,0.14680199
2023-03-17,01398.HK,工商银行,0.11722561
2023-03-17,00005.HK,汇丰控股,0.10636162
2023-03-17,00857.HK,中国石油股份,0.09700901
2023-03-17,01288.HK,农业银行,0.09051649
2023-03-17,00939.HK,建设银行,0.08377648
2023-03-17,03988.HK,中国银行,0.08313613
2023-03-17,01299.HK,友邦保险,0.06878402
2023-03-17,00386.HK,中国石油化工股份,0.05920083
2023-03-17,00883.HK,中国海洋石油,0.05646807
2023-03-17,00728.HK,中国电信,0.05344444
2023-03-17,02628.HK,中国人寿,0.04586270
2023-03-24,00941.HK,中国移动,0.14254079
2023-03-24,01398.HK,工商银行,0.13171484
2023-03-24,00939.HK,建设银行,0.10273255
2023-03-24,00857.HK,中国石油股份,0.09627125
2023-03-24,01288.HK,农业银行,0.09229707
2023-03-24,00005.HK,汇丰控股,0.09093585
2023-03-24,03988.HK,中国银行,0.08511613
2023-03-24,00386.HK,中国石油化工股份,0.05810275
2023-03-24,01299.HK,友邦保险,0.05241119
2023-03-24,00728.HK,中国电信,0.05128028
2023-03-24,00883.HK,中国海洋石油,0.04654969
2023-03-24,02628.HK,中国人寿,0.04645217
2023-03-24,CASH,现金,0.00359542
2023-03-31,00941.HK,中国移动,0.14274941
2023-03-31,01398.HK,工商银行,0.12864492
2023-03-31,00857.HK,中国石油股份,0.10382158
2023-03-31,00939.HK,建设银行,0.10188650
2023-03-31,01288.HK,农业银行,0.09164032
2023-03-31,00005.HK,汇丰控股,0.09135264
2023-03-31,03988.HK,中国银行,0.08382894
2023-03-31,00386.HK,中国石油化工股份,0.05653793
2023-03-31,01299.HK,友邦保险,0.05231694
2023-03-31,00728.HK,中国电信,0.05185880
2023-03-31,01088.HK,中国神华,0.05012302
2023-03-31,02628.HK,中国人寿,0.04521639
2023-03-31,CASH,现金,0.00002261
2023-04-06,00941.HK,中国移动,0.16732806
2023-04-06,00005.HK,汇丰控股,0.11780841
2023-04-06,00857.HK,中国石油股份,0.10509499
2023-04-06,01288.HK,农业银行,0.09197506
2023-04-06,03988.HK,中国银行,0.08311172
2023-04-06,01299.HK,友邦保险,0.07450787
2023-04-06,02628.HK,中国人寿,0.06773601
2023-04-06,00728.HK,中国电信,0.06511303
2023-04-06,00883.HK,中国海洋石油,0.05798791
2023-04-06,00386.HK,中国石油化工股份,0.05656807
2023-04-06,01088.HK,中国神华,0.04871751
2023-04-06,00016.HK,新鸿基地产,0.03642422
2023-04-06,CASH,现金,0.02762715
2023-04-14,00700.HK,腾讯控股,0.17253150
2023-04-14,00941.HK,中国移动,0.14155232
2023-04-14,00857.HK,中国石油股份,0.09320271
2023-04-14,01288.HK,农业银行,0.09262220
2023-04-14,03988.HK,中国银行,0.08395875
2023-04-14,00939.HK,建设银行,0.08177087
2023-04-14,00005.HK,汇丰控股,0.07441898
2023-04-14,00386.HK,中国石油化工股份,0.05870099
2023-04-14,00728.HK,中国电信,0.05194463
2023-04-14,01299.HK,友邦保险,0.05103849
2023-04-14,00883.HK,中国海洋石油,0.04815240
2023-04-14,02628.HK,中国人寿,0.04598816
2023-04-14,CASH,现金,0.00411801
2023-04-21,00700.HK,腾讯控股,0.16519358
2023-04-21,00941.HK,中国移动,0.14182047
2023-04-21,00857.HK,中国石油股份,0.09605903
2023-04-21,01288.HK,农业银行,0.09279766
