date,portfolio_return,nav,drawdown,trading_cost
2025-01-06,0.00000000,1.00000000,0.00000000,0.00000000
2025-01-10,-0.02863417,0.97136583,-0.02863417,0.00029991
2025-01-17,0.01953665,0.99034307,-0.00965693,0.00001986
2025-01-24,0.02978208,1.01983755,0.00000000,0.00000000
2025-01-28,0.00889848,1.02891255,0.00000000,0.00000000
2025-02-07,0.02692043,1.05661132,0.00000000,0.00005220
2025-02-14,0.06420253,1.12444844,0.00000000,0.00005909
2025-02-21,0.03367143,1.16231023,0.00000000,0.00003311
2025-02-28,-0.02386421,1.13457261,-0.02386421,0.00005275
2025-03-07,0.04627840,1.18707881,0.00000000,0.00004635
2025-03-14,0.00558546,1.19370919,0.00000000,0.00005015
2025-03-21,-0.00922524,1.18269694,-0.00922524,0.00006929
2025-03-28,-0.01855880,1.16074750,-0.02761283,0.00003268
2025-04-03,-0.01676838,1.14128365,-0.04391819,0.00002403
2025-04-11,-0.06597133,1.06599165,-0.10699218,0.00000419
2025-04-17,0.02345996,1.09099977,-0.08604225,0.00004001
2025-04-25,0.02915564,1.12280857,-0.05939522,0.00000000
2025-05-02,0.00457351,1.12794375,-0.05509336,0.00003229
2025-05-09,0.02313855,1.15404273,-0.03322959,0.00000000
2025-05-16,0.03796260,1.19785319,0.00000000,0.00000781
2025-05-23,0.01667886,1.21783202,0.00000000,0.00002695
2025-05-30,0.04755149,1.27574174,0.00000000,0.00003964
2025-06-06,0.02113859,1.30270913,0.00000000,0.00010017
2025-06-13,0.01552547,1.32293431,0.00000000,0.00003238
2025-06-20,0.00338262,1.32740929,0.00000000,0.00001171
2025-06-27,0.02489458,1.36045459,0.00000000,0.00001488
2025-07-04,-0.00848983,1.34890456,-0.00848983,0.00003116
2025-07-11,0.00930139,1.36145124,0.00000000,0.00005644
2025-07-18,0.00893860,1.37362071,0.00000000,0.00004575
2025-07-25,0.01252302,1.39082259,0.00000000,0.00001538
2025-08-01,-0.03540540,1.34157996,-0.03540540,0.00001427
2025-08-08,0.02236574,1.37158539,-0.01383152,0.00003431
2025-08-15,0.01206178,1.38812916,-0.00193657,0.00003861
2025-08-22,0.00813791,1.39942563,0.00000000,0.00007971
2025-08-29,-0.01733856,1.37516160,-0.01733856,0.00004848
2025-09-05,0.01033934,1.38937986,-0.00717849,0.00006210
2025-09-12,0.03649070,1.44007930,0.00000000,0.00005429
2025-09-19,-0.01727885,1.41519639,-0.01727885,0.00002184
2025-09-26,-0.01890993,1.38843512,-0.03586204,0.00002599
2025-10-03,0.03127863,1.43186347,-0.00570513,0.00008414
2025-10-10,-0.02414586,1.39728989,-0.02971324,0.00004897
2025-10-17,-0.01542678,1.37573420,-0.04468164,0.00003903
2025-10-24,0.04350592,1.43558678,-0.00311964,0.00023840
2025-10-31,-0.01034593,1.42073429,-0.01343329,0.00001515
2025-11-07,0.03326073,1.46798896,0.00000000,0.00002571
2025-11-14,0.02078925,1.49850735,0.00000000,0.00005964
2025-11-21,-0.04225950,1.43518117,-0.04225950,0.00007327
2025-11-28,0.00984628,1.44931237,-0.03282932,0.00004724
2025-12-05,-0.00063209,1.44839628,-0.03344066,0.00003627
2025-12-12,-0.01544789,1.42602161,-0.04837196,0.00006691
2025-12-19,-0.00680546,1.41631687,-0.05484823,0.00004719
2025-12-24,0.00528479,1.42380180,-0.04985330,0.00000000
2026-01-02,0.02890388,1.46495519,-0.02239038,0.00000000
2026-01-09,-0.01773447,1.43897499,-0.03972777,0.00001193
2026-01-16,0.01558032,1.46139468,-0.02476642,0.00011273
2026-01-23,-0.01514971,1.43925498,-0.03954093,0.00004452
2026-01-30,0.05238677,1.51465289,0.00000000,0.00007717
2026-02-06,-0.03634705,1.45959973,-0.03634705,0.00001717
2026-02-13,-0.00595792,1.45090355,-0.04208842,0.00005105
2026-02-20,0.01140502,1.46745113,-0.03116342,0.00000797
2026-02-27,0.01417807,1.48825675,-0.01742719,0.00014062
2026-03-06,-0.01771365,1.46189429,-0.03483214,0.00006153
2026-03-13,-0.00692531,1.45177022,-0.04151623,0.00002422
2026-03-20,0.01373928,1.47171650,-0.02834734,0.00004374
2026-03-27,-0.01061313,1.45609699,-0.03865962,0.00003319
2026-04-02,0.01250473,1.47430508,-0.02663832,0.00005348
2026-04-10,0.01144996,1.49118581,-0.01549337,0.00012542
2026-04-17,0.01043715,1.50674954,-0.00521793,0.00000975
2026-04-24,0.02382006,1.54264040,0.00000000,0.00001032
2026-04-30,0.00266966,1.54675872,0.00000000,0.00006985
2026-05-08,-0.02816134,1.50319993,-0.02816134,0.00001437
2026-05-15,0.00039752,1.50379748,-0.02777501,0.00005425
