date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count
2020-12-18,0.00000000,0.00000000,0.00000000,0.00000000,398,weekly_high_growth_theme,False,risk_on,,1.00000000,1.00000000,0,0,63
2020-12-24,0.00000000,0.00000000,0.00000000,0.00000000,400,weekly_high_growth_theme,False,risk_on,,1.00000000,1.00000000,0,0,64
2020-12-31,0.00000000,0.00000000,0.00000000,0.00000000,401,weekly_high_growth_theme,False,risk_on,,1.00000000,1.00000000,0,0,56
2021-01-08,0.00000000,0.00000000,0.00000000,0.00000000,402,weekly_high_growth_theme,False,risk_on,,1.00000000,1.00000000,0,0,63
2021-01-15,0.00000000,0.00000000,0.00000000,0.00000000,402,weekly_high_growth_theme,False,risk_on,,1.00000000,1.00000000,0,0,63
2021-01-22,0.00000000,0.00000000,0.00000000,0.00000000,402,weekly_high_growth_theme,False,risk_on,,1.00000000,1.00000000,0,0,50
2021-01-29,0.00000000,0.00000000,0.00000000,0.00000000,402,weekly_high_growth_theme,False,risk_on,,1.00000000,1.00000000,0,0,54
2021-02-05,0.03909977,0.03939968,0.03909977,0.00029991,401,weekly_high_growth_theme,False,risk_on,,0.00000000,0.00000000,5,11,62
2021-02-11,0.04022355,0.04072544,0.04022355,0.00052151,400,weekly_high_growth_theme,False,risk_on,,0.00000000,0.00000000,5,20,60
2021-02-19,0.00828778,0.00854059,0.00828778,0.00027326,402,weekly_high_growth_theme,False,risk_on,,0.00000000,0.01357476,5,26,62
2021-02-26,-0.02335530,-0.02275788,-0.02335530,0.00065110,402,weekly_high_growth_theme,False,risk_on,,0.00000000,0.00000000,5,24,50
2021-03-05,0.00639247,0.00685992,0.00639247,0.00049756,402,weekly_high_growth_theme,False,risk_on,,0.00000000,0.00625219,5,24,56
2021-03-12,-0.00156348,-0.00095800,-0.00156348,0.00064859,402,weekly_high_growth_theme,False,risk_on,,0.00000000,0.00000000,5,24,58
2021-03-19,0.01440975,0.01502601,0.01440975,0.00065912,402,weekly_high_growth_theme,False,risk_on,,0.00000000,0.00000000,5,19,58
2021-03-26,0.00414324,0.00464155,0.00414324,0.00054064,402,weekly_high_growth_theme,False,risk_on,,0.00000000,0.00000000,5,22,58
2021-04-01,-0.00745577,-0.00684725,-0.00745577,0.00066295,403,weekly_high_growth_theme,False,risk_on,,0.00000000,0.00000000,5,19,55
2021-04-09,-0.00412915,-0.00364402,-0.00412915,0.00052458,400,weekly_high_growth_theme,False,risk_on,,0.00000000,0.00000000,5,22,56
2021-04-16,0.02335846,0.02370233,0.02335846,0.00037030,400,weekly_high_growth_theme,False,risk_on,,0.00000000,-0.00361630,5,22,53
2021-04-23,0.01115541,0.01151143,0.01115541,0.00039233,400,weekly_high_growth_theme,False,risk_on,,0.00000000,-0.00232888,5,24,49
2021-04-30,-0.01749724,-0.01725766,-0.01749724,0.00026696,400,weekly_high_growth_theme,False,risk_on,,0.00000000,-0.00381151,5,24,57
2021-05-07,0.04331284,0.04390905,0.04331284,0.00065273,401,weekly_high_growth_theme,False,risk_on,,0.00000000,0.00000000,5,22,54
2021-05-14,0.00333800,0.00371467,0.00333800,0.00043024,401,weekly_high_growth_theme,False,risk_on,,0.00000000,0.00000000,5,26,56
2021-05-21,-0.00838802,-0.00805142,-0.00838802,0.00038575,401,weekly_high_growth_theme,False,risk_on,,0.00000000,0.00287607,5,20,57
2021-05-28,0.04986899,0.05036524,0.04986899,0.00056394,401,weekly_high_growth_theme,False,risk_on,,0.00000000,0.00675711,5,21,49
2021-06-04,-0.01061373,-0.01002033,-0.01061373,0.00070799,401,weekly_high_growth_theme,False,risk_on,,0.00000000,0.00000000,5,25,53
2021-06-11,0.03033143,0.03069044,0.03033143,0.00042378,400,weekly_high_growth_theme,False,risk_on,,0.00000000,0.01050113,5,24,53
2021-06-18,-0.01505056,-0.01471336,-0.01505056,0.00041012,401,weekly_high_growth_theme,False,risk_on,,0.00000000,0.00369315,5,27,51
2021-06-25,0.01684839,0.01732019,0.01684839,0.00056518,401,weekly_high_growth_theme,False,risk_on,,0.00000000,0.00000000,5,22,54
2021-07-02,0.03628896,0.03678681,0.03628896,0.00060643,401,weekly_high_growth_theme,False,risk_on,,0.00000000,0.00442872,5,25,55
2021-07-09,-0.02564519,-0.02515802,-0.02564519,0.00061495,402,weekly_high_growth_theme,False,risk_on,,0.00000000,0.00000000,5,19,48
2021-07-16,0.01156451,0.01205586,0.01156451,0.00060433,403,weekly_high_growth_theme,False,risk_on,,0.00000000,0.00000000,5,20,54
2021-07-23,-0.03326325,-0.03290196,-0.03326325,0.00044951,404,weekly_high_growth_theme,False,risk_on,,0.00000000,-0.00000000,5,22,51
2021-07-30,-0.03121283,-0.03064507,-0.03121283,0.00068289,404,weekly_high_growth_theme,False,risk_on,,0.00000000,0.00000000,5,21,55
2021-08-06,0.01937442,0.01987518,0.01937442,0.00058350,403,weekly_high_growth_theme,False,risk_on,,0.00000000,0.00000000,5,14,56
2021-08-13,0.02106010,0.02155226,0.02106010,0.00058459,404,weekly_high_growth_theme,False,risk_on,,0.00000000,0.00000000,5,16,54
2021-08-20,-0.05084780,-0.05047863,-0.05084780,0.00044773,405,weekly_high_growth_theme,False,risk_on,,0.00000000,0.00000000,5,21,54
2021-08-27,-0.01002396,-0.00953219,-0.01002396,0.00056611,405,weekly_high_growth_theme,False,risk_on,,0.00000000,0.00844910,5,11,55
2021-09-03,0.07743128,0.07804708,0.07743128,0.00070178,405,weekly_high_growth_theme,False,risk_on,,0.00000000,0.00000000,5,22,51
2021-09-10,0.01946035,0.01983216,0.01946035,0.00045652,405,weekly_high_growth_theme,False,risk_on,,0.00000000,-0.01023792,5,21,48
2021-09-17,-0.01041091,-0.01005606,-0.01041091,0.00044418,407,weekly_high_growth_theme,False,risk_on,,0.00000000,-0.00984340,5,26,59
2021-09-24,-0.04856158,-0.04811377,-0.04856158,0.00055470,407,weekly_high_growth_theme,False,risk_on,,0.00000000,0.00000000,5,23,56
2021-09-30,0.01602046,0.01648985,0.01602046,0.00055321,407,weekly_high_growth_theme,False,risk_on,,0.00000000,0.00143199,5,23,55
2021-10-08,-0.07466662,-0.07419953,-0.07466662,0.00055931,410,weekly_high_growth_theme,False,risk_on,,0.00000000,0.00000000,5,11,60
2021-10-15,-0.03650701,-0.03592675,-0.03650701,0.00064295,409,weekly_high_growth_theme,False,risk_on,,0.00000000,0.00000000,5,19,57
2021-10-22,0.03558133,0.03606631,0.03558133,0.00051775,409,weekly_high_growth_theme,False,risk_on,,0.00000000,0.00000000,5,18,57
2021-10-29,-0.00843451,-0.00819272,-0.00843451,0.00026731,411,weekly_high_growth_theme,False,risk_on,,0.00000000,0.00002783,5,17,59
2021-11-05,-0.01396825,-0.01336810,-0.01396825,0.00065792,413,weekly_high_growth_theme,False,risk_on,,0.00000000,0.00000000,5,17,64
2021-11-12,0.03875240,0.03934859,0.03875240,0.00064444,414,weekly_high_growth_theme,False,risk_on,,0.00000000,0.00000000,5,16,63
2021-11-19,0.01249906,0.01287143,0.01249906,0.00041812,415,weekly_high_growth_theme,False,risk_on,,0.00000000,0.00000000,5,12,56
2021-11-26,-0.01783914,-0.01747392,-0.01783914,0.00041520,415,weekly_high_growth_theme,False,risk_on,,0.00000000,0.00000000,5,18,53
2021-12-03,0.00174745,0.00222020,0.00174745,0.00052786,415,weekly_high_growth_theme,False,risk_on,,0.00000000,0.00000000,5,10,61
2021-12-10,-0.00150987,-0.00103117,-0.00150987,0.00053544,415,weekly_high_growth_theme,False,risk_on,,0.00000000,0.00000000,5,21,50
2021-12-17,0.01208381,0.01246163,0.01208381,0.00042197,417,weekly_high_growth_theme,False,risk_on,,0.00000000,0.00265457,5,19,57
2021-12-24,0.00816782,0.00863836,0.00816782,0.00053186,419,weekly_high_growth_theme,False,risk_on,,0.00000000,-0.01043828,5,18,56
2021-12-31,0.01428685,0.01464785,0.01428685,0.00041139,420,weekly_high_growth_theme,False,risk_on,,0.00000000,0.00939209,5,20,54
2022-01-07,0.03173302,0.03219171,0.03173302,0.00053018,420,weekly_high_growth_theme,False,caution,0.18818174,0.10000000,0.10955074,5,17,51
2022-01-14,0.03848347,0.03892814,0.03848347,0.00053028,421,weekly_high_growth_theme,False,caution,0.15755437,0.10000000,0.12218577,5,26,50
2022-01-21,0.00905322,0.00926955,0.00905322,0.00026790,421,weekly_high_growth_theme,False,caution,0.11452283,0.10000000,0.12671620,5,27,52
2022-01-28,-0.01959195,-0.01924600,-0.01959195,0.00043231,422,weekly_high_growth_theme,False,risk_on,0.06671761,0.00000000,0.01159168,5,28,53
2022-02-04,0.02197420,0.02245008,0.02197420,0.00058303,422,weekly_high_growth_theme,False,caution,0.12946915,0.10000000,0.12263386,5,24,49
2022-02-11,0.02562431,0.02604991,0.02562431,0.00053289,421,weekly_high_growth_theme,False,caution,0.07140338,0.10000000,0.11663423,5,23,49
2022-02-18,-0.01803541,-0.01781621,-0.01803541,0.00028148,423,weekly_high_growth_theme,False,caution,0.05266848,0.10000000,0.13845318,5,24,55
2022-02-25,-0.04970697,-0.04927445,-0.04970697,0.00054541,423,weekly_high_growth_theme,False,caution,0.02824040,0.10000000,0.12720753,5,24,52
2022-03-04,0.03081658,0.03126502,0.03081658,0.00053738,423,weekly_high_growth_theme,False,caution,0.00270455,0.10000000,0.12333687,5,22,50
2022-03-11,-0.07238309,-0.07205019,-0.07238309,0.00041122,425,weekly_high_growth_theme,False,caution,0.04795439,0.10000000,0.12369215,5,21,57
2022-03-18,-0.02717676,-0.02695279,-0.02717676,0.00025663,425,weekly_high_growth_theme,False,caution,0.06558143,0.10000000,0.10834705,5,14,55
2022-03-25,-0.03536924,-0.03516606,-0.03536924,0.00022648,425,weekly_high_growth_theme,False,caution,0.05232685,0.10000000,0.10879808,5,18,55
2022-04-01,0.00543016,0.00596593,0.00543016,0.00057609,424,weekly_high_growth_theme,False,caution,0.03988485,0.10000000,0.10676455,5,18,52
2022-04-08,0.00624171,0.00670828,0.00624171,0.00050441,424,weekly_high_growth_theme,True,risk_off,-0.02679605,0.35000000,0.37919291,5,22,53
2022-04-14,0.00247916,0.00263853,0.00247916,0.00017337,424,weekly_high_growth_theme,True,risk_off,-0.09519501,0.35000000,0.38042251,5,22,53
2022-04-22,-0.03697376,-0.03666289,-0.03697376,0.00033902,424,weekly_high_growth_theme,True,risk_off,-0.08218074,0.35000000,0.38899880,5,18,47
2022-04-29,-0.02428982,-0.02392208,-0.02428982,0.00038622,424,weekly_high_growth_theme,True,risk_off,-0.09481661,0.35000000,0.35551731,5,18,47
2022-05-06,-0.00765692,-0.00741791,-0.00765692,0.00024492,423,weekly_high_growth_theme,True,risk_off,-0.04713514,0.35000000,0.35182810,5,11,51
2022-05-13,-0.00628683,-0.00605365,-0.00628683,0.00023712,424,weekly_high_growth_theme,True,risk_off,-0.03791682,0.35000000,0.35270647,5,13,50
2022-05-20,0.02213221,0.02228871,0.02213221,0.00015815,423,weekly_high_growth_theme,True,risk_off,-0.03312433,0.35000000,0.35039496,5,11,53
2022-05-27,0.02666534,0.02689708,0.02666534,0.00023936,423,weekly_high_growth_theme,True,risk_off,-0.10019766,0.35000000,0.35928250,5,20,55
2022-06-02,0.00446786,0.00471586,0.00446786,0.00026297,422,weekly_high_growth_theme,True,risk_off,-0.11353468,0.35000000,0.36877078,5,22,55
2022-06-10,-0.03044152,-0.03011738,-0.03044152,0.00034525,424,weekly_high_growth_theme,True,risk_off,-0.15754478,0.35000000,0.37402509,5,21,53
2022-06-17,-0.03231818,-0.03193390,-0.03231818,0.00039685,424,weekly_high_growth_theme,True,risk_off,-0.16700463,0.35000000,0.35985593,5,22,50
2022-06-24,-0.00863148,-0.00840039,-0.00863148,0.00023093,425,weekly_high_growth_theme,True,risk_off,-0.11954582,0.35000000,0.34710711,5,18,53
2022-06-30,0.04261711,0.04292057,0.04261711,0.00030064,427,weekly_high_growth_theme,False,caution,-0.14461895,0.10000000,0.10038247,5,23,57
2022-07-08,-0.00394664,-0.00340322,-0.00394664,0.00056130,429,weekly_high_growth_theme,False,caution,-0.10326260,0.10000000,0.10372819,5,15,52
2022-07-15,-0.05850766,-0.05809062,-0.05850766,0.00042906,431,weekly_high_growth_theme,False,caution,-0.05513955,0.10000000,0.09604075,5,21,52
2022-07-22,0.00982893,0.01030654,0.00982893,0.00046263,432,weekly_high_growth_theme,True,risk_off,-0.09584719,0.35000000,0.34738509,5,15,51
2022-07-29,0.01709908,0.01741571,0.01709908,0.00030972,432,weekly_high_growth_theme,False,caution,-0.03515937,0.10000000,0.09786961,5,21,54
2022-08-05,-0.01825461,-0.01804643,-0.01825461,0.00020712,432,weekly_high_growth_theme,False,caution,0.02233928,0.10000000,0.08301308,5,11,55
2022-08-12,0.00905887,0.00939156,0.00905887,0.00032495,432,weekly_high_growth_theme,False,caution,0.01135711,0.10000000,0.09029689,5,15,50
2022-08-19,-0.02943818,-0.02906724,-0.02943818,0.00036559,433,weekly_high_growth_theme,True,risk_off,-0.06211794,0.35000000,0.33263659,5,18,53
2022-08-26,0.02813272,0.02835508,0.02813272,0.00021270,433,weekly_high_growth_theme,False,caution,0.00354061,0.10000000,0.09582945,5,17,51
2022-09-02,-0.02164630,-0.02119953,-0.02164630,0.00043939,434,weekly_high_growth_theme,False,caution,-0.05153993,0.10000000,0.09857748,5,17,53
2022-09-09,0.05619455,0.05666822,0.05619455,0.00045576,434,weekly_high_growth_theme,True,risk_off,-0.10047870,0.35000000,0.34306714,5,21,54
2022-09-16,-0.01235882,-0.01196889,-0.01235882,0.00039627,434,weekly_high_growth_theme,True,risk_off,-0.10735791,0.35000000,0.35287686,5,23,52
2022-09-23,-0.02201976,-0.02170580,-0.02201976,0.00031512,434,weekly_high_growth_theme,True,risk_off,-0.07184030,0.35000000,0.34855752,5,23,57
2022-09-30,-0.03962748,-0.03932369,-0.03962748,0.00029820,434,weekly_high_growth_theme,True,risk_off,-0.04865828,0.35000000,0.33908467,5,22,58
2022-10-07,-0.00447236,-0.00424700,-0.00447236,0.00021245,433,weekly_high_growth_theme,True,risk_off,-0.07807615,0.35000000,0.32664663,5,12,58
2022-10-14,-0.04345335,-0.04306466,-0.04345335,0.00036478,435,weekly_high_growth_theme,True,risk_off,-0.05821902,0.35000000,0.32713591,5,22,59
2022-10-21,-0.00575340,-0.00537205,-0.00575340,0.00034234,435,weekly_high_growth_theme,True,risk_off,-0.09245961,0.35000000,0.31137839,5,14,58
2022-10-28,-0.04474600,-0.04460505,-0.04474600,0.00012581,435,weekly_high_growth_theme,True,risk_off,-0.15449029,0.35000000,0.30690888,5,14,55
2022-11-04,0.03531923,0.03547860,0.03531923,0.00013588,435,weekly_high_growth_theme,True,risk_off,-0.17507025,0.35000000,0.29236481,5,8,54
2022-11-11,-0.01900477,-0.01875668,-0.01900477,0.00021899,436,weekly_high_growth_theme,True,risk_off,-0.13746698,0.35000000,0.30574671,5,12,52
2022-11-18,-0.00355117,-0.00316483,-0.00355117,0.00033455,436,weekly_high_growth_theme,True,risk_off,-0.19200091,0.35000000,0.30133334,5,17,57
2022-11-25,0.00127779,0.00158344,0.00127779,0.00026373,436,weekly_high_growth_theme,False,caution,-0.19310806,0.10000000,0.08598926,5,22,54
2022-12-02,0.02025989,0.02069960,0.02025989,0.00037989,435,weekly_high_growth_theme,False,caution,-0.23442025,0.10000000,0.08641212,5,23,56
2022-12-09,0.06535116,0.06579393,0.06535116,0.00039030,437,weekly_high_growth_theme,False,caution,-0.16448299,0.10000000,0.09614656,5,26,57
2022-12-16,0.00853441,0.00874320,0.00853441,0.00019607,437,weekly_high_growth_theme,False,caution,-0.12115765,0.10000000,0.08783057,5,25,53
2022-12-23,0.01833132,0.01886199,0.01833132,0.00050259,441,weekly_high_growth_theme,False,caution,-0.05930011,0.10000000,0.09277041,5,22,52
2022-12-30,0.00362981,0.00396583,0.00362981,0.00032407,441,weekly_high_growth_theme,False,caution,-0.06943048,0.10000000,0.09763643,5,24,56
2023-01-06,0.02810192,0.02853901,0.02810192,0.00042308,443,weekly_high_growth_theme,False,caution,-0.03150574,0.10000000,0.10199343,5,18,59
2023-01-13,0.03389552,0.03423904,0.03389552,0.00034185,443,weekly_high_growth_theme,False,risk_on,0.05526806,0.00000000,0.00572009,5,24,55
2023-01-20,0.04966753,0.05014811,0.04966753,0.00049446,443,weekly_high_growth_theme,False,risk_on,0.01276661,0.00000000,0.00541030,5,27,54
2023-01-27,0.01574706,0.01577573,0.01574706,0.00003097,444,weekly_high_growth_theme,False,caution,-0.01705734,0.10000000,0.10860906,5,27,55
2023-02-03,-0.00516395,-0.00513426,-0.00516395,0.00003257,444,weekly_high_growth_theme,False,risk_on,0.07716415,0.00000000,0.00000000,5,26,56
2023-02-10,-0.01651947,-0.01627995,-0.01651947,0.00026139,444,weekly_high_growth_theme,False,risk_on,0.09411154,0.00000000,0.00000000,5,19,49
2023-02-17,0.01823632,0.01836413,0.01823632,0.00013718,444,weekly_high_growth_theme,False,risk_on,0.10329230,0.00000000,-0.01308444,5,21,51
2023-02-24,0.00516729,0.00531402,0.00516729,0.00016035,444,weekly_high_growth_theme,False,risk_on,0.12461795,0.00000000,-0.00000000,5,19,54
2023-03-03,0.06333707,0.06358107,0.06333707,0.00026803,445,weekly_high_growth_theme,False,risk_on,0.19407151,0.00000000,0.00787564,5,17,48
2023-03-10,-0.01577566,-0.01554925,-0.01577566,0.00026448,445,weekly_high_growth_theme,False,risk_on,0.20613944,0.00000000,-0.00908838,5,19,47
2023-03-17,0.03292619,0.03304359,0.03292619,0.00013497,447,weekly_high_growth_theme,False,risk_on,0.25734656,0.00000000,0.01805276,5,14,45
2023-03-24,-0.05314720,-0.05282133,-0.05314720,0.00038697,447,weekly_high_growth_theme,False,risk_on,0.20733959,0.00000000,0.00490059,5,22,54
2023-03-31,0.00422996,0.00458263,0.00422996,0.00039654,447,weekly_high_growth_theme,False,risk_on,0.18548065,0.00000000,0.00000000,5,17,51
2023-04-06,0.03573954,0.03634606,0.03573954,0.00068485,448,weekly_high_growth_theme,False,risk_on,0.16657148,0.00000000,0.00000000,5,17,47
2023-04-14,0.06369488,0.06406789,0.06369488,0.00043624,448,weekly_high_growth_theme,False,risk_on,0.09531327,0.00000000,-0.00585973,5,24,49
2023-04-21,0.00052412,0.00089230,0.00052412,0.00045801,448,weekly_high_growth_theme,False,risk_on,0.12219484,0.00000000,0.00408178,5,23,50
2023-04-28,0.02409364,0.02433224,0.02409364,0.00029698,448,weekly_high_growth_theme,False,risk_on,0.17135922,0.00000000,-0.01592003,5,23,48
2023-05-05,0.00391037,0.00416733,0.00391037,0.00032754,448,weekly_high_growth_theme,False,risk_on,0.16204860,0.00000000,0.00000000,5,18,55
2023-05-12,-0.03026734,-0.03002077,-0.03026734,0.00031552,448,weekly_high_growth_theme,False,risk_on,0.22146731,0.00000000,-0.00181847,5,27,56
2023-05-19,0.02635557,0.02674215,0.02635557,0.00047971,449,weekly_high_growth_theme,False,risk_on,0.25992386,0.00000000,0.00000000,5,22,51
2023-05-25,-0.03189715,-0.03189715,-0.03189715,0.00000000,449,weekly_high_growth_theme,False,risk_on,0.18221586,0.00000000,0.00000000,5,21,52
2023-06-02,0.01190029,0.01192889,0.01190029,0.00003526,449,weekly_high_growth_theme,False,caution,0.18558619,0.10000000,0.11750485,5,23,50
2023-06-09,0.04866185,0.04878982,0.04866185,0.00015967,449,weekly_high_growth_theme,False,risk_on,0.15422629,0.00000000,0.02159980,5,7,54
2023-06-16,0.00944658,0.00979734,0.00944658,0.00045893,449,weekly_high_growth_theme,False,risk_on,0.08280455,0.00000000,-0.00523297,5,19,49
2023-06-23,0.00207310,0.00231628,0.00207310,0.00032117,449,weekly_high_growth_theme,False,risk_on,0.08509564,0.00000000,0.00000000,5,13,55
2023-06-30,0.03759188,0.03781550,0.03759188,0.00029596,449,weekly_high_growth_theme,False,caution,0.00496723,0.10000000,0.13152549,5,11,51
2023-07-07,-0.02095984,-0.02062895,-0.02095984,0.00045438,449,weekly_high_growth_theme,False,caution,-0.00444392,0.10000000,0.13542974,5,22,53
2023-07-14,0.02072024,0.02118292,0.02072024,0.00062205,449,weekly_high_growth_theme,False,risk_on,0.00879245,0.00000000,0.00000000,5,20,54
2023-07-21,0.00504814,0.00504814,0.00504814,0.00000000,451,weekly_high_growth_theme,False,risk_on,0.09749563,0.00000000,0.00000000,5,27,56
2023-07-28,-0.00404410,-0.00367951,-0.00404410,0.00050285,452,weekly_high_growth_theme,False,risk_on,0.01822843,0.00000000,-0.00113375,5,26,56
2023-08-04,-0.02253064,-0.02230236,-0.02253064,0.00031358,452,weekly_high_growth_theme,False,risk_on,0.07869138,0.00000000,0.00894241,5,29,62
2023-08-11,-0.04284025,-0.04235548,-0.04284025,0.00065090,452,weekly_high_growth_theme,False,risk_on,0.07742024,0.00000000,0.00000000,5,24,54
2023-08-18,-0.05612231,-0.05564136,-0.05612231,0.00061811,452,weekly_high_growth_theme,False,risk_on,0.11075809,0.00000000,0.00000000,5,19,54
2023-08-25,-0.00088400,-0.00052901,-0.00088400,0.00043062,452,weekly_high_growth_theme,False,caution,0.10616300,0.10000000,0.12689929,5,14,55
2023-09-01,0.03037262,0.03058599,0.03037262,0.00025860,453,weekly_high_growth_theme,False,caution,0.15676539,0.10000000,0.11816722,5,19,54
2023-09-22,-0.00238327,-0.00215758,-0.00238327,0.00028185,454,weekly_high_growth_theme,False,caution,0.10046999,0.10000000,0.12731341,5,16,45
