date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count,weekly_overlay_trade_count,weekly_overlay_trading_cost,weekly_overlay_avg_one_way_turnover
2025-01-10,-0.05881682,-0.05851691,-0.05881682,0.00029991,482,weekly_high_growth_theme,False,risk_on,0.34457938,0.00000000,0.00000000,5,12,51,0,0.00000000,0.00000000
2025-01-17,0.04133391,0.04158226,0.04133391,0.00023375,483,weekly_high_growth_theme,False,risk_on,0.37250397,0.00000000,-0.00176842,5,15,54,0,0.00000000,0.00000000
2025-01-24,0.05991302,0.06016373,0.05991302,0.00024572,484,weekly_high_growth_theme,False,risk_on,0.44062777,0.00000000,-0.00000000,5,15,53,0,0.00000000,0.00000000
2025-01-28,-0.03302404,-0.03255199,-0.03302404,0.00049037,484,weekly_high_growth_theme,False,risk_on,0.44007614,0.00000000,0.00000000,5,25,50,0,0.00000000,0.00000000
2025-02-07,0.05417820,0.05453473,0.05417820,0.00035814,484,weekly_high_growth_theme,False,risk_on,0.46281814,0.00000000,-0.00743548,5,13,44,0,0.00000000,0.00000000
2025-02-14,0.05882334,0.05930203,0.05882334,0.00050690,484,weekly_high_growth_theme,False,risk_on,0.39770342,0.00000000,0.00000000,5,24,59,0,0.00000000,0.00000000
2025-02-21,0.03154786,0.03189648,0.03154786,0.00039087,484,weekly_high_growth_theme,False,risk_on,0.38343782,0.00000000,-0.00700083,5,25,53,0,0.00000000,0.00000000
2025-02-28,-0.05678385,-0.05643072,-0.05678385,0.00040843,484,weekly_high_growth_theme,False,risk_on,0.35504533,0.00000000,-0.00041353,5,25,56,0,0.00000000,0.00000000
2025-03-07,0.00178221,0.00214968,0.00178221,0.00040088,484,weekly_high_growth_theme,False,risk_on,0.35142880,0.00000000,0.00000000,5,21,52,0,0.00000000,0.00000000
2025-03-14,0.00029399,0.00054821,0.00029399,0.00027783,484,weekly_high_growth_theme,False,risk_on,0.39417152,0.00000000,-0.00829803,5,25,56,0,0.00000000,0.00000000
2025-03-21,0.01352789,0.01390193,0.01352789,0.00040888,484,weekly_high_growth_theme,False,risk_on,0.43329715,0.00000000,0.00739688,5,28,56,0,0.00000000,0.00000000
2025-03-28,0.01701939,0.01750479,0.01701939,0.00053780,484,weekly_high_growth_theme,False,risk_on,0.49235861,0.00000000,-0.00249145,5,25,52,0,0.00000000,0.00000000
2025-04-03,-0.03172121,-0.03137241,-0.03172121,0.00039303,484,weekly_high_growth_theme,False,risk_on,0.48161478,0.00000000,0.00244150,5,19,46,0,0.00000000,0.00000000
2025-04-11,-0.12874692,-0.12845609,-0.12874692,0.00031731,484,weekly_high_growth_theme,False,risk_on,0.56048248,0.00000000,0.00000000,5,18,52,0,0.00000000,0.00000000
2025-04-17,0.03338335,0.03386831,0.03338335,0.00046100,484,weekly_high_growth_theme,False,risk_on,0.55665028,0.00000000,0.00820113,5,17,56,0,0.00000000,0.00000000
2025-04-25,0.04976414,0.04990055,0.04976414,0.00013400,484,weekly_high_growth_theme,False,risk_on,0.59275846,0.00000000,0.00632355,5,20,56,0,0.00000000,0.00000000
2025-05-02,0.05404505,0.05442018,0.05404505,0.00038685,485,weekly_high_growth_theme,False,risk_on,0.49340473,0.00000000,-0.00759539,5,20,58,0,0.00000000,0.00000000
2025-05-09,-0.02822963,-0.02774837,-0.02822963,0.00052311,485,weekly_high_growth_theme,False,risk_on,0.42167154,0.00000000,0.00000000,5,24,59,0,0.00000000,0.00000000
2025-05-16,0.03553102,0.03602545,0.03553102,0.00052225,485,weekly_high_growth_theme,False,risk_on,0.27568485,0.00000000,0.00000000,5,22,53,0,0.00000000,0.00000000
2025-05-23,0.00792216,0.00804816,0.00792216,0.00013781,486,weekly_high_growth_theme,False,risk_on,0.24678239,0.00000000,-0.01459755,5,24,55,0,0.00000000,0.00000000
2025-05-30,0.14698746,0.14724461,0.14698746,0.00028349,486,weekly_high_growth_theme,False,risk_on,0.34039758,0.00000000,-0.00000000,5,29,52,0,0.00000000,0.00000000
2025-06-06,0.06030282,0.06080177,0.06030282,0.00063094,487,weekly_high_growth_theme,False,risk_on,0.38705230,0.00000000,0.00000000,5,21,55,0,0.00000000,0.00000000
2025-06-13,0.05574358,0.05622305,0.05574358,0.00064287,487,weekly_high_growth_theme,False,risk_on,0.37925318,0.00000000,-0.01232112,5,24,59,0,0.00000000,0.00000000
2025-06-20,-0.01938613,-0.01914179,-0.01938613,0.00034587,488,weekly_high_growth_theme,False,risk_on,0.44059265,0.00000000,-0.00564816,5,28,61,0,0.00000000,0.00000000
2025-06-27,0.04714303,0.04762294,0.04714303,0.00066615,488,weekly_high_growth_theme,False,risk_on,0.48349333,0.00000000,-0.00354093,5,27,57,0,0.00000000,0.00000000
2025-07-04,-0.03035668,-0.02989254,-0.03035668,0.00067463,488,weekly_high_growth_theme,False,risk_on,0.52572583,0.00000000,0.00073163,5,25,55,0,0.00000000,0.00000000
2025-07-11,0.06889467,0.06948897,0.06889467,0.00083760,489,weekly_high_growth_theme,False,risk_on,0.54997948,0.00000000,0.00000000,5,30,55,0,0.00000000,0.00000000
2025-07-18,0.09253823,0.09290634,0.09253823,0.00055455,489,weekly_high_growth_theme,False,risk_on,0.58691904,0.00000000,0.00000000,5,26,57,0,0.00000000,0.00000000
2025-07-25,0.00328832,0.00364501,0.00328832,0.00058708,490,weekly_high_growth_theme,False,risk_on,0.60784743,0.00000000,-0.01580065,5,28,58,0,0.00000000,0.00000000
2025-08-01,0.03339062,0.03389930,0.03339062,0.00083999,490,weekly_high_growth_theme,False,risk_on,0.71678534,0.00000000,0.00784118,5,29,59,0,0.00000000,0.00000000
2025-08-08,0.01024653,0.01084990,0.01024653,0.00102962,490,weekly_high_growth_theme,False,risk_on,0.75279185,0.00000000,0.00000000,5,22,52,0,0.00000000,0.00000000
2025-08-15,0.02929279,0.02989281,0.02929279,0.00103439,491,weekly_high_growth_theme,False,risk_on,0.79176482,0.00000000,0.00000000,5,26,57,0,0.00000000,0.00000000
2025-08-22,0.02226128,0.02287978,0.02226128,0.00109749,491,weekly_high_growth_theme,False,risk_on,0.84799656,0.00000000,0.00000000,5,29,61,0,0.00000000,0.00000000
2025-08-29,-0.01517271,-0.01481763,-0.01517271,0.00064408,492,weekly_high_growth_theme,False,risk_on,0.93148028,0.00000000,-0.02365430,5,31,61,0,0.00000000,0.00000000
2025-09-05,-0.02380608,-0.02343851,-0.02380608,0.00065662,492,weekly_high_growth_theme,False,risk_on,0.83032154,0.00000000,0.00037520,5,16,56,0,0.00000000,0.00000000
2025-09-12,-0.02282214,-0.02232921,-0.02282214,0.00085960,492,weekly_high_growth_theme,False,risk_on,0.92865354,0.00000000,0.01630601,5,24,59,0,0.00000000,0.00000000
2025-09-19,-0.02624503,-0.02564165,-0.02624503,0.00102820,492,weekly_high_growth_theme,False,risk_on,1.03670944,0.00000000,0.00000000,5,25,67,0,0.00000000,0.00000000
2025-09-26,-0.05685945,-0.05626374,-0.05685945,0.00098848,493,weekly_high_growth_theme,False,risk_on,0.97080205,0.00000000,0.00000000,5,24,62,0,0.00000000,0.00000000
2025-10-03,0.17592392,0.17640729,0.17592392,0.00075647,493,weekly_high_growth_theme,False,risk_on,0.69683332,0.00000000,0.00000000,5,28,61,0,0.00000000,0.00000000
2025-10-10,-0.00391616,-0.00367387,-0.00391616,0.00044590,493,weekly_high_growth_theme,False,risk_on,0.48833709,0.00000000,-0.01803566,5,25,62,0,0.00000000,0.00000000
2025-10-17,-0.06750235,-0.06710654,-0.06750235,0.00072555,493,weekly_high_growth_theme,False,risk_on,0.65548785,0.00000000,0.00000000,5,22,65,0,0.00000000,0.00000000
2025-10-24,0.04718673,0.04769010,0.04718673,0.00086045,493,weekly_high_growth_theme,False,risk_on,0.69555794,0.00000000,0.00000000,5,23,62,0,0.00000000,0.00000000
2025-10-31,0.01973386,0.02035396,0.01973386,0.00110999,495,weekly_high_growth_theme,False,risk_on,0.65086596,0.00000000,0.00000000,5,29,62,0,0.00000000,0.00000000
2025-11-07,0.01131477,0.01178689,0.01131477,0.00086178,496,weekly_high_growth_theme,False,risk_on,0.72621188,0.00000000,-0.01086536,5,8,64,0,0.00000000,0.00000000
2025-11-14,0.02956537,0.02991512,0.02956537,0.00064564,497,weekly_high_growth_theme,False,risk_on,0.62882272,0.00000000,0.00701399,5,14,65,0,0.00000000,0.00000000
2025-11-21,-0.09190835,-0.09153239,-0.09190835,0.00071456,497,weekly_high_growth_theme,False,risk_on,0.67325666,0.00000000,-0.01627714,5,16,59,0,0.00000000,0.00000000
2025-11-28,0.04824748,0.04864272,0.04824748,0.00068214,498,weekly_high_growth_theme,False,risk_on,0.79383418,0.00000000,0.00000000,5,9,59,0,0.00000000,0.00000000
2025-12-05,0.04620181,0.04658308,0.04620181,0.00068980,499,weekly_high_growth_theme,False,risk_on,0.74292762,0.00000000,0.00000000,5,10,58,0,0.00000000,0.00000000
2025-12-12,-0.04465942,-0.04420404,-0.04465942,0.00086194,499,weekly_high_growth_theme,False,risk_on,0.69224540,0.00000000,-0.00227237,5,20,59,0,0.00000000,0.00000000
2025-12-19,0.04325029,0.04348711,0.04325029,0.00042822,502,weekly_high_growth_theme,False,risk_on,0.73223953,0.00000000,0.00931069,5,23,61,0,0.00000000,0.00000000
2025-12-24,0.05146771,0.05184927,0.05146771,0.00071979,502,weekly_high_growth_theme,False,risk_on,0.65702501,0.00000000,0.01113218,5,25,60,0,0.00000000,0.00000000
2026-01-02,0.02603221,0.02639977,0.02603221,0.00072907,504,weekly_high_growth_theme,False,risk_on,0.67590946,0.00000000,-0.00221969,5,23,60,0,0.00000000,0.00000000
2026-01-09,0.04739274,0.04775307,0.04739274,0.00073333,508,weekly_high_growth_theme,False,risk_on,0.73629801,0.00000000,0.00000000,5,29,60,0,0.00000000,0.00000000
2026-01-16,0.04517184,0.04552533,0.04517184,0.00075352,509,weekly_high_growth_theme,False,risk_on,0.75584338,0.00000000,0.00617113,5,30,63,0,0.00000000,0.00000000
2026-01-23,0.00118395,0.00153352,0.00118395,0.00077881,510,weekly_high_growth_theme,False,risk_on,0.69519838,0.00000000,0.00569099,5,28,59,0,0.00000000,0.00000000
2026-01-30,-0.02679008,-0.02642917,-0.02679008,0.00080504,510,weekly_high_growth_theme,False,risk_on,0.66632677,0.00000000,0.00177155,5,29,58,0,0.00000000,0.00000000
2026-02-06,-0.03508097,-0.03451828,-0.03508097,0.00122148,510,weekly_high_growth_theme,False,risk_on,0.67713862,0.00000000,0.00000000,5,29,60,0,0.00000000,0.00000000
2026-02-13,0.05639265,0.05689841,0.05639265,0.00105939,510,weekly_high_growth_theme,False,risk_on,0.67924345,0.00000000,0.00000000,5,26,63,0,0.00000000,0.00000000
2026-02-20,-0.00845863,-0.00811721,-0.00845863,0.00075548,511,weekly_high_growth_theme,False,risk_on,0.63291468,0.00000000,0.00957196,5,29,62,0,0.00000000,0.00000000
2026-02-27,0.01767784,0.01803085,0.01767784,0.00077451,511,weekly_high_growth_theme,False,risk_on,0.59892686,0.00000000,0.00000000,5,31,64,0,0.00000000,0.00000000
2026-03-06,-0.04723985,-0.04687685,-0.04723985,0.00081051,511,weekly_high_growth_theme,False,risk_on,0.62534374,0.00000000,0.00000000,5,24,64,0,0.00000000,0.00000000
2026-03-13,0.00686174,0.00733493,0.00686174,0.00100665,512,weekly_high_growth_theme,False,risk_on,1.13813751,0.00000000,0.00092179,5,18,64,0,0.00000000,0.00000000
2026-03-20,0.00297166,0.00330865,0.00297166,0.00072181,513,weekly_high_growth_theme,False,risk_on,1.15427048,0.00000000,-0.01895043,5,20,65,0,0.00000000,0.00000000
2026-03-27,-0.03032869,-0.03021022,-0.03032869,0.00025451,513,weekly_high_growth_theme,False,risk_on,1.15927890,0.00000000,0.00347704,5,19,66,0,0.00000000,0.00000000
2026-04-02,-0.01286051,-0.01251351,-0.01286051,0.00072286,514,weekly_high_growth_theme,False,risk_on,1.17196958,0.00000000,-0.01775176,5,20,66,0,0.00000000,0.00000000
2026-04-10,0.02728499,0.02764223,0.02728499,0.00073461,514,weekly_high_growth_theme,False,risk_on,1.11386156,0.00000000,0.00000000,5,23,67,0,0.00000000,0.00000000
2026-04-17,-0.02375048,-0.02350912,-0.02375048,0.00050986,514,weekly_high_growth_theme,False,risk_on,1.23371941,0.00000000,-0.00079193,5,23,67,0,0.00000000,0.00000000
2026-04-24,0.09675468,0.09735212,0.09675468,0.00123209,516,weekly_high_growth_theme,False,risk_on,1.53469108,0.00000000,0.00000000,5,19,64,0,0.00000000,0.00000000
2026-04-30,0.02224599,0.02261166,0.02224599,0.00082709,516,weekly_high_growth_theme,False,risk_on,1.42193422,0.00000000,0.00125298,5,23,64,0,0.00000000,0.00000000
2026-05-08,-0.05960365,-0.05913072,-0.05960365,0.00109348,516,weekly_high_growth_theme,False,risk_on,1.36815659,0.00000000,-0.00061379,5,25,70,0,0.00000000,0.00000000
