date,portfolio_return,nav,drawdown,trading_cost
2020-12-14,0.00000000,1.00000000,0.00000000,0.00000000
2020-12-18,0.00000000,1.00000000,0.00000000,0.00000000
2020-12-24,0.00000000,1.00000000,0.00000000,0.00000000
2020-12-31,0.00000000,1.00000000,0.00000000,0.00000000
2021-01-08,0.00000000,1.00000000,0.00000000,0.00000000
2021-01-15,0.00000000,1.00000000,0.00000000,0.00000000
2021-01-22,0.00000000,1.00000000,0.00000000,0.00000000
2021-01-29,0.00000000,1.00000000,0.00000000,0.00000000
2021-02-05,0.03634308,1.03634308,0.00000000,0.00029991
2021-02-11,0.03975718,1.07754517,0.00000000,0.00053400
2021-02-19,0.00412461,1.08198962,0.00000000,0.00022830
2021-02-26,-0.04185157,1.03670666,-0.04185157,0.00064614
2021-03-05,0.01393057,1.05114857,-0.02850402,0.00050589
2021-03-12,-0.01526187,1.03510608,-0.04333086,0.00053328
2021-03-19,0.00875776,1.04417128,-0.03495259,0.00054131
2021-03-26,0.00157282,1.04581358,-0.03343474,0.00053836
2021-04-01,-0.00525201,1.04032095,-0.03851116,0.00063574
2021-04-09,-0.00094322,1.03933970,-0.03941805,0.00042606
2021-04-16,0.02779478,1.06822791,-0.01271889,0.00030349
2021-04-23,0.01034158,1.07927508,-0.00250884,0.00031414
2021-04-30,-0.01484013,1.06325849,-0.01731174,0.00022137
2021-05-07,0.04078328,1.10662167,0.00000000,0.00053112
2021-05-14,-0.00308684,1.10320570,-0.00308684,0.00045497
2021-05-21,0.00009251,1.10330777,-0.00299461,0.00041638
2021-05-28,0.08066656,1.19230781,0.00000000,0.00056260
2021-06-04,-0.00801803,1.18274785,-0.00801803,0.00071226
2021-06-11,0.03526584,1.22445844,0.00000000,0.00046843
2021-06-18,-0.02662917,1.19185214,-0.02662917,0.00046278
2021-06-25,0.02180764,1.21784362,-0.00540224,0.00047933
2021-07-02,0.01910956,1.24111608,0.00000000,0.00062723
2021-07-09,-0.03448550,1.19831557,-0.03448550,0.00062025
2021-07-16,0.01142131,1.21200190,-0.02345806,0.00050030
2021-07-23,-0.03009654,1.17552484,-0.05284859,0.00036587
2021-07-30,-0.03166967,1.13829636,-0.08284456,0.00066891
2021-08-06,0.01153833,1.15143039,-0.07226213,0.00058481
2021-08-13,0.01430686,1.16790375,-0.05898911,0.00058018
2021-08-20,-0.06765722,1.08888662,-0.12265529,0.00057672
2021-08-27,0.00492625,1.09425075,-0.11833327,0.00058374
2021-09-03,0.06006663,1.15997871,-0.06537452,0.00067757
2021-09-10,0.02275644,1.18637570,-0.04410577,0.00035938
2021-09-17,-0.01563567,1.16782592,-0.05905181,0.00035527
2021-09-24,-0.05265333,1.10633600,-0.10859587,0.00054842
2021-09-30,0.02565842,1.13472284,-0.08572385,0.00053953
2021-10-08,-0.06871527,1.05675005,-0.14854858,0.00046678
2021-10-15,-0.02795674,1.02720676,-0.17235239,0.00053243
2021-10-22,0.03808006,1.06632286,-0.14083551,0.00042250
2021-10-29,-0.00811621,1.05766836,-0.14780867,0.00021393
2021-11-05,-0.02489990,1.03133252,-0.16902815,0.00063841
2021-11-12,0.02355688,1.05562750,-0.14945305,0.00061241
2021-11-19,0.02023348,1.07698652,-0.13224352,0.00042450
2021-11-26,-0.01838101,1.05719042,-0.14819376,0.00033144
2021-12-03,0.00728898,1.06489626,-0.14198496,0.00052478
2021-12-10,-0.00915306,1.05514920,-0.14983843,0.00052602
2021-12-17,0.00246781,1.05775310,-0.14774039,0.00043160
2021-12-24,0.00553649,1.06360934,-0.14302187,0.00051625
2021-12-31,0.01252627,1.07693239,-0.13228713,0.00032252
2022-01-07,0.02565053,1.10455628,-0.11002983,0.00050624
2022-01-14,0.03552713,1.14379800,-0.07841174,0.00047808
2022-01-21,0.01000989,1.15524729,-0.06918675,0.00028628
2022-01-28,-0.01421342,1.13882727,-0.08241679,0.00025022
2022-02-04,0.02200652,1.16388890,-0.06222397,0.00035639
2022-02-11,0.02822835,1.19674356,-0.03575211,0.00030587
2022-02-18,-0.01150311,1.18297729,-0.04684396,0.00020410
2022-02-25,-0.04811810,1.12605468,-0.09270801,0.00040319
2022-03-04,0.02121509,1.14994403,-0.07345973,0.00040687
2022-03-11,-0.07088562,1.06842953,-0.13913811,0.00039521
2022-03-18,-0.01872749,1.04842053,-0.15525989,0.00026423
2022-03-25,-0.02460416,1.02262502,-0.17604402,0.00024952
2022-04-01,0.00747424,1.03026836,-0.16988558,0.00043617
2022-04-08,0.00485688,1.03527224,-0.16585381,0.00039626
2022-04-14,0.01037035,1.04600838,-0.15720343,0.00018272
2022-04-22,-0.03646316,1.00786761,-0.18793445,0.00025661
2022-04-29,-0.02020461,0.98750404,-0.20434192,0.00034398
2022-05-06,-0.00795237,0.97965104,-0.21066928,0.00018475
2022-05-13,-0.00314840,0.97656671,-0.21315441,0.00018349
2022-05-20,0.02241317,0.99845467,-0.19551870,0.00016722
2022-05-27,0.02362041,1.02203858,-0.17651652,0.00023581
2022-06-02,0.00878584,1.03101805,-0.16928153,0.00025517
2022-06-10,-0.00831017,1.02245011,-0.17618494,0.00020172
2022-06-17,-0.02964183,0.99214282,-0.20060433,0.00029896
2022-06-24,-0.00730152,0.98489867,-0.20644113,0.00017944
2022-06-30,0.03880904,1.02312164,-0.17564388,0.00030415
2022-07-08,0.00067743,1.02381474,-0.17508543,0.00052835
2022-07-15,-0.04677260,0.97592825,-0.21366883,0.00042076
2022-07-22,0.00630373,0.98208024,-0.20871201,0.00037325
2022-07-29,0.01073046,0.99261841,-0.20022113,0.00031023
2022-08-05,-0.01128883,0.98141291,-0.20924970,0.00023240
2022-08-12,0.00408087,0.98541793,-0.20602275,0.00020227
2022-08-19,-0.02100329,0.96472091,-0.22269888,0.00028979
2022-08-26,0.02221336,0.98615060,-0.20543242,0.00023727
2022-09-02,-0.02273689,0.96372860,-0.22349841,0.00028660
2022-09-09,0.04962309,1.01155180,-0.18496600,0.00036683
2022-09-16,-0.01118067,1.00024197,-0.19407863,0.00030797
2022-09-23,-0.01807117,0.98216643,-0.20864257,0.00024586
2022-09-30,-0.03098395,0.95173503,-0.23316195,0.00023306
2022-10-07,-0.00011517,0.95162542,-0.23325027,0.00016505
2022-10-14,-0.03508191,0.91824058,-0.26014931,0.00029019
2022-10-21,-0.01026299,0.90881669,-0.26774240,0.00022474
2022-10-28,-0.04422689,0.86862255,-0.30012787,0.00009448
2022-11-04,0.03165503,0.89611882,-0.27797340,0.00014854
2022-11-11,-0.01197417,0.88538855,-0.28661907,0.00017595
2022-11-18,-0.00174285,0.88384545,-0.28786238,0.00031778
2022-11-25,0.00929127,0.89205750,-0.28124572,0.00027420
2022-12-02,0.01622939,0.90653505,-0.26958077,0.00030660
2022-12-09,0.04656364,0.94874661,-0.23556980,0.00038989
2022-12-16,0.01044882,0.95865990,-0.22758240,0.00015550
2022-12-23,0.01743172,0.97537099,-0.21411784,0.00048358
2022-12-30,0.00385029,0.97912645,-0.21109196,0.00026118
2023-01-06,0.02532384,1.00392170,-0.19111378,0.00041551
2023-01-13,0.02281557,1.02682674,-0.17265858,0.00037554
2023-01-20,0.04272352,1.07069639,-0.13731164,0.00051214
2023-01-27,0.01560798,1.08740780,-0.12384682,0.00013323
2023-02-03,-0.00260516,1.08457493,-0.12612934,0.00013508
2023-02-10,-0.01599803,1.06722387,-0.14010954,0.00022480
2023-02-17,0.01615325,1.08446301,-0.12621952,0.00021011
2023-02-24,0.00257999,1.08726091,-0.12396517,0.00023502
2023-03-03,0.05017653,1.14181589,-0.08000879,0.00032819
2023-03-10,-0.01462211,1.12512013,-0.09346100,0.00032612
2023-03-17,0.02545521,1.15376031,-0.07038485,0.00011292
2023-03-24,-0.05496859,1.09033972,-0.12148449,0.00041723
2023-03-31,-0.00054377,1.08974683,-0.12196220,0.00042072
2023-04-06,0.03713634,1.13021604,-0.08935509,0.00056028
2023-04-14,0.05115778,1.18803538,-0.04276852,0.00045812
2023-04-21,-0.00430654,1.18291906,-0.04689088,0.00048059
2023-04-28,0.02070608,1.20741268,-0.02715572,0.00034961
2023-05-05,-0.01443540,1.18998320,-0.04119911,0.00025915
2023-05-12,-0.03724227,1.14566552,-0.07690704,0.00035253
