date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count,weekly_overlay_trade_count,weekly_overlay_trading_cost,weekly_overlay_avg_one_way_turnover
2023-01-13,0.01468734,0.01498725,0.01468734,0.00029991,443,weekly_high_growth_theme_balanced,False,risk_on,0.05526806,0.00000000,0.00000000,6,28,74,0,0.00000000,0.00000000
2023-01-20,0.04269194,0.04319076,0.04269194,0.00050615,443,weekly_high_growth_theme_balanced,False,risk_on,0.01276661,0.00000000,0.00191327,6,28,67,0,0.00000000,0.00000000
2023-01-27,0.01560577,0.01573013,0.01560577,0.00013157,444,weekly_high_growth_theme_balanced,False,caution,-0.01705734,0.15000000,0.15982164,6,30,70,0,0.00000000,0.00000000
2023-02-03,-0.00260516,-0.00248093,-0.00260516,0.00013348,444,weekly_high_growth_theme_balanced,False,risk_on,0.07716415,0.00000000,0.00000000,6,28,73,0,0.00000000,0.00000000
2023-02-10,-0.01599803,-0.01579075,-0.01599803,0.00022214,444,weekly_high_growth_theme_balanced,False,risk_on,0.09411154,0.00000000,0.00000000,6,20,63,0,0.00000000,0.00000000
2023-02-17,0.01615325,0.01635013,0.01615325,0.00020762,444,weekly_high_growth_theme_balanced,False,risk_on,0.10329230,0.00000000,-0.01200738,6,22,66,0,0.00000000,0.00000000
2023-02-24,0.00257999,0.00279671,0.00257999,0.00023223,444,weekly_high_growth_theme_balanced,False,risk_on,0.12461795,0.00000000,0.00000000,6,22,66,0,0.00000000,0.00000000
2023-03-03,0.05017653,0.05047838,0.05017653,0.00032430,445,weekly_high_growth_theme_balanced,False,risk_on,0.19407151,0.00000000,0.00000000,6,18,62,0,0.00000000,0.00000000
2023-03-10,-0.01462211,-0.01433650,-0.01462211,0.00032225,445,weekly_high_growth_theme_balanced,False,risk_on,0.20613944,0.00000000,-0.02082901,6,19,63,0,0.00000000,0.00000000
2023-03-17,0.02545521,0.02555558,0.02545521,0.00011158,447,weekly_high_growth_theme_balanced,False,risk_on,0.25734656,0.00000000,-0.00478457,6,15,62,0,0.00000000,0.00000000
2023-03-24,-0.05496859,-0.05460697,-0.05496859,0.00041229,447,weekly_high_growth_theme_balanced,False,risk_on,0.20733959,0.00000000,0.00554074,6,24,68,0,0.00000000,0.00000000
2023-03-31,-0.00054377,-0.00015791,-0.00054377,0.00041573,447,weekly_high_growth_theme_balanced,False,risk_on,0.18548065,0.00000000,-0.00634091,6,18,67,0,0.00000000,0.00000000
2023-04-06,0.03713634,0.03765048,0.03713634,0.00055364,448,weekly_high_growth_theme_balanced,False,risk_on,0.16657148,0.00000000,0.00000000,6,19,60,0,0.00000000,0.00000000
2023-04-14,0.05115778,0.05156311,0.05115778,0.00045269,448,weekly_high_growth_theme_balanced,False,risk_on,0.09531327,0.00000000,-0.00606140,6,26,64,0,0.00000000,0.00000000
2023-04-21,-0.00430654,-0.00390201,-0.00430654,0.00047490,448,weekly_high_growth_theme_balanced,False,risk_on,0.12219484,0.00000000,-0.00012232,6,26,66,0,0.00000000,0.00000000
2023-04-28,0.02070608,0.02100163,0.02070608,0.00034547,448,weekly_high_growth_theme_balanced,False,risk_on,0.17135922,0.00000000,-0.01131421,6,27,67,0,0.00000000,0.00000000
2023-05-05,-0.01443540,-0.01422076,-0.01443540,0.00025608,448,weekly_high_growth_theme_balanced,False,risk_on,0.16204860,0.00000000,-0.00065862,6,20,72,0,0.00000000,0.00000000
2023-05-12,-0.03724227,-0.03694603,-0.03724227,0.00034835,448,weekly_high_growth_theme_balanced,False,risk_on,0.22146731,0.00000000,-0.00676160,6,30,73,0,0.00000000,0.00000000
2023-05-19,0.02560154,0.02602277,0.02560154,0.00047687,449,weekly_high_growth_theme_balanced,False,risk_on,0.25992386,0.00000000,0.00000000,6,25,72,0,0.00000000,0.00000000
2023-05-25,-0.02921530,-0.02921530,-0.02921530,0.00000000,449,weekly_high_growth_theme_balanced,False,risk_on,0.18221586,0.00000000,0.00000000,6,24,74,0,0.00000000,0.00000000
