date,ts_code,name,weight
2023-01-13,01929.HK,周大福,0.17514237
2023-01-13,03988.HK,中国银行,0.17213155
2023-01-13,01288.HK,农业银行,0.17143654
2023-01-13,02883.HK,中海油田服务,0.16832846
2023-01-13,00762.HK,中国联通,0.16768854
2023-01-13,01876.HK,百威亚太,0.14527255
2023-01-20,00728.HK,中国电信,0.17750781
2023-01-20,00941.HK,中国移动,0.17575012
2023-01-20,00386.HK,中国石油化工股份,0.17104384
2023-01-20,00762.HK,中国联通,0.16636832
2023-01-20,00883.HK,中国海洋石油,0.16286274
2023-01-20,02628.HK,中国人寿,0.14465879
2023-01-20,CASH,现金,0.00180838
2023-01-27,CASH,现金,0.14873808
2023-01-27,00941.HK,中国移动,0.14845196
2023-01-27,00728.HK,中国电信,0.14600380
2023-01-27,00762.HK,中国联通,0.14304473
2023-01-27,00386.HK,中国石油化工股份,0.14236365
2023-01-27,00883.HK,中国海洋石油,0.14039714
2023-01-27,00016.HK,新鸿基地产,0.13100064
2023-02-03,00728.HK,中国电信,0.17321954
2023-02-03,00762.HK,中国联通,0.17231887
2023-02-03,00941.HK,中国移动,0.17219209
2023-02-03,00386.HK,中国石油化工股份,0.16434609
2023-02-03,00883.HK,中国海洋石油,0.16132271
2023-02-03,01928.HK,金沙中国有限公司,0.15660070
2023-02-10,00941.HK,中国移动,0.19857902
2023-02-10,00728.HK,中国电信,0.18450684
2023-02-10,00762.HK,中国联通,0.16457890
2023-02-10,01766.HK,中国中车,0.16043962
2023-02-10,09995.HK,荣昌生物,0.14608486
2023-02-10,00883.HK,中国海洋石油,0.14581075
2023-02-17,00941.HK,中国移动,0.19679210
2023-02-17,00762.HK,中国联通,0.18490828
2023-02-17,00005.HK,汇丰控股,0.16782277
2023-02-17,00728.HK,中国电信,0.15901475
2023-02-17,01766.HK,中国中车,0.15837204
2023-02-17,01910.HK,新秀丽,0.14429509
2023-02-24,00005.HK,汇丰控股,0.18558753
2023-02-24,00728.HK,中国电信,0.16789947
2023-02-24,01099.HK,国药控股,0.16731103
2023-02-24,03320.HK,华润医药,0.16053898
2023-02-24,00941.HK,中国移动,0.16038935
2023-02-24,00762.HK,中国联通,0.15827365
2023-03-03,00728.HK,中国电信,0.18666487
2023-03-03,00941.HK,中国移动,0.18612150
2023-03-03,00762.HK,中国联通,0.18385322
2023-03-03,00883.HK,中国海洋石油,0.16615287
2023-03-03,00857.HK,中国石油股份,0.15157743
2023-03-03,00016.HK,新鸿基地产,0.12563012
2023-03-10,00728.HK,中国电信,0.18894657
2023-03-10,00941.HK,中国移动,0.18888337
2023-03-10,00386.HK,中国石油化工股份,0.16691628
2023-03-10,00005.HK,汇丰控股,0.16221212
2023-03-10,00762.HK,中国联通,0.15691028
2023-03-10,01766.HK,中国中车,0.15486616
2023-03-17,00941.HK,中国移动,0.19592092
2023-03-17,00728.HK,中国电信,0.18949355
2023-03-17,00386.HK,中国石油化工股份,0.17569775
2023-03-17,00762.HK,中国联通,0.15417886
2023-03-17,00857.HK,中国石油股份,0.15252137
2023-03-17,00005.HK,汇丰控股,0.13638424
2023-03-24,00941.HK,中国移动,0.19661639
2023-03-24,00386.HK,中国石油化工股份,0.17822424
2023-03-24,00763.HK,中兴通讯,0.16273838
2023-03-24,01099.HK,国药控股,0.15452308
2023-03-24,01800.HK,中国交通建设,0.15335567
2023-03-24,03988.HK,中国银行,0.14939962
2023-03-24,CASH,现金,0.00514262
2023-03-31,01997.HK,九龙仓置业,0.19072901
2023-03-31,00728.HK,中国电信,0.17660226
2023-03-31,00386.HK,中国石油化工股份,0.17618306
2023-03-31,00941.HK,中国移动,0.16881446
2023-03-31,00998.HK,中信银行,0.15403488
2023-03-31,00992.HK,联想集团,0.13952484
2023-04-06,01766.HK,中国中车,0.18723484
2023-04-06,00857.HK,中国石油股份,0.18535187
2023-04-06,02899.HK,紫金矿业,0.16154448
2023-04-06,01585.HK,雅迪控股,0.15949751
2023-04-06,00728.HK,中国电信,0.15626407
2023-04-06,02282.HK,美高梅中国,0.15010723
2023-04-14,00941.HK,中国移动,0.18962694
2023-04-14,00981.HK,中芯国际,0.17793339
2023-04-14,01766.HK,中国中车,0.17024448
2023-04-14,02899.HK,紫金矿业,0.16523218
2023-04-14,01099.HK,国药控股,0.15727004
2023-04-14,01997.HK,九龙仓置业,0.14485620
