date,ts_code,name,weight
2020-01-10,03690.HK,美团-W,0.22765720
2020-01-10,02269.HK,药明生物,0.21506966
2020-01-10,01833.HK,平安好医生,0.18940613
2020-01-10,01313.HK,华润建材科技,0.18458997
2020-01-10,02883.HK,中海油田服务,0.18327704
2020-01-17,00968.HK,信义光能,0.21493131
2020-01-17,06098.HK,碧桂园服务,0.20145783
2020-01-17,02628.HK,中国人寿,0.19701781
2020-01-17,00586.HK,海螺创业,0.19565230
2020-01-17,01833.HK,平安好医生,0.19516976
2020-01-24,02269.HK,药明生物,0.22696780
2020-01-24,00981.HK,中芯国际,0.21715919
2020-01-24,00968.HK,信义光能,0.20127081
2020-01-24,03323.HK,中国建材,0.18139806
2020-01-24,01177.HK,中国生物制药,0.17320415
2020-01-31,00981.HK,中芯国际,0.21158672
2020-01-31,02269.HK,药明生物,0.20135015
2020-01-31,01193.HK,华润燃气,0.20095789
2020-01-31,00968.HK,信义光能,0.20088277
2020-01-31,00241.HK,阿里健康,0.20072179
2020-02-07,00968.HK,信义光能,0.20984548
2020-02-07,00981.HK,中芯国际,0.20367368
2020-02-07,02128.HK,中国联塑,0.16863376
2020-02-07,01833.HK,平安好医生,0.16364986
2020-02-07,02269.HK,药明生物,0.15454658
2020-02-07,CASH,现金,0.09965064
2020-02-14,00968.HK,信义光能,0.21606450
2020-02-14,02269.HK,药明生物,0.20919676
2020-02-14,00981.HK,中芯国际,0.20861293
2020-02-14,00241.HK,阿里健康,0.20464244
2020-02-14,01093.HK,石药集团,0.17029089
2020-02-21,02269.HK,药明生物,0.21325667
2020-02-21,00960.HK,龙湖集团,0.21233186
2020-02-21,00968.HK,信义光能,0.20515695
2020-02-21,06098.HK,碧桂园服务,0.20325061
2020-02-21,01772.HK,赣锋锂业,0.16700057
2020-02-28,06098.HK,碧桂园服务,0.23040017
2020-02-28,06066.HK,中信建投证券,0.20226976
2020-02-28,00241.HK,阿里健康,0.19915041
2020-02-28,03690.HK,美团-W,0.19009368
2020-02-28,06808.HK,高鑫零售,0.17808598
2020-03-06,00960.HK,龙湖集团,0.19053921
2020-03-06,03690.HK,美团-W,0.18778409
2020-03-06,00241.HK,阿里健康,0.17957629
2020-03-06,00981.HK,中芯国际,0.17443657
2020-03-06,02269.HK,药明生物,0.16840674
2020-03-06,CASH,现金,0.09925710
2020-03-13,02269.HK,药明生物,0.22638718
2020-03-13,06098.HK,碧桂园服务,0.20891107
2020-03-13,00241.HK,阿里健康,0.19881009
2020-03-13,06808.HK,高鑫零售,0.19134166
2020-03-13,02359.HK,药明康德,0.17454999
2020-03-20,00960.HK,龙湖集团,0.20596153
2020-03-20,00241.HK,阿里健康,0.18541898
2020-03-20,00586.HK,海螺创业,0.18336231
2020-03-20,02269.HK,药明生物,0.17150074
2020-03-20,00763.HK,中兴通讯,0.15168486
2020-03-20,CASH,现金,0.10207158
2020-03-27,00960.HK,龙湖集团,0.21726649
2020-03-27,00586.HK,海螺创业,0.20435422
2020-03-27,00241.HK,阿里健康,0.18875232
2020-03-27,06808.HK,高鑫零售,0.15176646
2020-03-27,00914.HK,海螺水泥,0.14178229
2020-03-27,CASH,现金,0.09607822
2020-04-03,CASH,现金,0.33582885
2020-04-03,06808.HK,高鑫零售,0.15431643
2020-04-03,01193.HK,华润燃气,0.15217091
2020-04-03,01579.HK,颐海国际,0.12221139
2020-04-03,00586.HK,海螺创业,0.11826357
2020-04-03,00960.HK,龙湖集团,0.11720885
2020-04-09,CASH,现金,0.34581577
2020-04-09,00960.HK,龙湖集团,0.16876758
2020-04-09,01044.HK,恒安国际,0.14339321
2020-04-09,01833.HK,平安好医生,0.13418911
2020-04-09,01988.HK,民生银行,0.10439864
2020-04-09,06808.HK,高鑫零售,0.10343568
2020-04-17,CASH,现金,0.34714825
2020-04-17,06808.HK,高鑫零售,0.13709342
2020-04-17,00700.HK,腾讯控股,0.13543585
2020-04-17,00241.HK,阿里健康,0.13169846
