date,portfolio_return,nav,drawdown,trading_cost
2025-01-06,0.00000000,1.00000000,0.00000000,0.00000000
2025-01-10,-0.05881682,0.94118318,-0.05881682,0.00029991
2025-01-17,0.04133391,0.98008597,-0.01991403,0.00023375
2025-01-24,0.05991302,1.03880588,0.00000000,0.00024572
2025-01-28,-0.03302404,1.00450031,-0.03302404,0.00049037
2025-02-07,0.05378125,1.05852359,0.00000000,0.00035815
2025-02-14,0.05877489,1.12073820,0.00000000,0.00050670
2025-02-21,0.03154786,1.15609510,0.00000000,0.00039071
2025-02-28,-0.05678385,1.09044756,-0.05678385,0.00040826
2025-03-07,0.00172354,1.09232699,-0.05515819,0.00040130
2025-03-14,0.00034142,1.09269993,-0.05483560,0.00027827
2025-03-21,0.01351790,1.10747093,-0.04205897,0.00040861
2025-03-28,0.01701943,1.12631945,-0.02575536,0.00053756
2025-04-03,-0.03172121,1.09059123,-0.05665958,0.00039286
2025-04-11,-0.12874692,0.95018097,-0.17811176,0.00031717
2025-04-17,0.03338335,0.98190120,-0.15067437,0.00046079
2025-04-25,0.04976414,1.03076466,-0.10840841,0.00013394
2025-05-02,0.05404505,1.08647239,-0.06022230,0.00038667
2025-05-09,-0.02822963,1.05580168,-0.08675188,0.00052288
2025-05-16,0.03553102,1.09331538,-0.05430324,0.00052202
2025-05-23,0.00792216,1.10197681,-0.04681128,0.00013775
2025-05-30,0.14698746,1.26395358,0.00000000,0.00028337
2025-06-06,0.06030282,1.34017354,0.00000000,0.00063066
2025-06-13,0.05574358,1.41487961,0.00000000,0.00064258
2025-06-20,-0.01938613,1.38745057,-0.01938613,0.00034572
2025-06-27,0.04714303,1.45285919,0.00000000,0.00066585
2025-07-04,-0.03035668,1.40875520,-0.03035668,0.00067433
2025-07-11,0.06889467,1.50581093,0.00000000,0.00083723
2025-07-18,0.09253823,1.64515600,0.00000000,0.00055431
2025-07-25,0.00328832,1.65056579,0.00000000,0.00058682
2025-08-01,0.03339062,1.70567920,0.00000000,0.00083961
2025-08-08,0.01024653,1.72315649,0.00000000,0.00102916
2025-08-15,0.02929279,1.77363254,0.00000000,0.00103393
2025-08-22,0.02234574,1.81326566,0.00000000,0.00109701
2025-08-29,-0.01511012,1.78586700,-0.01511012,0.00064338
2025-09-05,-0.02380472,1.74335493,-0.03855515,0.00065667
2025-09-12,-0.02282577,1.70356152,-0.06050086,0.00085962
2025-09-19,-0.02624471,1.65885204,-0.08515775,0.00102790
2025-09-26,-0.05685945,1.56453063,-0.13717517,0.00098819
2025-10-03,0.17592392,1.83976899,0.00000000,0.00075625
2025-10-10,-0.00391616,1.83256416,-0.00391616,0.00044576
2025-10-17,-0.06750235,1.70886178,-0.07115416,0.00072533
2025-10-24,0.04718673,1.78949737,-0.02732496,0.00086019
2025-10-31,0.01973386,1.82481106,-0.00813033,0.00110966
2025-11-07,0.01144577,1.84569743,0.00000000,0.00086272
2025-11-14,0.02967458,1.90046772,0.00000000,0.00064683
2025-11-21,-0.09190645,1.72580249,-0.09190645,0.00071448
2025-11-28,0.04824749,1.80906812,-0.04809321,0.00068210
2025-12-05,0.04620181,1.89265034,-0.00411340,0.00068975
2025-12-12,-0.04465942,1.80812567,-0.04858912,0.00086189
2025-12-19,0.04325029,1.88632763,-0.00744032,0.00042819
2025-12-24,0.05146771,1.98341259,0.00000000,0.00071975
2026-01-02,0.02603221,2.03504520,0.00000000,0.00072902
2026-01-09,0.04739274,2.13149157,0.00000000,0.00073329
2026-01-16,0.04517184,2.22777496,0.00000000,0.00075347
2026-01-23,0.00118395,2.23041254,0.00000000,0.00077876
2026-01-30,-0.02679008,2.17065960,-0.02679008,0.00080499
2026-02-06,-0.03508097,2.09451075,-0.06093123,0.00122140
2026-02-13,0.05639265,2.21262576,-0.00797466,0.00105932
2026-02-20,-0.00845863,2.19390998,-0.01636584,0.00075544
2026-02-27,0.01767784,2.23269357,0.00000000,0.00077446
2026-03-06,-0.04723985,2.12722146,-0.04723985,0.00081046
2026-03-13,0.00686174,2.14181790,-0.04070226,0.00100659
2026-03-20,0.00297166,2.14818265,-0.03785155,0.00072177
2026-03-27,-0.03032869,2.08303109,-0.06703225,0.00025449
2026-04-02,-0.01286051,2.05624225,-0.07903069,0.00072282
2026-04-10,0.02728499,2.11234680,-0.05390206,0.00073457
2026-04-17,-0.02375048,2.06217755,-0.07637234,0.00050983
2026-04-24,0.09675468,2.26170289,0.00000000,0.00123201
2026-04-30,0.02224599,2.31201671,0.00000000,0.00082704
2026-05-08,-0.05960365,2.17421208,-0.05960365,0.00109341
