date,portfolio_return,nav,drawdown,trading_cost
2017-01-09,0.00000000,1.00000000,0.00000000,0.00000000
2017-01-13,0.02479357,1.02479357,0.00000000,0.00029991
2017-01-20,0.02255522,1.04790801,0.00000000,0.00038116
2017-01-27,0.00445282,1.05257416,0.00000000,0.00034897
2017-02-03,-0.02157030,1.02986982,-0.02157030,0.00049068
2017-02-10,0.00053223,1.03041795,-0.02104955,0.00062139
2017-02-17,0.01968555,1.05070230,-0.00177837,0.00063096
2017-02-24,-0.00318909,1.04735151,-0.00496179,0.00024923
2017-03-03,-0.00670343,1.04033067,-0.01163195,0.00052417
2017-03-10,0.04761402,1.08986500,0.00000000,0.00039879
2017-03-17,-0.00115381,1.08860751,-0.00115381,0.00024204
2017-03-24,-0.00750459,1.08043795,-0.00864974,0.00064171
2017-03-31,0.01074949,1.09205211,0.00000000,0.00024587
2017-04-07,0.02038921,1.11431818,0.00000000,0.00053012
2017-04-13,0.00838221,1.12365864,0.00000000,0.00029774
2017-04-21,-0.00765991,1.11505152,-0.00765991,0.00027829
2017-04-28,0.02302424,1.14072474,0.00000000,0.00066176
2017-05-05,-0.00302517,1.13727385,-0.00302517,0.00026270
2017-05-12,0.00762067,1.14594064,0.00000000,0.00031636
2017-05-19,0.00700063,1.15396295,0.00000000,0.00040310
2017-05-26,0.02050459,1.17762449,0.00000000,0.00041911
2017-06-02,0.03002150,1.21297854,0.00000000,0.00042123
2017-06-09,0.01404755,1.23001791,0.00000000,0.00057872
2017-06-16,-0.04616283,1.17323681,-0.04616283,0.00057444
2017-06-23,0.02771198,1.20574953,-0.01973011,0.00042799
2017-06-30,0.03320907,1.24579135,0.00000000,0.00057279
2017-07-07,-0.00599363,1.23832454,-0.00599363,0.00061221
2017-07-14,0.12671134,1.39523430,0.00000000,0.00052153
2017-07-21,0.02579002,1.43121743,0.00000000,0.00043579
2017-07-28,0.02406687,1.46566234,0.00000000,0.00057691
2017-08-04,0.00998838,1.48030194,0.00000000,0.00074393
2017-08-11,-0.06144877,1.38933921,-0.06144877,0.00087962
2017-08-18,0.01230830,1.40643961,-0.04989680,0.00069424
2017-08-25,0.04606300,1.47122443,-0.00613220,0.00020328
2017-09-01,-0.01928300,1.44285481,-0.02529695,0.00087807
2017-09-08,0.00325173,1.44754659,-0.02212748,0.00066173
