date,ts_code,name,weight
2025-01-10,01810.HK,小米集团-W,0.25046722
2025-01-10,01288.HK,农业银行,0.19783870
2025-01-10,06969.HK,思摩尔国际,0.18897988
2025-01-10,09992.HK,泡泡玛特,0.18467218
2025-01-10,00175.HK,吉利汽车,0.17804201
2025-01-17,00005.HK,汇丰控股,0.23385546
2025-01-17,01810.HK,小米集团-W,0.21959277
2025-01-17,00981.HK,中芯国际,0.19679166
2025-01-17,09992.HK,泡泡玛特,0.18212373
2025-01-17,01288.HK,农业银行,0.16944072
2025-01-24,00981.HK,中芯国际,0.21227780
2025-01-24,00763.HK,中兴通讯,0.20481301
2025-01-24,01988.HK,民生银行,0.20319638
2025-01-24,00005.HK,汇丰控股,0.20039015
2025-01-24,01810.HK,小米集团-W,0.17932266
2025-01-28,01810.HK,小米集团-W,0.21219382
2025-01-28,01398.HK,工商银行,0.19857539
2025-01-28,00998.HK,中信银行,0.19825505
2025-01-28,00939.HK,建设银行,0.19692481
2025-01-28,02328.HK,中国财险,0.19405093
2025-02-07,01810.HK,小米集团-W,0.24445487
2025-02-07,09992.HK,泡泡玛特,0.22050076
2025-02-07,00998.HK,中信银行,0.18772773
2025-02-07,03888.HK,金山软件,0.18010435
2025-02-07,03988.HK,中国银行,0.17423404
2025-02-14,01810.HK,小米集团-W,0.21274283
2025-02-14,01211.HK,比亚迪股份,0.21216355
2025-02-14,00285.HK,比亚迪电子,0.19615128
2025-02-14,00175.HK,吉利汽车,0.19443097
2025-02-14,01398.HK,工商银行,0.18451137
2025-02-21,01810.HK,小米集团-W,0.23853305
2025-02-21,01211.HK,比亚迪股份,0.20610286
2025-02-21,09992.HK,泡泡玛特,0.18996602
2025-02-21,03690.HK,美团-W,0.18681749
2025-02-21,03888.HK,金山软件,0.18463360
2025-02-28,01810.HK,小米集团-W,0.22866225
2025-02-28,00981.HK,中芯国际,0.20999856
2025-02-28,01211.HK,比亚迪股份,0.20692811
2025-02-28,00762.HK,中国联通,0.18278905
2025-02-28,00763.HK,中兴通讯,0.17200111
2025-03-07,00005.HK,汇丰控股,0.23084922
2025-03-07,03988.HK,中国银行,0.22106062
2025-03-07,01810.HK,小米集团-W,0.19944955
2025-03-07,09992.HK,泡泡玛特,0.17459847
2025-03-07,00981.HK,中芯国际,0.17404214
2025-03-14,09992.HK,泡泡玛特,0.22401598
2025-03-14,03988.HK,中国银行,0.19769167
2025-03-14,01810.HK,小米集团-W,0.19755412
2025-03-14,03690.HK,美团-W,0.19727250
2025-03-14,00268.HK,金蝶国际,0.18984490
2025-03-21,01288.HK,农业银行,0.20819433
2025-03-21,03968.HK,招商银行,0.20183223
2025-03-21,09992.HK,泡泡玛特,0.19966345
2025-03-21,03988.HK,中国银行,0.19506142
2025-03-21,00998.HK,中信银行,0.18858541
2025-03-21,CASH,现金,0.00666316
2025-03-28,09992.HK,泡泡玛特,0.22395049
2025-03-28,03618.HK,重庆农村商业银行,0.19764216
2025-03-28,00981.HK,中芯国际,0.19566490
2025-03-28,01810.HK,小米集团-W,0.19288942
2025-03-28,01211.HK,比亚迪股份,0.19206407
2025-04-03,09992.HK,泡泡玛特,0.23349362
2025-04-03,01530.HK,三生制药,0.21324208
2025-04-03,01378.HK,中国宏桥,0.20321396
2025-04-03,01810.HK,小米集团-W,0.17911210
2025-04-03,02268.HK,药明合联,0.16870053
2025-04-03,CASH,现金,0.00223770
2025-04-11,01530.HK,三生制药,0.21691122
2025-04-11,02328.HK,中国财险,0.21584114
2025-04-11,01810.HK,小米集团-W,0.21054078
2025-04-11,03618.HK,重庆农村商业银行,0.19079459
2025-04-11,00288.HK,万洲国际,0.16591228
2025-04-17,00322.HK,康师傅控股,0.22482404
2025-04-17,01818.HK,招金矿业,0.21423953
2025-04-17,01810.HK,小米集团-W,0.19314944
2025-04-17,09992.HK,泡泡玛特,0.19219623
2025-04-17,00998.HK,中信银行,0.16724217
2025-04-17,CASH,现金,0.00834859
2025-04-25,09992.HK,泡泡玛特,0.22213660
2025-04-25,00322.HK,康师傅控股,0.21478882
2025-04-25,01810.HK,小米集团-W,0.20921274
2025-04-25,03988.HK,中国银行,0.18815323
2025-04-25,00998.HK,中信银行,0.15957651
2025-04-25,CASH,现金,0.00613209
2025-05-02,01339.HK,中国人民保险集团,0.22422862
2025-05-02,03618.HK,重庆农村商业银行,0.20789447
2025-05-02,00322.HK,康师傅控股,0.20643369
2025-05-02,01810.HK,小米集团-W,0.20212035
2025-05-02,06818.HK,中国光大银行,0.16631064
2025-05-09,01810.HK,小米集团-W,0.23174127
2025-05-09,09992.HK,泡泡玛特,0.21622561
2025-05-09,00981.HK,中芯国际,0.19673334
2025-05-09,09863.HK,零跑汽车,0.17809768
2025-05-09,02367.HK,巨子生物,0.17720209
2025-05-16,02388.HK,中银香港,0.20836494
2025-05-16,01288.HK,农业银行,0.20786509
2025-05-16,02367.HK,巨子生物,0.20080108
2025-05-16,03618.HK,重庆农村商业银行,0.19536842
2025-05-16,00005.HK,汇丰控股,0.18760048
2025-05-23,01211.HK,比亚迪股份,0.23044854
2025-05-23,01288.HK,农业银行,0.20704804
2025-05-23,03618.HK,重庆农村商业银行,0.20121664
2025-05-23,02388.HK,中银香港,0.19454657
2025-05-23,02367.HK,巨子生物,0.17998102
2025-05-30,01211.HK,比亚迪股份,0.42806100
2025-05-30,00998.HK,中信银行,0.15684412
2025-05-30,01288.HK,农业银行,0.14596573
2025-05-30,02388.HK,中银香港,0.14062491
2025-05-30,00762.HK,中国联通,0.12850425
2025-06-06,00998.HK,中信银行,0.22242219
2025-06-06,01801.HK,信达生物,0.20195205
2025-06-06,01385.HK,上海复旦,0.19568041
2025-06-06,00939.HK,建设银行,0.19229887
2025-06-06,01398.HK,工商银行,0.18764647
2025-06-13,00998.HK,中信银行,0.21885991
2025-06-13,09992.HK,泡泡玛特,0.21370855
2025-06-13,01288.HK,农业银行,0.20211421
2025-06-13,03968.HK,招商银行,0.18752704
2025-06-13,02388.HK,中银香港,0.18649467
2025-06-20,00998.HK,中信银行,0.21700743
2025-06-20,01339.HK,中国人民保险集团,0.20822034
2025-06-20,01801.HK,信达生物,0.19545275
2025-06-20,01288.HK,农业银行,0.19183738
2025-06-20,09992.HK,泡泡玛特,0.19155118
2025-06-27,01810.HK,小米集团-W,0.21116828
2025-06-27,00998.HK,中信银行,0.20798921
2025-06-27,01336.HK,新华保险,0.20251069
2025-06-27,02388.HK,中银香港,0.19656076
2025-06-27,01398.HK,工商银行,0.18420720
2025-07-04,01810.HK,小米集团-W,0.21242259
2025-07-04,00388.HK,香港交易所,0.20826451
2025-07-04,01378.HK,中国宏桥,0.20139007
2025-07-04,02799.HK,中信金融资产,0.19652689
2025-07-04,09992.HK,泡泡玛特,0.18087682
2025-07-04,CASH,现金,0.00051912
