date,portfolio_return,gross_return,net_return,trading_cost,eligible_count,candidate_family,market_risk_off,risk_stage,market_momentum,cash_weight_target,cash_after_trade,selected_count,buy_candidate_count,keep_candidate_count,weekly_overlay_trade_count,weekly_overlay_trading_cost,weekly_overlay_avg_one_way_turnover
2017-01-13,0.02210719,0.02240710,0.02210719,0.00029991,326,weekly_high_growth_theme,False,risk_on,0.25561570,0.00000000,0.00000000,6,10,32,0,0.00000000,0.00000000
2017-01-20,0.01379221,0.01419535,0.01379221,0.00041205,326,weekly_high_growth_theme,False,risk_on,0.30714164,0.00000000,0.00444827,6,13,38,0,0.00000000,0.00000000
2017-01-27,0.00988077,0.01025509,0.00988077,0.00038787,326,weekly_high_growth_theme,False,risk_on,0.30952476,0.00000000,-0.00447832,6,16,38,0,0.00000000,0.00000000
2017-02-03,-0.01787375,-0.01747423,-0.01787375,0.00041807,326,weekly_high_growth_theme,False,risk_on,0.32804241,0.00000000,-0.00983904,6,17,37,0,0.00000000,0.00000000
2017-02-10,0.00406949,0.00458542,0.00406949,0.00053024,326,weekly_high_growth_theme,False,risk_on,0.36262039,0.00000000,0.00000000,6,18,39,0,0.00000000,0.00000000
2017-02-17,0.01173300,0.01234364,0.01173300,0.00063013,326,weekly_high_growth_theme,False,risk_on,0.44853560,0.00000000,0.00000000,6,18,46,0,0.00000000,0.00000000
2017-02-24,0.00402062,0.00431354,0.00402062,0.00030581,326,weekly_high_growth_theme,False,risk_on,0.34770952,0.00000000,-0.00532353,6,19,39,0,0.00000000,0.00000000
2017-03-03,-0.01018987,-0.00967460,-0.01018987,0.00054012,326,weekly_high_growth_theme,False,risk_on,0.38590407,0.00000000,0.00000000,6,19,36,0,0.00000000,0.00000000
2017-03-10,0.04777521,0.04819250,0.04777521,0.00043297,325,weekly_high_growth_theme,False,risk_on,0.30727582,0.00000000,0.00000000,6,14,35,0,0.00000000,0.00000000
2017-03-17,0.00738912,0.00767205,0.00738912,0.00030758,326,weekly_high_growth_theme,False,risk_on,0.34962217,0.00000000,-0.00082183,6,14,38,0,0.00000000,0.00000000
2017-03-24,-0.00599662,-0.00549812,-0.00599662,0.00054594,326,weekly_high_growth_theme,False,risk_on,0.32205852,0.00000000,0.00000000,6,19,37,0,0.00000000,0.00000000
2017-03-31,0.00361342,0.00389029,0.00361342,0.00030140,324,weekly_high_growth_theme,False,risk_on,0.34675178,0.00000000,-0.01399376,6,16,35,0,0.00000000,0.00000000
2017-04-07,0.01557247,0.01607587,0.01557247,0.00054997,326,weekly_high_growth_theme,False,risk_on,0.31998239,0.00000000,0.00473440,6,11,37,0,0.00000000,0.00000000
2017-04-13,0.00855632,0.00886793,0.00855632,0.00034573,326,weekly_high_growth_theme,False,risk_on,0.32081173,0.00000000,0.00000000,6,18,38,0,0.00000000,0.00000000
2017-04-21,-0.00932715,-0.00902937,-0.00932715,0.00033322,326,weekly_high_growth_theme,False,risk_on,0.30971699,0.00000000,0.00851671,6,16,35,0,0.00000000,0.00000000
2017-04-28,0.01452577,0.01503353,0.01452577,0.00056289,326,weekly_high_growth_theme,False,risk_on,0.32103335,0.00000000,0.00000000,6,18,36,0,0.00000000,0.00000000
2017-05-05,-0.00607599,-0.00587578,-0.00607599,0.00022518,326,weekly_high_growth_theme,False,risk_on,0.32400030,0.00000000,-0.00040849,6,13,36,0,0.00000000,0.00000000
2017-05-12,0.01454351,0.01470395,0.01454351,0.00017935,326,weekly_high_growth_theme,False,risk_on,0.39237812,0.00000000,0.00432832,6,13,38,0,0.00000000,0.00000000
2017-05-19,0.00282031,0.00320935,0.00282031,0.00044122,326,weekly_high_growth_theme,False,risk_on,0.41133012,0.00000000,0.00000000,6,18,42,0,0.00000000,0.00000000
2017-05-26,0.01584113,0.01624153,0.01584113,0.00045538,326,weekly_high_growth_theme,False,risk_on,0.37987694,0.00000000,0.00000000,6,18,41,0,0.00000000,0.00000000
2017-06-02,0.02539121,0.02578812,0.02539121,0.00045857,326,weekly_high_growth_theme,False,risk_on,0.35541027,0.00000000,0.00235312,6,22,42,0,0.00000000,0.00000000
2017-06-09,0.00508251,0.00557502,0.00508251,0.00058346,328,weekly_high_growth_theme,False,risk_on,0.28353421,0.00000000,0.01044444,6,22,48,0,0.00000000,0.00000000
2017-06-16,-0.05090417,-0.05041914,-0.05090417,0.00057751,329,weekly_high_growth_theme,False,risk_on,0.30390091,0.00000000,0.00000000,6,20,47,0,0.00000000,0.00000000
2017-06-23,0.02775824,0.02815749,0.02775824,0.00045118,329,weekly_high_growth_theme,False,risk_on,0.34360692,0.00000000,-0.01152590,6,19,46,0,0.00000000,0.00000000
2017-06-30,0.03026622,0.03076783,0.03026622,0.00058258,329,weekly_high_growth_theme,False,risk_on,0.35142594,0.00000000,0.01007262,6,20,45,0,0.00000000,0.00000000
2017-07-07,-0.01055247,-0.01004555,-0.01055247,0.00060658,329,weekly_high_growth_theme,False,risk_on,0.33331488,0.00000000,0.00000000,6,18,44,0,0.00000000,0.00000000
2017-07-14,0.12174948,0.12219431,0.12174948,0.00052666,329,weekly_high_growth_theme,False,risk_on,0.35244216,0.00000000,0.00000000,6,17,43,0,0.00000000,0.00000000
2017-07-21,0.02855629,0.02890443,0.02855629,0.00046236,331,weekly_high_growth_theme,False,risk_on,0.29380485,0.00000000,-0.00970361,6,19,43,0,0.00000000,0.00000000
2017-07-28,0.02316905,0.02343988,0.02316905,0.00036997,332,weekly_high_growth_theme,False,risk_on,0.30181183,0.00000000,0.00000000,6,20,44,0,0.00000000,0.00000000
2017-08-04,0.00875021,0.00909065,0.00875021,0.00047583,332,weekly_high_growth_theme,False,risk_on,0.32257250,0.00000000,0.00496665,6,20,45,0,0.00000000,0.00000000
2017-08-11,-0.05578554,-0.05528047,-0.05578554,0.00071210,332,weekly_high_growth_theme,False,risk_on,0.31047887,0.00000000,-0.00226950,6,23,44,0,0.00000000,0.00000000
2017-08-18,0.01827393,0.01870212,0.01827393,0.00057002,332,weekly_high_growth_theme,False,risk_on,0.30177611,0.00000000,0.00000000,6,21,42,0,0.00000000,0.00000000
2017-08-25,0.05035514,0.05047652,0.05035514,0.00016454,332,weekly_high_growth_theme,False,risk_on,0.30943706,0.00000000,-0.00389983,6,22,38,0,0.00000000,0.00000000
2017-09-01,-0.02599245,-0.02539756,-0.02599245,0.00084703,333,weekly_high_growth_theme,False,risk_on,0.30239460,0.00000000,0.00000000,6,22,45,0,0.00000000,0.00000000
2017-09-08,-0.00100137,-0.00052321,-0.00100137,0.00066313,333,weekly_high_growth_theme,False,risk_on,0.30368462,0.00000000,0.00462754,6,23,45,0,0.00000000,0.00000000
2017-09-15,0.03748944,0.03809015,0.03748944,0.00083226,332,weekly_high_growth_theme,False,risk_on,0.22020858,0.00000000,0.00000000,6,23,46,0,0.00000000,0.00000000
2017-09-22,0.02851259,0.02881398,0.02851259,0.00043322,333,weekly_high_growth_theme,False,risk_on,0.26936997,0.00000000,-0.01722956,6,21,43,0,0.00000000,0.00000000
2017-09-29,-0.03509616,-0.03480434,-0.03509616,0.00043142,333,weekly_high_growth_theme,False,risk_on,0.27098005,0.00000000,0.00000000,6,21,40,0,0.00000000,0.00000000
2017-10-06,0.06794692,0.06835871,0.06794692,0.00058741,333,weekly_high_growth_theme,False,risk_on,0.31635266,0.00000000,-0.02230825,6,19,46,0,0.00000000,0.00000000
2017-10-13,-0.02480120,-0.02440228,-0.02480120,0.00060772,334,weekly_high_growth_theme,False,risk_on,0.29176639,0.00000000,0.01004942,6,23,47,0,0.00000000,0.00000000
2017-10-20,0.00712932,0.00753260,0.00712932,0.00059912,334,weekly_high_growth_theme,False,risk_on,0.32947371,0.00000000,0.00000000,6,18,42,0,0.00000000,0.00000000
2017-10-27,-0.00213559,-0.00165196,-0.00213559,0.00072363,335,weekly_high_growth_theme,False,risk_on,0.33052053,0.00000000,0.00000000,6,21,43,0,0.00000000,0.00000000
2017-11-03,-0.00276169,-0.00237405,-0.00276169,0.00057876,335,weekly_high_growth_theme,False,risk_on,0.33396074,0.00000000,-0.01171009,6,21,41,0,0.00000000,0.00000000
2017-11-10,0.01139701,0.01169265,0.01139701,0.00044017,339,weekly_high_growth_theme,False,risk_on,0.38853795,0.00000000,-0.00310816,6,17,42,0,0.00000000,0.00000000
2017-11-17,-0.00285927,-0.00256851,-0.00285927,0.00043785,339,weekly_high_growth_theme,False,risk_on,0.38439964,0.00000000,-0.00036124,6,18,41,0,0.00000000,0.00000000
2017-11-24,0.01596379,0.01634638,0.01596379,0.00057449,338,weekly_high_growth_theme,False,risk_on,0.38827115,0.00000000,-0.01265192,6,19,44,0,0.00000000,0.00000000
2017-12-01,-0.06186185,-0.06154375,-0.06186185,0.00048528,339,weekly_high_growth_theme,False,risk_on,0.35796928,0.00000000,0.00000000,6,20,48,0,0.00000000,0.00000000
2017-12-08,-0.01925166,-0.01882625,-0.01925166,0.00060883,339,weekly_high_growth_theme,False,risk_on,0.36783634,0.00000000,0.00825969,6,18,45,0,0.00000000,0.00000000
2017-12-15,-0.00363980,-0.00333175,-0.00363980,0.00043239,340,weekly_high_growth_theme,False,risk_on,0.38171317,0.00000000,-0.01152344,6,18,47,0,0.00000000,0.00000000
2017-12-22,0.02104667,0.02136207,0.02104667,0.00044108,342,weekly_high_growth_theme,False,risk_on,0.41245776,0.00000000,-0.00558214,6,15,47,0,0.00000000,0.00000000
2017-12-29,0.02236333,0.02286949,0.02236333,0.00072276,341,weekly_high_growth_theme,False,risk_on,0.45884755,0.00000000,-0.00082966,6,20,48,0,0.00000000,0.00000000
