date,portfolio_return,nav,drawdown,trading_cost
2020-01-06,0.00000000,1.00000000,0.00000000,0.00000000
2020-01-10,0.00601573,1.00601573,0.00000000,0.00029991
2020-01-17,0.03240843,1.03861912,0.00000000,0.00051267
2020-01-24,-0.00742779,1.03090448,-0.00742779,0.00042874
2020-01-31,-0.07342712,0.95520813,-0.08030951,0.00030074
2020-02-07,0.10116712,1.05184379,0.00000000,0.00021481
2020-02-14,0.04857609,1.10293824,0.00000000,0.00022772
2020-02-21,-0.01846928,1.08256777,-0.01846928,0.00043600
2020-02-28,-0.05332811,1.02483648,-0.07081245,0.00044003
2020-03-06,0.02824516,1.05378315,-0.04456740,0.00039454
2020-03-13,-0.11084468,0.93697689,-0.15047203,0.00039252
2020-03-20,-0.10286770,0.84059223,-0.23786102,0.00033890
2020-03-27,0.04866449,0.88149922,-0.20077191,0.00014304
2020-04-03,-0.00139952,0.88026554,-0.20189045,0.00023707
2020-04-09,0.01801934,0.89612735,-0.18750904,0.00014498
2020-04-17,0.02204054,0.91587848,-0.16960130,0.00019656
2020-04-24,0.00074083,0.91655699,-0.16898612,0.00017807
2020-04-29,0.00852528,0.92437090,-0.16190149,0.00023752
2020-05-08,-0.00849811,0.91651549,-0.16902375,0.00024588
2020-05-15,0.03308634,0.94683963,-0.14152979,0.00023433
2020-05-22,-0.03117946,0.91731768,-0.16829642,0.00025701
2020-05-29,-0.00683535,0.91104749,-0.17398141,0.00024510
2020-06-05,0.02261248,0.93164854,-0.15530308,0.00018476
2020-06-12,-0.04434269,0.89033673,-0.19275922,0.00052243
2020-06-19,0.02413047,0.91182097,-0.17328012,0.00042127
2020-06-26,0.02711123,0.93654156,-0.15086672,0.00035211
2020-07-03,0.05531142,0.98834300,-0.10389996,0.00041405
2020-07-10,0.08169840,1.06908904,-0.03069002,0.00030197
2020-07-17,-0.08562468,0.97754863,-0.11368688,0.00052885
2020-07-24,0.11837717,1.09326808,-0.00876764,0.00056446
2020-07-31,0.04046077,1.13750255,0.00000000,0.00034497
2020-08-07,0.00976286,1.14860783,0.00000000,0.00058734
2020-08-14,-0.07735652,1.05975553,-0.07735652,0.00067260
2020-08-21,0.05072107,1.11350746,-0.03055905,0.00054297
2020-08-28,0.10592936,1.23146060,0.00000000,0.00034660
2020-09-04,-0.04165753,1.18016100,-0.04165753,0.00035864
2020-09-11,-0.04078660,1.13202625,-0.08074505,0.00057497
2020-09-18,0.08033793,1.22297089,-0.00689402,0.00034734
2020-09-25,-0.10119175,1.09921632,-0.10738815,0.00036635
2020-09-30,0.07550661,1.18221442,-0.03999006,0.00044688
2020-10-09,0.05092465,1.24241828,0.00000000,0.00035369
2020-10-16,-0.01403745,1.22497790,-0.01403745,0.00052095
2020-10-23,-0.00382612,1.22029099,-0.01780985,0.00061111
2020-10-30,0.03489785,1.26287652,0.00000000,0.00036315
2020-11-06,0.13614454,1.43481026,0.00000000,0.00039628
2020-11-13,-0.01317844,1.41590169,-0.01317844,0.00056839
2020-11-20,0.02447649,1.45055799,0.00000000,0.00060366
2020-11-27,-0.00726647,1.44001756,-0.00726647,0.00074711
2020-12-04,0.02931277,1.48222846,0.00000000,0.00071140
2020-12-11,-0.00193389,1.47936200,-0.00193389,0.00073305
2020-12-18,0.02751894,1.52007246,0.00000000,0.00059530
2020-12-24,0.09030695,1.65734557,0.00000000,0.00093872
2020-12-31,0.07079781,1.77468200,0.00000000,0.00069457
2021-01-08,0.07349653,1.90511497,0.00000000,0.00073120
2021-01-15,-0.07872367,1.75513733,-0.07872367,0.00056239
2021-01-22,0.04499488,1.83410952,-0.03727095,0.00091341
2021-01-29,-0.05713112,1.72932479,-0.09227274,0.00098828
2021-02-05,0.14805209,1.98535493,0.00000000,0.00057478
2021-02-11,0.07224194,2.12878082,0.00000000,0.00083813
2021-02-19,-0.05737686,2.00663805,-0.05737686,0.00084081
2021-02-26,-0.19275889,1.61984073,-0.23907585,0.00092471
2021-03-05,-0.05363696,1.53295739,-0.27988951,0.00037712
2021-03-12,-0.00989905,1.51778257,-0.28701792,0.00028672
2021-03-19,-0.01393065,1.49663888,-0.29695022,0.00029122
2021-03-26,-0.00970667,1.48211150,-0.30377450,0.00029030
2021-04-01,0.04429936,1.54776809,-0.27293215,0.00057415
2021-04-09,-0.02166774,1.51423146,-0.28868607,0.00059576
2021-04-16,-0.00722344,1.50329349,-0.29382420,0.00057984
2021-04-23,0.00441965,1.50993752,-0.29070315,0.00063049
2021-04-30,-0.01519755,1.48699017,-0.30148273,0.00073737
2021-05-07,-0.07211030,1.37976285,-0.35185302,0.00060554
2021-05-14,-0.03832736,1.32688019,-0.37669478,0.00071818
2021-05-21,0.02340989,1.35794230,-0.36210328,0.00039369
2021-05-28,0.05005901,1.42591955,-0.33017080,0.00055642
2021-06-04,0.01555297,1.44809683,-0.31975297,0.00058992
2021-06-11,0.06379660,1.54048048,-0.27635552,0.00086841
2021-06-18,0.00983982,1.55563853,-0.26923499,0.00061966
2021-06-25,0.02836596,1.59976571,-0.24850614,0.00060567
2021-07-02,0.03425505,1.65456576,-0.22276368,0.00066710
2021-07-09,0.05474735,1.74514886,-0.18021205,0.00099732
2021-07-16,0.00524170,1.75429640,-0.17591497,0.00054326
2021-07-23,-0.03187984,1.69836972,-0.20218667,0.00084788
2021-07-30,-0.02278686,1.65966920,-0.22036633,0.00067972
