pool_id,pool_name,strategy_id,strategy_name,path,candidate_family,rebalance_frequency,risk_evaluation_frequency,risk_overlay_scope,sample_tag,sample_label,sample_start,sample_end,total_return,cagr,max_drawdown,sharpe_ratio,annual_volatility,average_annual_turnover,cumulative_trading_cost
hkconnect_static_latest,沪港通静态标的池（最新可得名单）,hkconnect_path1_biweekly_equal_buffered,沪港通Path1 双周等权缓冲,path1,biweekly_equal_buffered,biweekly,biweekly,,since_2017_01,2017-01 起,2017-01-09,2026-04-30,5.28784411,0.21839875,-0.22587441,1.04883574,0.20983521,6.07171134,0.09730885
hkconnect_static_latest,沪港通静态标的池（最新可得名单）,hkconnect_path1_biweekly_hybrid,沪港通Path1 双周稳健(混合权重),path1,biweekly_moderate,biweekly,biweekly,,since_2017_01,2017-01 起,2017-01-09,2026-04-30,4.21072617,0.19404894,-0.21342670,1.03839448,0.18833261,3.21063610,0.04250338
hkconnect_static_latest,沪港通静态标的池（最新可得名单）,hkconnect_path1_biweekly_lowvol,沪港通Path1 双周低波偏稳,path1,biweekly_lowvol,biweekly,biweekly,,since_2017_01,2017-01 起,2017-01-09,2026-04-30,3.76430014,0.18261363,-0.21838628,1.02882921,0.17894262,1.92912403,0.02222594
hkconnect_static_latest,沪港通静态标的池（最新可得名单）,hkconnect_path1_biweekly_cashoff,沪港通Path1 双周稳健(熊市空仓),path1,biweekly_cashoff,biweekly,biweekly,,since_2017_01,2017-01 起,2017-01-09,2026-04-30,3.66656160,0.17998289,-0.23292104,0.99107844,0.18460640,3.48316172,0.04359534
hkconnect_static_latest,沪港通静态标的池（最新可得名单）,hkconnect_path2_theme_biweekly,沪港通Path2 双周高成长主线,path2,high_growth_theme,biweekly,biweekly,,since_2017_01,2017-01 起,2017-01-09,2026-04-30,5.00934884,0.21248304,-0.30110767,0.85542390,0.26726737,15.78696759,0.24417189
hkconnect_static_latest,沪港通静态标的池（最新可得名单）,hkconnect_path2_theme_fast_biweekly,沪港通Path2 双周快速主线,path2,high_growth_theme,biweekly,biweekly,,since_2017_01,2017-01 起,2017-01-09,2026-04-30,4.87327318,0.20950304,-0.31653191,0.81455933,0.28293264,16.50295501,0.26533308
hkconnect_static_latest,沪港通静态标的池（最新可得名单）,hkconnect_path2_inverse_elastic_biweekly,沪港通Path2 双周逆市值高弹性,path2,momentum_equal_weight_elastic,biweekly,biweekly,,since_2017_01,2017-01 起,2017-01-09,2026-04-30,1.53435808,0.10507251,-0.54172469,0.47479481,0.32454046,14.03771240,0.14653621
hkconnect_static_latest,沪港通静态标的池（最新可得名单）,hkconnect_path2_equal_elastic_biweekly,沪港通Path2 双周等权高弹性,path2,momentum_equal_weight_elastic,biweekly,biweekly,,since_2017_01,2017-01 起,2017-01-09,2026-04-30,1.52617886,0.10468878,-0.54172469,0.47374610,0.32448807,14.03110759,0.14602713
hkconnect_static_latest,沪港通静态标的池（最新可得名单）,hkconnect_path2_equal_elastic_cashoff_biweekly,沪港通Path2 双周等权高弹性(熊市空仓),path2,momentum_equal_weight_elastic,biweekly,biweekly,,since_2017_01,2017-01 起,2017-01-09,2026-04-30,1.17198700,0.08690421,-0.56022529,0.42761793,0.31304503,12.39254269,0.11696472
hkconnect_static_latest,沪港通静态标的池（最新可得名单）,hkconnect_path2_breakout_biweekly,沪港通Path2 双周高集中突破,path2,biweekly_rebalance_aggressive,biweekly,biweekly,,since_2017_01,2017-01 起,2017-01-09,2026-04-30,0.60820566,0.05237114,-0.58568135,0.32791275,0.31455876,17.91751672,0.14292328
hkconnect_static_latest,沪港通静态标的池（最新可得名单）,hkconnect_path2_breakout_risk50_biweekly,沪港通Path2 双周突破(熊市50%),path2,biweekly_rebalance_aggressive,biweekly,biweekly,,since_2017_01,2017-01 起,2017-01-09,2026-04-30,0.57532384,0.05003802,-0.58646755,0.32093021,0.31176993,17.48479426,0.13757894
hkconnect_static_latest,沪港通静态标的池（最新可得名单）,hkconnect_path2_breakout_concentrated_biweekly,沪港通Path2 双周极集中突破,path2,biweekly_rebalance_aggressive,biweekly,biweekly,,since_2017_01,2017-01 起,2017-01-09,2026-04-30,0.46181069,0.04163503,-0.63928077,0.29864775,0.35878514,18.74179324,0.15086227
hkconnect_static_latest,沪港通静态标的池（最新可得名单）,hkconnect_path2_breakout_cashoff_biweekly,沪港通Path2 双周突破(熊市空仓),path2,biweekly_rebalance_aggressive,biweekly,biweekly,,since_2017_01,2017-01 起,2017-01-09,2026-04-30,0.45339929,0.04098942,-0.58038891,0.29287453,0.30737033,15.93210880,0.11893851
hkconnect_static_latest,沪港通静态标的池（最新可得名单）,hkconnect_path3_stable_weekly_equal_buffered,沪港通Path3 单周稳健等权缓冲,path3,weekly_equal_buffered,weekly,weekly,,since_2017_01,2017-01 起,2017-01-09,2026-05-08,5.28467906,0.21783686,-0.33661511,0.97996584,0.22765976,10.83127145,0.16779337
hkconnect_static_latest,沪港通静态标的池（最新可得名单）,hkconnect_path3_theme_fast_weekly_buffered,沪港通Path3 单周快速主线(宽出场),path3,weekly_high_growth_theme_buffered,weekly,weekly,,since_2017_01,2017-01 起,2017-01-09,2026-05-08,4.62867954,0.20352733,-0.46870561,0.76315078,0.30370709,31.73285863,0.36879215
hkconnect_static_latest,沪港通静态标的池（最新可得名单）,hkconnect_path3_theme_fast_weekly,沪港通Path3 单周快速主线,path3,weekly_high_growth_theme,weekly,weekly,,since_2017_01,2017-01 起,2017-01-09,2026-05-08,4.46561515,0.19973982,-0.47219257,0.75325931,0.30335942,31.76389684,0.35949170
hkconnect_static_latest,沪港通静态标的池（最新可得名单）,hkconnect_path3_theme_fast_weekly_defensive,沪港通Path3 单周快速主线(降仓),path3,weekly_high_growth_theme_defensive,weekly,weekly,,since_2017_01,2017-01 起,2017-01-09,2026-05-08,4.45978143,0.19960246,-0.46693790,0.76161423,0.29759204,30.56052631,0.34992059
hkconnect_static_latest,沪港通静态标的池（最新可得名单）,hkconnect_path3_stable_weekly_hybrid,沪港通Path3 单周稳健(混合权重),path3,weekly_moderate,weekly,weekly,,since_2017_01,2017-01 起,2017-01-09,2026-05-08,4.42021890,0.19866745,-0.26324383,1.03943323,0.19253272,4.95088509,0.06474702
hkconnect_static_latest,沪港通静态标的池（最新可得名单）,hkconnect_path3_theme_weekly,沪港通Path3 单周高成长主线,path3,weekly_high_growth_theme,weekly,weekly,,since_2017_01,2017-01 起,2017-01-09,2026-05-08,4.38643843,0.19786425,-0.40924012,0.76729976,0.29135336,30.64896588,0.36198974
hkconnect_static_latest,沪港通静态标的池（最新可得名单）,hkconnect_path3_theme_fast_weekly_balanced6,沪港通Path3 单周快速主线(六持仓),path3,weekly_high_growth_theme_balanced,weekly,weekly,,since_2017_01,2017-01 起,2017-01-09,2026-05-08,4.27175648,0.19510351,-0.40955561,0.76316582,0.28900496,30.15936681,0.35345174
hkconnect_static_latest,沪港通静态标的池（最新可得名单）,hkconnect_path3_stable_weekly_lowvol,沪港通Path3 单周稳健低波偏稳,path3,weekly_lowvol,weekly,weekly,,since_2017_01,2017-01 起,2017-01-09,2026-05-08,3.82186395,0.18372798,-0.25873578,1.03057503,0.17960952,2.86044217,0.03439735
hkconnect_static_latest,沪港通静态标的池（最新可得名单）,hkconnect_path3_stable_weekly_cashoff,沪港通Path3 单周稳健(熊市空仓),path3,weekly_cashoff,weekly,weekly,,since_2017_01,2017-01 起,2017-01-09,2026-05-08,3.56713001,0.17685959,-0.28283424,0.95968802,0.18854072,5.54417197,0.06543103
hkconnect_static_latest,沪港通静态标的池（最新可得名单）,hkconnect_path3_equal_elastic_weekly,沪港通Path3 单周等权高弹性,path3,weekly_momentum_equal_weight_elastic,weekly,weekly,,since_2017_01,2017-01 起,2017-01-09,2026-05-08,1.75722208,0.11487413,-0.49791829,0.49411548,0.33953895,26.80153168,0.25618439
hkconnect_static_latest,沪港通静态标的池（最新可得名单）,hkconnect_path3_inverse_elastic_weekly,沪港通Path3 单周逆市值高弹性,path3,weekly_momentum_equal_weight_elastic,weekly,weekly,,since_2017_01,2017-01 起,2017-01-09,2026-05-08,1.75147258,0.11462464,-0.49791829,0.49348753,0.33947862,26.81313465,0.25591709
hkconnect_static_latest,沪港通静态标的池（最新可得名单）,hkconnect_path3_equal_elastic_cashoff_weekly,沪港通Path3 单周等权高弹性(熊市空仓),path3,weekly_momentum_equal_weight_elastic,weekly,weekly,,since_2017_01,2017-01 起,2017-01-09,2026-05-08,1.37317853,0.09708837,-0.50237421,0.45067944,0.32796481,23.84459722,0.20704451
hkconnect_static_latest,沪港通静态标的池（最新可得名单）,hkconnect_path3_breakout_weekly,沪港通Path3 单周高集中突破,path3,weekly_rebalance_aggressive,weekly,weekly,,since_2017_01,2017-01 起,2017-01-09,2026-05-08,0.63024533,0.05379715,-0.65343000,0.33276756,0.35795366,34.58696667,0.21578794
